#{"t_start": 1523134936.186539, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,11,0.007419
0.0,9,0.007727
0.0,3,0.007857
0.0,8,0.008088
0.0,9,0.00835
0.0,12,0.008705
0.0,14,0.009076
0.0,15,0.009459
0.0,9,0.009726
0.0,7,0.009936
0.0,9,0.010193
0.0,49,0.011307
0.0,10,0.011618
0.0,33,0.012395
0.0,9,0.012664
0.0,6,0.012851
0.0,5,0.013023
0.0,1,0.0131
0.0,1,0.013175
0.0,9,0.013425
0.0,8,0.013669
0.0,19,0.014141
1.0,12,0.014459
0.0,25,0.015073
1.0,21,0.015611
0.0,3,0.01574
0.0,13,0.016084
0.0,19,0.016565
0.0,1,0.016647
0.0,21,0.017165
0.0,29,0.017898
0.0,18,0.018353
0.0,7,0.018578
0.0,18,0.019019
0.0,5,0.019189
0.0,10,0.019463
0.0,10,0.019745
1.0,19,0.020223
0.0,3,0.020344
0.0,2,0.020443
1.0,16,0.020859
0.0,12,0.021187
0.0,6,0.021382
0.0,2,0.021482
0.0,9,0.021745
1.0,9,0.02201
0.0,3,0.022133
0.0,2,0.022232
0.0,4,0.022374
0.0,7,0.022593
0.0,5,0.022771
0.0,2,0.022872
0.0,7,0.023086
0.0,6,0.023273
0.0,7,0.02348
0.0,2,0.023588
0.0,9,0.023843
1.0,11,0.024147
1.0,9,0.024396
0.0,6,0.024606
0.0,1,0.024685
0.0,9,0.024951
1.0,9,0.025209
0.0,8,0.025437
0.0,10,0.025729
0.0,4,0.025874
0.0,3,0.026
0.0,2,0.026099
0.0,3,0.026223
0.0,5,0.026389
0.0,3,0.02651
0.0,7,0.026733
0.0,5,0.026899
0.0,6,0.027097
0.0,1,0.027173
0.0,11,0.027476
0.0,2,0.027593
1.0,28,0.028259
0.0,4,0.028408
0.0,2,0.028509
0.0,13,0.028859
0.0,26,0.029496
0.0,17,0.029929
0.0,3,0.030058
0.0,37,0.030925
0.0,6,0.03112
0.0,5,0.031285
0.0,18,0.031754
0.0,6,0.031943
0.0,4,0.032097
0.0,1,0.032173
0.0,18,0.032628
0.0,6,0.032821
0.0,19,0.033299
0.0,15,0.033703
0.0,14,0.034072
0.0,8,0.034306
0.0,8,0.03454
0.0,11,0.03484
0.0,8,0.035068
1.0,12,0.035386
0.0,2,0.035489
0.0,11,0.035792
0.0,9,0.036049
1.0,36,0.036889
1.0,11,0.037182
1.0,42,0.038154
0.0,12,0.038476
1.0,10,0.038764
0.0,14,0.039118
0.0,18,0.039586
0.0,35,0.040406
0.0,12,0.040741
0.0,6,0.040932
0.0,6,0.041127
0.0,6,0.041312
0.0,12,0.041636
0.0,11,0.041939
0.0,2,0.042038
0.0,13,0.042385
