#{"t_start": 1523126150.639923, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,4,0.001861
0.0,19,0.003219
0.0,2,0.003452
0.0,2,0.003683
0.0,8,0.004313
0.0,15,0.005387
0.0,15,0.006462
0.0,20,0.007898
0.0,7,0.008279
0.0,6,0.008604
0.0,9,0.009068
0.0,21,0.010045
0.0,28,0.011318
0.0,27,0.012542
0.0,7,0.012927
0.0,13,0.013551
0.0,5,0.013847
0.0,5,0.014136
0.0,12,0.014713
0.0,11,0.01526
0.0,2,0.015413
0.0,14,0.016092
0.0,11,0.01663
0.0,5,0.016926
0.0,3,0.017127
0.0,15,0.01786
0.0,7,0.018228
0.0,2,0.018381
0.0,1,0.018489
0.0,11,0.019041
0.0,9,0.019493
0.0,10,0.019999
0.0,1,0.020111
0.0,12,0.020689
0.0,12,0.021282
0.0,6,0.021605
0.0,12,0.022197
0.0,1,0.022307
0.0,42,0.024193
0.0,7,0.024563
0.0,3,0.024772
0.0,7,0.02514
0.0,11,0.025676
1.0,16,0.026442
0.0,4,0.026684
0.0,15,0.027398
0.0,26,0.028597
0.0,7,0.028979
0.0,56,0.031442
0.0,7,0.031827
0.0,22,0.032841
0.0,5,0.033126
0.0,3,0.033322
0.0,6,0.033647
0.0,6,0.033983
0.0,10,0.034482
0.0,11,0.035037
0.0,13,0.035661
0.0,1,0.035782
0.0,11,0.036322
0.0,4,0.036563
0.0,1,0.036674
0.0,12,0.037267
0.0,1,0.037377
0.0,1,0.037485
0.0,4,0.037743
0.0,13,0.038371
0.0,11,0.038923
0.0,1,0.039035
0.0,4,0.039277
0.0,19,0.040163
0.0,9,0.040616
0.0,8,0.041039
0.0,9,0.041497
0.0,10,0.042001
0.0,14,0.042663
0.0,5,0.042954
0.0,19,0.043839
0.0,16,0.044587
0.0,5,0.04488
1.0,23,0.045943
0.0,13,0.046566
0.0,38,0.048281
0.0,10,0.048795
0.0,15,0.049506
1.0,31,0.050913
0.0,7,0.051283
0.0,6,0.051608
0.0,1,0.051716
1.0,9,0.052178
0.0,10,0.052672
0.0,3,0.052879
0.0,4,0.053121
0.0,27,0.054353
0.0,7,0.054719
0.0,11,0.055267
0.0,2,0.055421
0.0,15,0.056144
0.0,17,0.056945
0.0,11,0.057481
1.0,11,0.058034
0.0,8,0.058446
0.0,11,0.058995
0.0,3,0.059192
