#{"t_start": 1523135614.3232396, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,6,0.047028
0.0,4,0.047431
0.0,8,0.048047
0.0,5,0.048492
0.0,19,0.049842
0.0,7,0.050413
0.0,7,0.050971
0.0,16,0.052116
1.0,50,0.055123
0.0,12,0.055719
0.0,5,0.056003
0.0,12,0.056599
0.0,7,0.056974
0.0,12,0.05757
0.0,4,0.057812
0.0,6,0.05814
0.0,10,0.058648
0.0,1,0.058759
0.0,22,0.059778
0.0,30,0.061138
0.0,4,0.061392
0.0,10,0.06189
0.0,7,0.062271
0.0,31,0.063687
0.0,17,0.064507
0.0,14,0.065193
0.0,5,0.065482
0.0,11,0.066023
0.0,7,0.066415
0.0,5,0.066701
0.0,4,0.06694
0.0,3,0.06714
0.0,2,0.067307
0.0,3,0.067505
0.0,3,0.067705
0.0,5,0.06799
0.0,6,0.068327
0.0,11,0.068866
0.0,12,0.069476
0.0,9,0.06993
0.0,27,0.071164
0.0,3,0.071376
0.0,12,0.071957
0.0,1,0.072066
1.0,18,0.072915
0.0,12,0.073517
0.0,6,0.073846
0.0,5,0.074129
0.0,2,0.074301
0.0,4,0.074541
0.0,9,0.074991
0.0,7,0.075372
0.0,3,0.075573
0.0,5,0.075854
1.0,12,0.076449
0.0,1,0.076558
0.0,5,0.076844
0.0,3,0.07704
0.0,2,0.077203
0.0,5,0.077488
0.0,1,0.077597
0.0,1,0.077706
0.0,1,0.077813
0.0,1,0.077924
0.0,3,0.078124
0.0,5,0.078416
0.0,3,0.078614
1.0,14,0.079293
0.0,4,0.079538
0.0,2,0.079691
0.0,12,0.080285
0.0,4,0.080528
0.0,8,0.08094
0.0,7,0.081326
0.0,5,0.081613
0.0,4,0.081859
0.0,15,0.082588
0.0,7,0.08296
0.0,11,0.083508
0.0,9,0.083969
0.0,18,0.084828
0.0,13,0.085472
0.0,7,0.085847
0.0,2,0.086003
0.0,3,0.086212
0.0,6,0.086538
0.0,4,0.086775
0.0,1,0.086887
0.0,11,0.087438
0.0,1,0.087551
1.0,10,0.08805
1.0,16,0.088816
0.0,2,0.088974
0.0,10,0.089484
0.0,22,0.090507
0.0,5,0.090794
0.0,3,0.090993
0.0,6,0.091337
0.0,9,0.091789
0.0,3,0.091989
0.0,6,0.092332
0.0,1,0.092442
0.0,6,0.092774
0.0,2,0.092927
0.0,5,0.093219
0.0,16,0.093968
0.0,20,0.094909
0.0,25,0.09606
0.0,11,0.096618
0.0,8,0.097029
0.0,10,0.097543
0.0,7,0.097914
0.0,4,0.098154
0.0,7,0.09853
0.0,9,0.098991
0.0,4,0.099242
0.0,3,0.09944
0.0,1,0.099549
0.0,6,0.099878
0.0,3,0.100075
0.0,1,0.100194
0.0,20,0.101121
0.0,7,0.1015
0.0,16,0.102262
0.0,6,0.102598
0.0,3,0.102794
0.0,4,0.103037
0.0,5,0.103333
0.0,5,0.103621
1.0,13,0.104268
0.0,22,0.105296
0.0,1,0.105411
0.0,4,0.105654
0.0,19,0.106547
0.0,3,0.106745
0.0,5,0.107026
0.0,8,0.107446
0.0,33,0.10894
0.0,3,0.109141
0.0,12,0.109732
0.0,9,0.110195
0.0,27,0.111436
0.0,3,0.111634
0.0,19,0.112533
0.0,2,0.112689
0.0,29,0.114016
0.0,3,0.114231
0.0,8,0.11464
0.0,7,0.115006
0.0,7,0.115393
0.0,7,0.115764
0.0,8,0.116185
0.0,14,0.116858
1.0,16,0.117627
0.0,5,0.117914
0.0,3,0.118112
0.0,1,0.118231
0.0,3,0.118429
0.0,6,0.118751
0.0,2,0.118905
0.0,4,0.119143
0.0,8,0.119565
0.0,6,0.11989
0.0,11,0.120444
0.0,1,0.120556
0.0,2,0.120711
1.0,9,0.121167
0.0,4,0.121424
0.0,1,0.121535
0.0,3,0.121732
0.0,4,0.121976
0.0,9,0.122439
0.0,21,0.12341
0.0,6,0.12374
0.0,2,0.123895
0.0,2,0.124047
0.0,7,0.12443
0.0,3,0.124631
0.0,8,0.12504
0.0,5,0.125336
0.0,1,0.125447
0.0,2,0.125603
0.0,1,0.125711
0.0,10,0.126215
0.0,3,0.126412
0.0,9,0.126864
0.0,6,0.127203
0.0,20,0.128124
1.0,25,0.129279
1.0,7,0.129651
0.0,9,0.130108
0.0,15,0.130826
0.0,5,0.131115
1.0,23,0.132187
0.0,7,0.132556
0.0,13,0.13319
0.0,11,0.133728
0.0,8,0.134138
0.0,11,0.134694
0.0,8,0.135108
0.0,13,0.135741
0.0,18,0.136598
0.0,5,0.136882
1.0,24,0.137988
0.0,3,0.138192
0.0,22,0.139211
0.0,12,0.139789
0.0,9,0.14025
0.0,2,0.140409
0.0,6,0.140736
0.0,6,0.141065
0.0,2,0.141228
0.0,6,0.141555
0.0,15,0.142275
0.0,5,0.142562
0.0,12,0.143144
0.0,9,0.143611
0.0,5,0.143895
0.0,10,0.144412
0.0,8,0.144827
1.0,11,0.145374
0.0,1,0.145487
0.0,5,0.145769
0.0,2,0.145927
0.0,18,0.146781
0.0,3,0.147041
0.0,20,0.147979
0.0,3,0.148186
0.0,3,0.148386
0.0,5,0.148671
0.0,7,0.149042
0.0,3,0.149248
0.0,2,0.149402
0.0,28,0.150684
0.0,15,0.15142
0.0,9,0.151882
0.0,1,0.151993
0.0,1,0.152101
0.0,7,0.152482
0.0,2,0.152636
0.0,5,0.15292
0.0,11,0.153473
0.0,3,0.153671
0.0,3,0.153866
0.0,19,0.154765
0.0,5,0.15505
0.0,4,0.155299
0.0,7,0.155671
1.0,24,0.156777
0.0,4,0.157034
0.0,2,0.157197
0.0,8,0.157609
0.0,5,0.15789
0.0,1,0.158001
0.0,10,0.158514
0.0,3,0.158712
0.0,19,0.159608
0.0,1,0.159722
0.0,9,0.160187
0.0,4,0.160433
0.0,23,0.161507
0.0,2,0.161665
0.0,2,0.161821
0.0,9,0.162292
0.0,5,0.162578
0.0,2,0.162735
0.0,5,0.16302
0.0,1,0.163131
0.0,12,0.16373
0.0,9,0.164203
1.0,8,0.164619
0.0,5,0.1649
0.0,5,0.16519
0.0,9,0.16565
0.0,2,0.165806
0.0,8,0.166231
0.0,16,0.166982
0.0,4,0.167233
0.0,4,0.167475
0.0,6,0.167803
0.0,10,0.168308
0.0,4,0.168547
0.0,5,0.168829
0.0,3,0.169028
0.0,2,0.169195
0.0,7,0.169563
0.0,15,0.170287
0.0,2,0.170442
0.0,4,0.17068
0.0,9,0.171134
0.0,19,0.172018
0.0,2,0.172172
0.0,12,0.172767
1.0,9,0.173235
0.0,22,0.174263
0.0,10,0.174766
0.0,10,0.17528
0.0,8,0.175699
0.0,3,0.175897
0.0,2,0.17605
0.0,2,0.176216
