#{"t_start": 1523124507.4005468, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,14,0.007036
0.0,13,0.00749
0.0,13,0.007913
0.0,27,0.008706
0.0,40,0.009892
0.0,76,0.011986
0.0,9,0.01231
0.0,22,0.012977
0.0,10,0.013321
0.0,99,0.016042
0.0,13,0.016474
0.0,8,0.016751
0.0,12,0.01715
0.0,6,0.017392
0.0,17,0.01791
0.0,29,0.018758
0.0,21,0.019396
0.0,12,0.019783
0.0,100,0.022516
0.0,12,0.022909
0.0,8,0.023206
0.0,64,0.024992
1.0,9,0.025321
0.0,29,0.026158
0.0,38,0.027241
0.0,17,0.027766
0.0,3,0.027917
0.0,10,0.028264
0.0,3,0.028414
0.0,64,0.030205
1.0,11,0.030562
0.0,9,0.030859
0.0,1,0.03095
0.0,34,0.03191
1.0,17,0.032441
0.0,5,0.032644
0.0,18,0.033205
0.0,1,0.033299
1.0,26,0.034063
0.0,15,0.034532
1.0,20,0.035136
1.0,18,0.035678
0.0,5,0.035879
1.0,49,0.03725
0.0,1,0.037339
0.0,3,0.037487
0.0,25,0.038224
0.0,9,0.038535
0.0,1,0.038625
0.0,7,0.038882
0.0,10,0.039226
0.0,14,0.039668
1.0,39,0.040765
1.0,10,0.041089
1.0,30,0.041959
0.0,18,0.042513
1.0,31,0.043416
0.0,10,0.043743
0.0,8,0.044017
0.0,4,0.044207
1.0,14,0.044662
1.0,51,0.046075
1.0,12,0.046469
0.0,1,0.046557
0.0,36,0.047567
0.0,20,0.048171
0.0,2,0.048295
0.0,17,0.048811
0.0,25,0.049542
1.0,23,0.050239
0.0,6,0.050467
0.0,8,0.050757
0.0,29,0.051601
0.0,12,0.051986
0.0,17,0.0525
1.0,31,0.053408
0.0,7,0.053656
0.0,27,0.05444
0.0,9,0.05475
0.0,7,0.055006
0.0,10,0.055351
0.0,1,0.05544
0.0,4,0.055617
0.0,18,0.056177
0.0,54,0.057707
0.0,16,0.058325
1.0,13,0.058792
1.0,15,0.059293
0.0,24,0.060022
0.0,4,0.060213
0.0,5,0.06041
0.0,45,0.061681
1.0,52,0.063107
0.0,4,0.063284
0.0,22,0.063931
1.0,19,0.064514
1.0,23,0.065196
1.0,13,0.06561
0.0,6,0.065834
1.0,29,0.066667
1.0,12,0.067056
0.0,1,0.067151
0.0,3,0.067297
1.0,10,0.067624
0.0,12,0.067999
1.0,31,0.068888
0.0,3,0.069039
0.0,28,0.069857
0.0,3,0.070003
1.0,24,0.070728
0.0,7,0.070976
1.0,17,0.071511
0.0,10,0.071841
0.0,25,0.072577
0.0,1,0.072666
0.0,8,0.07294
0.0,27,0.073725
0.0,21,0.074353
0.0,3,0.074504
1.0,35,0.075508
1.0,8,0.07579
0.0,5,0.075984
1.0,17,0.076502
0.0,13,0.076923
0.0,18,0.077476
0.0,14,0.077917
1.0,49,0.079311
0.0,13,0.079755
0.0,8,0.080025
0.0,6,0.080259
0.0,12,0.080636
1.0,13,0.081043
0.0,22,0.08169
0.0,57,0.083278
0.0,9,0.083584
1.0,24,0.084294
0.0,17,0.084818
1.0,25,0.085555
0.0,10,0.08588
0.0,13,0.0863
0.0,2,0.086425
1.0,34,0.087397
0.0,9,0.08771
1.0,19,0.088288
0.0,30,0.089158
0.0,65,0.090946
0.0,6,0.091183
1.0,35,0.092187
0.0,5,0.092382
0.0,3,0.092529
1.0,12,0.092922
1.0,13,0.093342
0.0,1,0.093434
1.0,25,0.094177
0.0,35,0.09519
1.0,8,0.095467
1.0,26,0.096217
0.0,1,0.096304
1.0,26,0.097078
0.0,5,0.097289
1.0,9,0.097593
0.0,17,0.098111
0.0,33,0.099063
1.0,10,0.099405
0.0,7,0.099664
0.0,18,0.100224
0.0,6,0.100456
0.0,6,0.100677
0.0,6,0.100905
0.0,10,0.101249
1.0,18,0.101783
0.0,22,0.102454
0.0,24,0.10316
1.0,13,0.10357
0.0,12,0.103959
0.0,12,0.10436
1.0,13,0.104764
0.0,12,0.105163
0.0,35,0.106153
0.0,16,0.106644
0.0,4,0.10688
0.0,15,0.10737
0.0,6,0.107602
0.0,22,0.108265
0.0,6,0.10849
0.0,10,0.108853
0.0,72,0.110897
0.0,15,0.111388
1.0,29,0.112239
0.0,4,0.112416
0.0,7,0.112669
0.0,5,0.112874
1.0,6,0.113096
0.0,4,0.113279
1.0,12,0.113676
0.0,32,0.114588
0.0,5,0.114793
0.0,2,0.114908
0.0,2,0.115028
0.0,1,0.115118
1.0,26,0.115888
1.0,34,0.116858
1.0,9,0.117176
0.0,11,0.117542
0.0,7,0.117797
1.0,21,0.118434
0.0,16,0.118919
0.0,19,0.119493
1.0,26,0.120251
0.0,15,0.120715
0.0,10,0.121051
0.0,1,0.12115
0.0,6,0.121376
1.0,14,0.121818
0.0,2,0.121941
1.0,8,0.122236
0.0,11,0.122595
1.0,12,0.12298
0.0,30,0.123844
1.0,32,0.124751
1.0,15,0.125237
1.0,30,0.126085
1.0,23,0.126759
0.0,14,0.127203
1.0,11,0.127567
0.0,18,0.128113
0.0,45,0.129386
0.0,5,0.129585
1.0,30,0.130447
1.0,11,0.1308
1.0,21,0.131421
0.0,12,0.131804
0.0,7,0.132059
0.0,22,0.132718
1.0,12,0.133131
0.0,10,0.133461
1.0,16,0.13396
0.0,22,0.134655
0.0,40,0.135795
0.0,1,0.135886
0.0,7,0.136143
0.0,11,0.136504
0.0,3,0.136648
1.0,22,0.137337
0.0,3,0.13752
0.0,7,0.13777
0.0,15,0.138247
0.0,3,0.138398
0.0,11,0.138757
1.0,12,0.139159
0.0,26,0.139903
1.0,22,0.140558
1.0,47,0.141878
1.0,8,0.142163
1.0,19,0.14273
1.0,7,0.142979
0.0,24,0.143694
0.0,26,0.144474
0.0,6,0.144712
1.0,10,0.145043
0.0,7,0.145304
0.0,10,0.145629
0.0,5,0.14583
0.0,5,0.146026
0.0,16,0.146528
0.0,9,0.14683
0.0,1,0.146917
0.0,10,0.147267
1.0,32,0.148186
1.0,24,0.148878
1.0,18,0.149437
0.0,16,0.149922
1.0,14,0.15037
0.0,5,0.150565
0.0,13,0.150972
1.0,16,0.151462
1.0,12,0.151844
0.0,6,0.152069
1.0,17,0.1526
1.0,16,0.153158
1.0,32,0.154087
1.0,26,0.154828
1.0,26,0.155583
1.0,11,0.155935
0.0,4,0.156102
0.0,10,0.15644
0.0,3,0.156589
0.0,24,0.1573
1.0,13,0.157716
0.0,7,0.157971
1.0,7,0.158234
0.0,36,0.159275
1.0,29,0.160119
1.0,16,0.16061
1.0,17,0.161148
0.0,16,0.161645
1.0,31,0.16253
0.0,15,0.162991
0.0,3,0.163149
0.0,3,0.163302
0.0,1,0.163393
0.0,3,0.163536
0.0,41,0.16469
0.0,11,0.16505
0.0,6,0.165286
0.0,4,0.165457
0.0,18,0.16601
0.0,4,0.166197
0.0,31,0.167069
0.0,3,0.167228
0.0,3,0.167384
0.0,20,0.167972
1.0,6,0.168207
0.0,45,0.169471
0.0,8,0.169754
0.0,1,0.169845
0.0,1,0.169937
0.0,16,0.170449
0.0,9,0.170768
0.0,5,0.170963
0.0,28,0.171776
1.0,54,0.173285
0.0,3,0.17343
1.0,40,0.174566
0.0,9,0.17487
1.0,44,0.176096
0.0,10,0.176444
0.0,4,0.176621
1.0,18,0.177169
0.0,42,0.17836
0.0,7,0.178617
0.0,26,0.179385
0.0,39,0.180485
0.0,15,0.180957
0.0,1,0.181049
0.0,22,0.181716
1.0,16,0.182232
0.0,4,0.182402
0.0,17,0.182909
1.0,36,0.183939
0.0,5,0.184151
0.0,17,0.184681
1.0,21,0.18532
0.0,10,0.185656
1.0,13,0.18606
1.0,9,0.186376
0.0,4,0.186548
0.0,12,0.186926
0.0,11,0.187294
1.0,17,0.187811
0.0,3,0.187959
0.0,2,0.188081
0.0,12,0.188491
0.0,15,0.188952
0.0,30,0.189835
0.0,5,0.190042
0.0,3,0.190202
0.0,5,0.190408
0.0,10,0.190744
0.0,10,0.191073
0.0,19,0.19165
