#{"t_start": 1522228805.5248983, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,9,0.0087
0.0,11,0.009558
0.0,4,0.009934
0.0,21,0.011417
0.0,32,0.013624
0.0,15,0.014731
0.0,8,0.015286
0.0,13,0.015939
0.0,21,0.016929
0.0,43,0.018869
0.0,78,0.022368
0.0,9,0.022828
0.0,5,0.023132
0.0,17,0.023952
0.0,24,0.025079
0.0,4,0.025326
0.0,9,0.025784
0.0,19,0.026699
1.0,23,0.027785
0.0,8,0.028217
0.0,2,0.028376
0.0,13,0.02902
0.0,5,0.029306
0.0,10,0.029807
0.0,18,0.03068
1.0,66,0.033665
0.0,11,0.034227
1.0,13,0.034862
0.0,10,0.035388
0.0,24,0.036515
0.0,52,0.038871
0.0,3,0.039083
0.0,7,0.03946
0.0,13,0.040109
1.0,22,0.04115
0.0,8,0.041569
0.0,22,0.04262
0.0,22,0.043658
0.0,6,0.044002
0.0,7,0.044375
0.0,3,0.044575
0.0,38,0.04632
0.0,5,0.046607
0.0,1,0.046717
0.0,10,0.047249
0.0,21,0.048246
0.0,3,0.048446
0.0,5,0.048734
0.0,7,0.049124
0.0,10,0.049626
1.0,28,0.050939
0.0,45,0.052987
0.0,18,0.053837
0.0,1,0.053958
0.0,13,0.054591
1.0,7,0.054983
0.0,1,0.055093
0.0,5,0.055381
0.0,16,0.056157
0.0,24,0.057278
0.0,51,0.059592
0.0,14,0.060282
0.0,24,0.061409
0.0,7,0.061785
0.0,25,0.06297
0.0,2,0.063128
0.0,10,0.063629
0.0,14,0.064326
0.0,12,0.064931
0.0,14,0.065606
0.0,1,0.065715
1.0,8,0.066146
0.0,9,0.066604
0.0,28,0.067917
0.0,1,0.068031
0.0,18,0.068882
0.0,14,0.069569
0.0,20,0.070518
0.0,26,0.071738
0.0,36,0.073401
0.0,13,0.074052
0.0,14,0.074728
0.0,3,0.074944
0.0,18,0.075801
0.0,20,0.07675
0.0,4,0.077007
0.0,7,0.077384
0.0,5,0.07767
0.0,7,0.078053
0.0,8,0.078473
0.0,5,0.078758
0.0,22,0.079792
0.0,22,0.080842
1.0,16,0.081625
0.0,40,0.083463
0.0,17,0.084285
0.0,12,0.084877
0.0,29,0.086233
0.0,58,0.088859
0.0,4,0.089116
0.0,6,0.089449
0.0,12,0.090054
0.0,30,0.091438
0.0,2,0.091594
0.0,36,0.09325
1.0,22,0.094284
0.0,5,0.09457
0.0,10,0.095096
0.0,14,0.095777
0.0,22,0.096822
0.0,21,0.097826
0.0,22,0.098873
0.0,23,0.099974
1.0,10,0.100476
0.0,7,0.100847
0.0,11,0.101408
0.0,1,0.10152
0.0,17,0.102344
1.0,10,0.102848
0.0,1,0.102967
0.0,25,0.104132
0.0,5,0.104418
0.0,6,0.104746
0.0,9,0.105227
0.0,24,0.10635
0.0,10,0.106859
0.0,10,0.107375
0.0,28,0.108674
0.0,11,0.109293
0.0,9,0.109748
0.0,2,0.109911
0.0,16,0.110674
0.0,9,0.111146
0.0,1,0.111258
0.0,9,0.111715
1.0,9,0.112188
0.0,2,0.112342
0.0,2,0.112497
0.0,1,0.112608
0.0,22,0.113642
0.0,2,0.1138
0.0,4,0.114056
0.0,43,0.116014
0.0,5,0.1163
0.0,8,0.11671
0.0,30,0.11811
0.0,13,0.118738
0.0,17,0.119554
0.0,36,0.121203
0.0,8,0.12162
0.0,8,0.122046
0.0,15,0.122759
0.0,8,0.123186
0.0,17,0.123998
0.0,21,0.124991
1.0,27,0.126244
0.0,16,0.127015
0.0,9,0.127471
0.0,11,0.128032
0.0,5,0.128321
0.0,24,0.129434
1.0,20,0.130384
0.0,5,0.130671
0.0,9,0.131141
0.0,27,0.132391
0.0,12,0.132994
0.0,1,0.133104
0.0,19,0.13401
1.0,25,0.13518
1.0,26,0.136391
0.0,1,0.136502
0.0,8,0.136925
0.0,20,0.137856
0.0,7,0.138242
0.0,1,0.138357
0.0,21,0.139345
0.0,18,0.140218
1.0,16,0.14099
0.0,7,0.141363
0.0,15,0.142094
0.0,22,0.143125
0.0,29,0.144461
0.0,19,0.14537
0.0,7,0.14574
0.0,10,0.146254
0.0,31,0.147672
0.0,8,0.148103
0.0,9,0.148561
0.0,6,0.148889
0.0,3,0.149097
0.0,10,0.149598
1.0,21,0.150594
0.0,7,0.150976
0.0,20,0.151918
0.0,11,0.152467
0.0,25,0.153638
0.0,6,0.15398
0.0,14,0.154655
0.0,4,0.154912
0.0,10,0.155415
0.0,15,0.156151
0.0,6,0.15648
0.0,12,0.15708
0.0,8,0.157496
0.0,45,0.15955
0.0,8,0.15998
1.0,42,0.161881
0.0,4,0.162137
1.0,12,0.162723
0.0,14,0.163416
0.0,20,0.164359
0.0,7,0.164734
0.0,3,0.16495
0.0,27,0.166198
0.0,5,0.166487
0.0,9,0.166953
0.0,12,0.167542
0.0,11,0.168101
0.0,4,0.168344
0.0,6,0.16867
0.0,43,0.170624
0.0,10,0.171146
0.0,4,0.17139
0.0,11,0.171942
0.0,3,0.172142
0.0,9,0.172602
0.0,9,0.173074
0.0,2,0.17323
0.0,1,0.173338
0.0,19,0.174238
0.0,12,0.174829
0.0,46,0.176912
0.0,1,0.177024
0.0,8,0.177439
0.0,1,0.177552
1.0,18,0.178411
0.0,19,0.179313
1.0,29,0.180646
0.0,10,0.181164
0.0,12,0.18175
0.0,24,0.182872
0.0,6,0.183214
0.0,25,0.184378
0.0,23,0.185464
0.0,55,0.187962
0.0,12,0.188548
0.0,1,0.188672
0.0,2,0.188827
0.0,33,0.190359
0.0,6,0.190688
0.0,20,0.191633
0.0,11,0.192197
0.0,27,0.193452
0.0,11,0.194007
0.0,11,0.194552
0.0,6,0.194879
0.0,13,0.195529
0.0,6,0.195858
0.0,22,0.196893
0.0,32,0.19836
0.0,10,0.198862
0.0,13,0.199509
0.0,4,0.199754
0.0,12,0.200356
0.0,6,0.200686
0.0,9,0.20116
1.0,19,0.202065
0.0,6,0.202392
0.0,1,0.202502
0.0,6,0.202832
0.0,20,0.203782
0.0,25,0.204964
0.0,16,0.205725
0.0,36,0.207379
0.0,30,0.208763
0.0,13,0.209471
0.0,4,0.209714
0.0,8,0.210145
1.0,22,0.211175
0.0,9,0.211628
1.0,12,0.212231
0.0,7,0.212605
0.0,31,0.214047
0.0,15,0.21476
0.0,13,0.21541
0.0,42,0.217306
0.0,18,0.218164
0.0,36,0.219789
0.0,7,0.220174
0.0,5,0.220459
0.0,9,0.220926
0.0,31,0.222341
0.0,25,0.223498
0.0,23,0.224579
0.0,11,0.225141
0.0,2,0.225298
1.0,30,0.226666
0.0,7,0.227051
0.0,6,0.227378
0.0,9,0.22783
0.0,6,0.22817
0.0,13,0.228801
0.0,6,0.229144
0.0,7,0.229513
0.0,10,0.230027
0.0,18,0.230871
0.0,9,0.231341
0.0,11,0.231887
0.0,5,0.232184
0.0,6,0.232514
0.0,34,0.234084
0.0,3,0.234283
0.0,3,0.23448
0.0,11,0.235044
0.0,34,0.236597
0.0,17,0.237417
0.0,4,0.237663
0.0,4,0.237916
0.0,5,0.238203
0.0,12,0.238788
0.0,39,0.240573
0.0,3,0.240775
1.0,10,0.241294
0.0,13,0.241941
0.0,1,0.242052
0.0,17,0.242844
1.0,18,0.243696
0.0,19,0.244595
0.0,11,0.24516
0.0,1,0.24527
0.0,2,0.245423
0.0,9,0.245879
0.0,7,0.246264
0.0,24,0.247374
0.0,12,0.247973
0.0,4,0.248214
0.0,11,0.248754
0.0,7,0.24914
0.0,26,0.250348
0.0,14,0.251036
0.0,5,0.251321
0.0,21,0.252316
0.0,33,0.253821
0.0,9,0.254297
1.0,15,0.255034
0.0,30,0.256409
0.0,9,0.256865
0.0,11,0.25742
0.0,4,0.257666
0.0,30,0.259052
0.0,1,0.259164
1.0,7,0.259534
0.0,5,0.259816
1.0,55,0.262306
0.0,18,0.26317
0.0,19,0.264086
1.0,7,0.26446
0.0,13,0.265106
0.0,7,0.26548
1.0,13,0.266124
0.0,25,0.26728
0.0,4,0.267525
0.0,10,0.268035
0.0,46,0.270115
0.0,14,0.27078
0.0,7,0.271166
0.0,13,0.271794
0.0,5,0.272091
0.0,6,0.272419
0.0,7,0.272791
0.0,7,0.273177
0.0,18,0.274031
0.0,21,0.27502
0.0,22,0.276052
0.0,5,0.276343
0.0,8,0.276757
0.0,2,0.276923
0.0,2,0.27708
0.0,6,0.277406
0.0,10,0.277912
0.0,14,0.278583
0.0,35,0.280185
0.0,8,0.280596
0.0,10,0.281111
0.0,5,0.281398
0.0,1,0.281507
0.0,34,0.283055
0.0,30,0.28443
0.0,13,0.285084
1.0,12,0.285673
1.0,61,0.288391
0.0,4,0.288636
0.0,5,0.288932
0.0,20,0.289853
0.0,7,0.290239
0.0,14,0.290925
0.0,5,0.291211
0.0,27,0.292449
0.0,66,0.295429
0.0,8,0.295842
0.0,2,0.296009
0.0,24,0.297118
0.0,25,0.298279
1.0,18,0.299142
0.0,1,0.299253
0.0,5,0.299538
0.0,16,0.300319
0.0,1,0.300431
0.0,14,0.301119
0.0,10,0.301622
0.0,1,0.301732
0.0,6,0.302077
0.0,11,0.302621
0.0,39,0.304391
0.0,6,0.304721
0.0,1,0.304831
1.0,14,0.305517
1.0,32,0.306985
0.0,32,0.308446
0.0,1,0.308559
0.0,4,0.308805
0.0,12,0.309465
0.0,21,0.310458
0.0,12,0.311061
0.0,3,0.311264
0.0,39,0.313037
0.0,2,0.313192
0.0,13,0.313817
0.0,32,0.315306
0.0,2,0.315462
1.0,12,0.316061
0.0,10,0.316561
0.0,14,0.317249
0.0,3,0.317449
0.0,14,0.318128
0.0,7,0.3185
0.0,9,0.318968
0.0,7,0.31934
0.0,33,0.320832
0.0,23,0.32191
0.0,10,0.322414
1.0,30,0.323788
0.0,1,0.323907
0.0,11,0.324449
0.0,50,0.326707
0.0,5,0.327007
0.0,7,0.327378
0.0,1,0.327487
0.0,9,0.32796
0.0,27,0.329197
0.0,8,0.329611
0.0,8,0.330039
0.0,3,0.330239
1.0,27,0.331481
0.0,7,0.331849
0.0,51,0.334134
0.0,7,0.334503
0.0,5,0.334785
0.0,16,0.335561
0.0,15,0.336291
1.0,8,0.336708
0.0,10,0.337221
0.0,11,0.337766
0.0,65,0.3407
0.0,9,0.341173
0.0,1,0.341286
0.0,36,0.342938
0.0,3,0.34314
0.0,5,0.343423
0.0,1,0.343534
0.0,15,0.344265
1.0,25,0.345424
0.0,15,0.346149
0.0,18,0.347004
0.0,13,0.347626
1.0,16,0.348399
0.0,8,0.348813
0.0,33,0.350323
0.0,19,0.351221
0.0,10,0.351722
0.0,5,0.352019
0.0,5,0.352306
0.0,6,0.352633
0.0,10,0.353145
1.0,12,0.353726
0.0,6,0.354064
0.0,1,0.354177
1.0,31,0.3556
0.0,9,0.356067
0.0,23,0.357137
0.0,9,0.357599
0.0,6,0.357935
0.0,2,0.358093
0.0,14,0.358758
0.0,12,0.359357
0.0,8,0.359785
0.0,6,0.360126
0.0,8,0.360541
0.0,32,0.362014
0.0,1,0.362128
0.0,8,0.36254
0.0,22,0.363564
0.0,8,0.363992
0.0,8,0.364404
0.0,5,0.364689
0.0,2,0.364845
0.0,7,0.365236
0.0,6,0.365564
1.0,20,0.366513
0.0,19,0.367413
0.0,21,0.368395
0.0,16,0.369164
0.0,3,0.369362
0.0,24,0.370487
0.0,1,0.370597
0.0,12,0.371197
0.0,31,0.372609
0.0,7,0.372993
0.0,15,0.373708
0.0,5,0.374006
0.0,1,0.374117
0.0,34,0.375666
0.0,2,0.375822
0.0,1,0.375943
0.0,18,0.37679
0.0,3,0.377004
0.0,7,0.377376
0.0,12,0.377975
0.0,16,0.378728
0.0,7,0.379113
0.0,3,0.379314
0.0,6,0.379641
0.0,4,0.379884
0.0,4,0.380136
0.0,2,0.380294
0.0,20,0.381237
1.0,6,0.381568
0.0,15,0.382296
0.0,5,0.382584
0.0,8,0.383012
0.0,13,0.383644
0.0,39,0.385411
0.0,10,0.385925
0.0,29,0.387256
0.0,5,0.387544
0.0,11,0.388098
0.0,3,0.388296
0.0,47,0.390426
0.0,9,0.390886
0.0,15,0.391613
0.0,6,0.391954
0.0,6,0.39228
0.0,4,0.392523
0.0,3,0.392719
0.0,9,0.393188
0.0,11,0.393734
0.0,7,0.39412
0.0,12,0.394712
0.0,12,0.395319
0.0,13,0.395959
0.0,16,0.396713
0.0,29,0.398064
0.0,9,0.398526
0.0,11,0.399085
0.0,6,0.399418
0.0,10,0.399932
0.0,12,0.400522
1.0,14,0.401209
0.0,1,0.401319
0.0,9,0.401774
0.0,38,0.4035
0.0,17,0.404323
0.0,1,0.404435
0.0,38,0.406182
0.0,15,0.406895
0.0,4,0.407151
0.0,5,0.407435
0.0,3,0.407636
0.0,5,0.40793
0.0,21,0.408905
0.0,6,0.409315
0.0,1,0.409426
1.0,8,0.409839
0.0,40,0.411664
0.0,18,0.412526
0.0,14,0.41321
0.0,23,0.414283
0.0,12,0.414869
0.0,4,0.415128
0.0,23,0.416197
0.0,8,0.416613
0.0,25,0.417773
0.0,15,0.418496
0.0,19,0.419398
0.0,13,0.420039
0.0,7,0.420412
1.0,20,0.421357
1.0,15,0.42208
0.0,21,0.423067
0.0,2,0.423229
0.0,3,0.423429
0.0,35,0.425039
0.0,31,0.42646
1.0,23,0.427528
0.0,14,0.428212
0.0,2,0.428367
0.0,2,0.428521
0.0,7,0.42889
0.0,9,0.429357
0.0,14,0.430041
0.0,1,0.430153
0.0,34,0.431704
0.0,4,0.431959
0.0,8,0.432373
0.0,11,0.432929
0.0,3,0.43313
1.0,15,0.433846
0.0,10,0.434359
0.0,43,0.436315
1.0,12,0.436908
0.0,20,0.437838
0.0,16,0.438616
0.0,17,0.439428
0.0,14,0.440114
