#{"t_start": 1522233457.312404, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,21,0.026264
0.0,100,0.030743
0.0,2,0.030919
0.0,4,0.031165
0.0,7,0.031544
0.0,1,0.031657
0.0,2,0.031816
0.0,4,0.032073
0.0,14,0.032761
0.0,24,0.033897
0.0,13,0.034537
0.0,20,0.035491
0.0,28,0.036797
0.0,3,0.037013
0.0,27,0.038265
0.0,5,0.038553
0.0,17,0.039374
0.0,33,0.040904
0.0,12,0.041499
0.0,23,0.042575
0.0,7,0.042966
0.0,49,0.045193
0.0,12,0.045795
0.0,23,0.046892
0.0,94,0.051097
0.0,22,0.05214
0.0,68,0.055207
0.0,28,0.056527
0.0,4,0.056776
0.0,44,0.058788
0.0,30,0.060189
0.0,7,0.060567
0.0,52,0.062921
0.0,100,0.067391
0.0,36,0.069056
0.0,23,0.070144
0.0,3,0.070349
0.0,2,0.070507
0.0,12,0.071108
1.0,32,0.072579
0.0,23,0.073665
1.0,15,0.074405
0.0,1,0.074519
0.0,18,0.075385
0.0,4,0.075633
0.0,16,0.076421
0.0,32,0.077909
0.0,13,0.078546
0.0,28,0.079846
0.0,1,0.07997
0.0,14,0.080657
0.0,4,0.080913
0.0,7,0.081291
0.0,38,0.083041
0.0,13,0.08368
0.0,32,0.085158
0.0,8,0.085577
0.0,6,0.085927
0.0,15,0.08665
0.0,3,0.086856
0.0,28,0.088168
0.0,35,0.089782
0.0,23,0.090864
0.0,51,0.093197
0.0,16,0.093975
0.0,20,0.094932
0.0,8,0.095355
0.0,10,0.095858
0.0,36,0.09752
0.0,12,0.098128
0.0,18,0.098996
0.0,9,0.099461
0.0,3,0.099662
0.0,14,0.100363
0.0,4,0.10061
0.0,12,0.101217
0.0,46,0.103323
0.0,1,0.103438
0.0,1,0.103551
0.0,45,0.105602
0.0,25,0.106784
0.0,3,0.106997
0.0,13,0.107633
0.0,31,0.109075
0.0,14,0.109754
0.0,5,0.110054
0.0,36,0.111717
0.0,2,0.111876
0.0,4,0.112134
0.0,6,0.11247
0.0,1,0.112581
0.0,8,0.113014
0.0,10,0.113522
0.0,7,0.113913
0.0,69,0.117039
0.0,1,0.117155
0.0,28,0.118468
0.0,1,0.118582
0.0,14,0.119271
0.0,1,0.119384
0.0,18,0.120253
0.0,2,0.120411
0.0,24,0.121535
0.0,3,0.121738
0.0,17,0.122563
0.0,6,0.122911
0.0,69,0.126032
0.0,46,0.128186
