#{"t_start": 1522229362.5259116, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,18,0.006731
0.0,1,0.006958
0.0,4,0.007282
0.0,5,0.007728
0.0,27,0.00951
0.0,23,0.011054
0.0,29,0.013027
0.0,8,0.013718
0.0,14,0.014698
0.0,6,0.015171
0.0,8,0.015791
0.0,1,0.015949
0.0,9,0.016636
0.0,24,0.018185
0.0,5,0.018684
0.0,14,0.019648
0.0,23,0.021159
0.0,3,0.021536
0.0,2,0.021742
0.0,7,0.022228
0.0,3,0.022551
0.0,2,0.022782
0.0,37,0.025158
0.0,24,0.026852
0.0,35,0.029157
0.0,4,0.02962
0.0,7,0.030116
0.0,62,0.034045
0.0,6,0.034639
0.0,3,0.034914
0.0,7,0.035464
0.0,12,0.036257
0.0,21,0.037713
1.0,11,0.03855
0.0,19,0.039831
0.0,30,0.041844
0.0,17,0.043036
0.0,14,0.044075
0.0,18,0.0453
0.0,7,0.045907
0.0,7,0.046472
0.0,18,0.047676
0.0,9,0.048321
1.0,6,0.048828
0.0,5,0.049206
0.0,32,0.051312
0.0,13,0.052271
0.0,19,0.053629
0.0,30,0.055639
0.0,7,0.056195
0.0,27,0.058016
0.0,8,0.058716
0.0,25,0.060336
0.0,13,0.061298
0.0,7,0.061879
0.0,3,0.062157
0.0,3,0.062491
0.0,8,0.06304
0.0,2,0.063246
0.0,6,0.063772
0.0,5,0.064152
0.0,25,0.065823
0.0,6,0.066308
0.0,7,0.066866
0.0,10,0.067643
0.0,9,0.068265
0.0,6,0.068768
0.0,14,0.069728
0.0,3,0.07
0.0,20,0.071335
0.0,5,0.071819
0.0,32,0.073881
0.0,11,0.074744
0.0,35,0.077008
0.0,5,0.077525
0.0,5,0.077899
0.0,17,0.079051
0.0,11,0.079874
0.0,3,0.080149
0.0,13,0.081041
0.0,16,0.082129
0.0,11,0.082952
0.0,5,0.083334
0.0,5,0.083776
0.0,11,0.084542
0.0,7,0.085068
0.0,1,0.085218
0.0,4,0.085591
0.0,7,0.086079
0.0,2,0.086292
0.0,10,0.087028
0.0,5,0.08746
