#{"t_start": 1523135737.189916, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,100,0.008887
0.0,8,0.009138
0.0,26,0.009784
0.0,16,0.010208
0.0,12,0.010546
0.0,12,0.010891
0.0,2,0.011002
0.0,1,0.011086
0.0,2,0.011195
0.0,16,0.011615
0.0,17,0.012056
0.0,4,0.012204
1.0,27,0.012864
1.0,42,0.013847
0.0,4,0.013996
1.0,36,0.014861
0.0,6,0.01507
1.0,24,0.01567
0.0,26,0.016292
0.0,30,0.017017
0.0,7,0.017237
0.0,22,0.017791
1.0,23,0.018353
1.0,24,0.018979
0.0,9,0.01924
1.0,21,0.019777
1.0,23,0.020352
0.0,1,0.020431
1.0,14,0.020813
0.0,15,0.021199
0.0,15,0.021587
0.0,20,0.022101
0.0,3,0.022227
0.0,17,0.022686
0.0,12,0.023007
0.0,33,0.023814
0.0,1,0.023894
0.0,6,0.024091
0.0,2,0.024199
0.0,13,0.024561
0.0,19,0.025053
0.0,32,0.025831
0.0,20,0.026327
0.0,24,0.026922
0.0,24,0.027511
0.0,18,0.027976
0.0,1,0.028059
0.0,19,0.028538
1.0,14,0.028921
0.0,34,0.029733
0.0,40,0.030667
0.0,4,0.030824
0.0,27,0.031475
1.0,48,0.032598
1.0,62,0.034043
0.0,1,0.034123
0.0,4,0.034271
0.0,35,0.035114
0.0,4,0.035268
1.0,50,0.036443
0.0,9,0.036708
1.0,25,0.037323
1.0,36,0.038185
1.0,63,0.039633
1.0,10,0.03991
0.0,5,0.040086
0.0,43,0.041119
0.0,56,0.04243
0.0,21,0.042967
0.0,32,0.043743
0.0,8,0.043986
0.0,3,0.044116
1.0,29,0.044837
0.0,23,0.045415
1.0,40,0.046377
0.0,1,0.046457
0.0,1,0.046535
0.0,11,0.046844
1.0,21,0.047372
1.0,40,0.048311
0.0,1,0.048391
0.0,2,0.048493
0.0,13,0.048845
1.0,25,0.049467
1.0,15,0.04987
1.0,90,0.051927
0.0,2,0.052037
0.0,19,0.052524
0.0,1,0.052616
0.0,1,0.052704
0.0,17,0.053135
0.0,11,0.053433
0.0,8,0.053688
0.0,3,0.053815
0.0,12,0.054145
1.0,11,0.054444
0.0,5,0.054634
0.0,18,0.055099
1.0,22,0.055646
0.0,1,0.055725
1.0,37,0.056611
0.0,15,0.057003
0.0,24,0.057607
0.0,10,0.057897
0.0,11,0.05821
0.0,63,0.05967
0.0,7,0.059884
0.0,6,0.060088
0.0,5,0.06027
0.0,12,0.060618
0.0,18,0.061082
1.0,47,0.062169
1.0,63,0.063627
0.0,20,0.064142
0.0,5,0.064318
