#{"t_start": 1522145780.8858764, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,7,0.006859
0.0,10,0.007174
0.0,3,0.007307
0.0,7,0.007531
0.0,16,0.007961
0.0,4,0.008114
0.0,100,0.010345
0.0,95,0.012448
0.0,7,0.012672
0.0,19,0.013155
0.0,100,0.015383
0.0,3,0.015516
0.0,11,0.015831
0.0,11,0.016126
0.0,20,0.016636
0.0,28,0.017319
0.0,7,0.017533
0.0,100,0.019736
0.0,16,0.020145
0.0,7,0.020363
0.0,23,0.020925
0.0,12,0.02125
0.0,23,0.021821
0.0,23,0.022372
0.0,8,0.022614
0.0,17,0.023052
0.0,28,0.023728
0.0,82,0.025568
0.0,19,0.026073
0.0,100,0.028263
0.0,48,0.029366
0.0,100,0.031588
0.0,77,0.033336
0.0,50,0.034456
0.0,52,0.035667
0.0,35,0.036495
0.0,100,0.038735
0.0,24,0.039343
0.0,88,0.041326
0.0,38,0.042216
0.0,19,0.042693
0.0,5,0.042879
0.0,19,0.043347
0.0,10,0.043623
0.0,3,0.043766
0.0,52,0.044969
0.0,36,0.045804
0.0,4,0.045961
0.0,14,0.046327
0.0,25,0.046961
0.0,45,0.047994
0.0,100,0.050235
0.0,53,0.051467
0.0,18,0.051927
0.0,21,0.05245
0.0,18,0.052913
0.0,3,0.053045
0.0,30,0.053762
0.0,23,0.054312
0.0,8,0.054551
0.0,49,0.05567
0.0,57,0.056972
0.0,100,0.059237
0.0,20,0.059758
0.0,19,0.060258
0.0,57,0.061548
0.0,19,0.062028
0.0,11,0.062322
0.0,2,0.062431
1.0,8,0.062662
0.0,22,0.063233
1.0,87,0.06513
0.0,41,0.066073
0.0,92,0.068111
0.0,14,0.068483
0.0,24,0.069081
1.0,45,0.070144
0.0,22,0.070691
0.0,7,0.07091
0.0,7,0.071121
0.0,14,0.071487
0.0,19,0.071978
1.0,22,0.072517
0.0,41,0.073472
0.0,9,0.073741
0.0,30,0.074448
0.0,28,0.075106
0.0,16,0.075514
0.0,23,0.076081
0.0,61,0.07745
0.0,11,0.077769
0.0,30,0.07846
1.0,33,0.079257
0.0,9,0.079519
0.0,29,0.080227
