#{"t_start": 1522145319.6682885, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,2,0.011494
0.0,8,0.011859
0.0,5,0.012082
0.0,13,0.012524
0.0,7,0.012812
0.0,37,0.013887
0.0,3,0.014057
0.0,14,0.014507
0.0,52,0.016006
0.0,9,0.016326
0.0,24,0.017075
0.0,19,0.017667
0.0,9,0.018003
0.0,22,0.01867
0.0,10,0.019033
0.0,26,0.019808
0.0,3,0.019964
0.0,6,0.020207
0.0,19,0.020821
0.0,21,0.021409
1.0,16,0.021834
0.0,28,0.022499
0.0,9,0.022873
0.0,59,0.024224
1.0,56,0.025496
0.0,17,0.025942
0.0,84,0.027817
0.0,59,0.02916
1.0,14,0.029527
0.0,42,0.030514
0.0,32,0.031279
1.0,23,0.031846
1.0,34,0.032638
1.0,20,0.033149
0.0,31,0.03389
0.0,12,0.034218
0.0,8,0.034464
0.0,29,0.03517
0.0,13,0.035522
0.0,14,0.035895
1.0,18,0.036343
0.0,5,0.03652
1.0,35,0.037347
0.0,5,0.037522
0.0,32,0.038301
1.0,25,0.03892
1.0,26,0.039533
0.0,100,0.041758
0.0,4,0.041919
0.0,38,0.042803
0.0,21,0.043325
0.0,20,0.043834
0.0,23,0.044401
0.0,65,0.045877
0.0,43,0.046877
0.0,4,0.04703
0.0,11,0.047341
1.0,28,0.048024
0.0,19,0.048483
1.0,25,0.049134
1.0,18,0.049594
0.0,9,0.049863
0.0,29,0.050549
0.0,92,0.052588
0.0,15,0.052983
0.0,2,0.053087
1.0,34,0.053897
0.0,5,0.054073
0.0,18,0.054523
0.0,31,0.055249
0.0,44,0.05628
0.0,49,0.0574
0.0,38,0.058286
0.0,5,0.058463
0.0,11,0.058764
0.0,15,0.059166
0.0,4,0.05932
0.0,20,0.059818
1.0,37,0.060672
0.0,13,0.061033
1.0,18,0.061501
0.0,8,0.061741
1.0,8,0.062015
0.0,37,0.062903
0.0,16,0.063312
0.0,23,0.063881
0.0,26,0.064514
0.0,34,0.065355
0.0,8,0.065588
1.0,26,0.066231
0.0,12,0.066557
0.0,3,0.066688
0.0,20,0.067191
0.0,80,0.069007
0.0,18,0.069459
0.0,17,0.069905
1.0,11,0.070217
1.0,22,0.070742
0.0,5,0.070917
0.0,18,0.071378
0.0,8,0.071615
0.0,15,0.072009
0.0,40,0.072937
1.0,21,0.073452
0.0,17,0.073891
0.0,28,0.074553
0.0,46,0.075612
0.0,3,0.075751
0.0,6,0.075953
0.0,16,0.076366
0.0,5,0.076535
0.0,8,0.076765
0.0,60,0.078144
0.0,28,0.07882
0.0,5,0.078996
0.0,31,0.079721
1.0,24,0.080311
0.0,17,0.08076
1.0,16,0.081181
0.0,18,0.081628
0.0,12,0.081957
0.0,57,0.083258
0.0,5,0.083428
0.0,13,0.083771
0.0,52,0.084968
0.0,6,0.085164
0.0,16,0.085572
0.0,32,0.086345
0.0,12,0.086673
0.0,17,0.087111
0.0,9,0.087369
0.0,16,0.087778
0.0,16,0.088197
0.0,5,0.088364
1.0,26,0.088995
0.0,33,0.089772
0.0,9,0.090044
0.0,15,0.090437
0.0,8,0.09068
0.0,15,0.091087
1.0,25,0.091687
0.0,6,0.091886
1.0,25,0.09249
1.0,29,0.093173
1.0,9,0.093424
1.0,22,0.093973
1.0,12,0.094298
0.0,11,0.094599
0.0,10,0.094891
0.0,26,0.095525
1.0,26,0.096158
1.0,28,0.096833
1.0,39,0.097832
0.0,6,0.098031
1.0,14,0.098397
1.0,72,0.100009
0.0,14,0.100376
1.0,43,0.101372
0.0,28,0.102047
0.0,68,0.103594
0.0,33,0.104368
0.0,5,0.104544
0.0,15,0.10495
0.0,16,0.10536
0.0,6,0.105555
0.0,21,0.106079
1.0,29,0.106763
0.0,17,0.107205
0.0,12,0.107532
0.0,6,0.107721
0.0,4,0.107881
0.0,24,0.108466
0.0,14,0.108843
0.0,20,0.109326
0.0,38,0.110213
0.0,32,0.110978
0.0,6,0.111168
0.0,42,0.112138
1.0,21,0.112711
1.0,63,0.114143
0.0,19,0.114616
1.0,23,0.115177
0.0,22,0.115712
0.0,8,0.115968
0.0,54,0.117195
0.0,30,0.117919
0.0,5,0.118089
0.0,56,0.119364
0.0,15,0.119751
0.0,7,0.11997
0.0,41,0.120929
0.0,14,0.121324
1.0,11,0.121649
0.0,37,0.122518
0.0,9,0.12277
0.0,5,0.122946
0.0,27,0.123597
0.0,6,0.123807
0.0,34,0.1246
0.0,19,0.125077
0.0,11,0.125379
1.0,6,0.125575
0.0,23,0.126145
1.0,18,0.126597
1.0,26,0.127224
0.0,14,0.127591
1.0,29,0.128292
0.0,55,0.129546
0.0,3,0.129673
0.0,13,0.130028
0.0,14,0.130399
0.0,3,0.130546
1.0,11,0.130867
1.0,19,0.131343
1.0,25,0.13194
1.0,35,0.132746
0.0,5,0.132926
0.0,11,0.133235
0.0,31,0.133976
0.0,18,0.134429
0.0,9,0.13469
0.0,12,0.13503
0.0,10,0.135315
0.0,17,0.135734
1.0,39,0.136642
0.0,6,0.136845
0.0,18,0.137304
0.0,7,0.137523
0.0,51,0.138684
0.0,9,0.138957
0.0,5,0.139131
0.0,9,0.139387
0.0,3,0.139517
0.0,29,0.140215
0.0,16,0.140625
0.0,14,0.141008
0.0,32,0.14176
0.0,8,0.142001
0.0,35,0.142827
1.0,30,0.14353
0.0,4,0.143682
0.0,3,0.143817
0.0,20,0.144325
0.0,6,0.144531
1.0,37,0.145411
1.0,15,0.145797
1.0,28,0.146451
0.0,28,0.147129
0.0,28,0.147816
0.0,32,0.148578
0.0,55,0.149842
0.0,4,0.149998
0.0,13,0.150355
0.0,11,0.150677
0.0,26,0.151312
0.0,7,0.151537
0.0,19,0.152028
1.0,21,0.152535
0.0,11,0.152851
0.0,36,0.153692
0.0,22,0.154237
0.0,28,0.154908
1.0,25,0.155504
0.0,15,0.155906
1.0,87,0.157901
0.0,20,0.158402
1.0,17,0.158835
1.0,20,0.159316
0.0,19,0.1598
0.0,5,0.159971
1.0,43,0.160967
0.0,2,0.161072
1.0,24,0.161636
0.0,59,0.163001
0.0,2,0.163108
1.0,13,0.163454
0.0,8,0.163693
1.0,39,0.164623
1.0,34,0.165429
0.0,92,0.167489
0.0,25,0.168104
0.0,25,0.168692
0.0,32,0.169446
0.0,21,0.16997
0.0,38,0.170852
1.0,7,0.171064
0.0,40,0.171996
1.0,50,0.173136
0.0,14,0.173504
1.0,74,0.175165
1.0,17,0.175598
1.0,14,0.176006
1.0,30,0.176714
0.0,6,0.17692
1.0,20,0.177418
0.0,9,0.17767
1.0,25,0.178286
1.0,10,0.17856
0.0,21,0.179091
0.0,27,0.179734
1.0,15,0.180135
0.0,24,0.180749
0.0,32,0.181514
0.0,36,0.182364
0.0,2,0.182473
0.0,9,0.182732
0.0,12,0.18307
0.0,26,0.183696
1.0,35,0.18453
0.0,12,0.18487
0.0,33,0.18565
0.0,12,0.185982
0.0,14,0.186352
1.0,30,0.187072
0.0,47,0.18816
0.0,14,0.188525
0.0,12,0.188859
0.0,18,0.189315
0.0,30,0.190024
0.0,7,0.190247
1.0,20,0.190735
1.0,28,0.191404
0.0,16,0.191813
0.0,47,0.192891
0.0,66,0.194367
0.0,6,0.194565
0.0,2,0.194669
0.0,27,0.195327
0.0,31,0.196064
0.0,68,0.197591
1.0,15,0.197995
1.0,26,0.198614
1.0,17,0.199061
0.0,63,0.20049
0.0,53,0.201699
0.0,16,0.202129
0.0,12,0.202445
0.0,14,0.202822
0.0,24,0.203408
0.0,3,0.203534
0.0,13,0.20389
0.0,3,0.204016
0.0,16,0.204422
0.0,9,0.204679
0.0,40,0.205604
0.0,4,0.205753
0.0,7,0.205983
1.0,57,0.207279
0.0,4,0.207433
0.0,18,0.207896
0.0,44,0.208911
1.0,42,0.209881
0.0,22,0.210412
1.0,31,0.211145
0.0,24,0.211722
0.0,5,0.211913
0.0,35,0.212725
1.0,59,0.214134
0.0,4,0.214294
0.0,5,0.214462
0.0,20,0.214967
1.0,17,0.215387
1.0,18,0.215848
0.0,53,0.21704
0.0,6,0.217235
0.0,32,0.217997
0.0,15,0.218384
0.0,11,0.21869
1.0,10,0.218974
0.0,6,0.219177
0.0,36,0.220037
0.0,13,0.22038
0.0,27,0.221035
0.0,25,0.221638
0.0,9,0.221908
1.0,43,0.222897
0.0,16,0.223307
0.0,45,0.224341
0.0,21,0.224868
1.0,15,0.225246
1.0,21,0.225756
0.0,68,0.227273
0.0,20,0.227774
1.0,8,0.228014
0.0,26,0.228629
0.0,12,0.228958
1.0,23,0.229509
0.0,24,0.230094
0.0,6,0.23029
0.0,67,0.231825
1.0,15,0.232206
0.0,5,0.232381
0.0,13,0.232724
0.0,8,0.232972
0.0,18,0.233424
0.0,18,0.233875
0.0,38,0.23476
0.0,4,0.234912
0.0,5,0.235083
0.0,30,0.235805
1.0,18,0.236259
0.0,14,0.236629
1.0,17,0.237068
0.0,6,0.237267
0.0,5,0.23744
0.0,18,0.237944
0.0,10,0.23823
0.0,6,0.238424
1.0,17,0.238851
0.0,4,0.239005
0.0,19,0.239476
1.0,64,0.240917
1.0,58,0.242228
0.0,15,0.242621
1.0,45,0.243684
0.0,17,0.244128
0.0,8,0.244367
1.0,30,0.245086
0.0,21,0.245603
0.0,16,0.246022
0.0,9,0.24628
0.0,22,0.246808
0.0,40,0.247716
0.0,16,0.248129
0.0,21,0.248641
0.0,13,0.248987
0.0,12,0.249305
0.0,41,0.250248
0.0,3,0.250377
0.0,73,0.25201
0.0,59,0.253353
1.0,30,0.254075
0.0,87,0.256004
0.0,13,0.256353
0.0,34,0.257141
0.0,35,0.25796
0.0,30,0.258664
0.0,17,0.259104
0.0,52,0.260279
0.0,21,0.260794
0.0,37,0.261723
1.0,24,0.262307
1.0,34,0.263111
1.0,36,0.263947
1.0,26,0.264565
1.0,30,0.265286
0.0,9,0.26554
0.0,2,0.265642
1.0,18,0.266102
1.0,7,0.266322
0.0,28,0.266997
1.0,15,0.267375
0.0,52,0.268559
0.0,4,0.268707
0.0,14,0.269076
1.0,56,0.270326
0.0,18,0.270775
1.0,18,0.271237
0.0,7,0.271453
1.0,18,0.271911
0.0,19,0.272388
1.0,64,0.273827
0.0,36,0.274653
0.0,12,0.274996
1.0,8,0.275231
0.0,37,0.276097
1.0,56,0.277365
0.0,55,0.278625
0.0,10,0.278916
0.0,25,0.279534
0.0,8,0.279773
0.0,10,0.280068
0.0,27,0.280735
0.0,17,0.281174
0.0,28,0.281858
1.0,30,0.282571
0.0,58,0.2839
0.0,3,0.284033
0.0,24,0.284617
0.0,28,0.285299
0.0,35,0.286125
0.0,37,0.286994
1.0,23,0.287547
0.0,11,0.287859
1.0,20,0.288346
0.0,28,0.289028
1.0,13,0.289375
0.0,39,0.290299
1.0,17,0.290731
