#{"t_start": 1522144848.9362364, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,100,0.007813
0.0,18,0.008337
0.0,17,0.008792
0.0,80,0.010681
0.0,5,0.01087
0.0,17,0.011336
1.0,23,0.011927
0.0,7,0.012157
1.0,27,0.01286
0.0,3,0.013
1.0,18,0.01348
0.0,8,0.013728
1.0,54,0.015026
0.0,14,0.01544
0.0,10,0.015732
1.0,38,0.016693
0.0,24,0.017335
1.0,12,0.017686
0.0,14,0.018082
1.0,51,0.019329
1.0,16,0.019761
0.0,19,0.020246
0.0,12,0.020613
0.0,6,0.020821
0.0,55,0.022129
0.0,4,0.022305
0.0,11,0.022636
0.0,23,0.023233
0.0,21,0.0238
0.0,16,0.024252
1.0,13,0.024633
0.0,25,0.025274
0.0,39,0.026271
0.0,35,0.027149
0.0,8,0.027414
0.0,8,0.027666
0.0,11,0.027975
0.0,9,0.028255
0.0,4,0.028426
0.0,36,0.029315
0.0,17,0.029776
0.0,22,0.030362
0.0,23,0.030943
0.0,11,0.031255
1.0,18,0.031741
0.0,8,0.031998
1.0,18,0.032475
0.0,11,0.032804
0.0,22,0.033386
0.0,59,0.034826
0.0,23,0.035439
0.0,28,0.03615
0.0,17,0.036613
0.0,8,0.036862
0.0,63,0.038375
0.0,16,0.038819
0.0,31,0.039607
0.0,5,0.039784
0.0,21,0.040342
0.0,47,0.041463
1.0,23,0.042066
1.0,21,0.042616
1.0,14,0.042986
1.0,10,0.043279
0.0,5,0.043472
1.0,17,0.043937
0.0,13,0.044311
1.0,32,0.04511
1.0,9,0.045385
0.0,28,0.046083
0.0,8,0.046345
0.0,9,0.046616
0.0,8,0.046867
1.0,39,0.047838
1.0,15,0.048245
1.0,14,0.048635
1.0,57,0.050001
0.0,31,0.050778
0.0,45,0.051867
1.0,31,0.052644
0.0,3,0.052775
0.0,5,0.052963
1.0,17,0.053418
0.0,16,0.053842
0.0,9,0.054116
0.0,14,0.054509
1.0,45,0.055598
1.0,24,0.056207
1.0,37,0.057093
1.0,30,0.057862
0.0,18,0.058352
0.0,4,0.058513
0.0,32,0.05932
0.0,52,0.060558
1.0,29,0.061282
1.0,73,0.063015
1.0,26,0.063686
0.0,37,0.064604
1.0,13,0.064966
0.0,10,0.065249
0.0,16,0.065683
0.0,3,0.065813
0.0,17,0.066267
1.0,14,0.066664
0.0,6,0.066864
0.0,18,0.067353
0.0,94,0.069559
1.0,18,0.070035
1.0,25,0.070697
0.0,28,0.071409
0.0,6,0.071609
0.0,25,0.072233
1.0,21,0.072797
1.0,31,0.073591
0.0,50,0.074841
0.0,38,0.075778
0.0,3,0.075915
1.0,26,0.076591
0.0,8,0.076835
0.0,79,0.078689
0.0,41,0.079693
0.0,45,0.080787
1.0,46,0.08189
0.0,20,0.082418
0.0,36,0.083305
0.0,24,0.083927
1.0,13,0.084289
0.0,32,0.085099
1.0,30,0.085853
0.0,33,0.086675
0.0,19,0.08718
0.0,17,0.087639
0.0,20,0.088176
1.0,28,0.088897
0.0,15,0.089321
1.0,45,0.0904
0.0,61,0.091835
0.0,13,0.092203
0.0,5,0.092405
0.0,6,0.092616
1.0,27,0.093288
0.0,100,0.095663
0.0,6,0.095878
0.0,71,0.097576
0.0,14,0.097963
0.0,17,0.098424
0.0,21,0.098974
0.0,15,0.09941
0.0,61,0.100879
1.0,52,0.102157
0.0,67,0.103861
1.0,58,0.10528
0.0,9,0.105574
0.0,9,0.105911
0.0,28,0.106631
0.0,3,0.106771
0.0,5,0.106949
1.0,41,0.107937
0.0,3,0.108068
0.0,22,0.108657
0.0,9,0.108927
0.0,15,0.109362
1.0,20,0.109888
0.0,38,0.110828
0.0,15,0.111242
0.0,11,0.111559
1.0,21,0.112108
0.0,8,0.112371
0.0,68,0.114017
0.0,10,0.114315
1.0,14,0.114718
0.0,7,0.114948
0.0,27,0.11566
0.0,16,0.116106
0.0,100,0.118465
0.0,18,0.118946
0.0,37,0.119885
0.0,18,0.120371
1.0,11,0.120693
0.0,3,0.120828
0.0,31,0.121614
1.0,13,0.121985
0.0,9,0.122263
0.0,8,0.122515
0.0,35,0.123384
0.0,9,0.123661
0.0,54,0.124981
1.0,18,0.12546
0.0,60,0.126917
0.0,14,0.127324
0.0,17,0.127774
1.0,40,0.128754
1.0,50,0.129983
0.0,11,0.130327
1.0,7,0.13056
0.0,43,0.131605
0.0,19,0.132109
0.0,3,0.132237
0.0,22,0.132826
0.0,8,0.133079
0.0,38,0.134027
0.0,48,0.13518
0.0,22,0.135765
0.0,34,0.136627
0.0,15,0.137031
0.0,31,0.137795
0.0,13,0.138151
0.0,21,0.138695
0.0,8,0.13895
0.0,19,0.139464
1.0,11,0.139781
1.0,47,0.140922
1.0,44,0.141974
1.0,20,0.142522
0.0,4,0.142676
0.0,17,0.143127
0.0,31,0.143928
0.0,44,0.145008
1.0,19,0.145513
0.0,7,0.145739
0.0,15,0.146149
0.0,29,0.146899
0.0,19,0.147405
1.0,19,0.147905
1.0,22,0.148488
0.0,40,0.149485
0.0,11,0.149809
0.0,14,0.150184
0.0,41,0.151158
0.0,11,0.151481
0.0,16,0.1519
1.0,12,0.15223
1.0,27,0.152915
0.0,55,0.154216
0.0,8,0.154486
1.0,52,0.155721
1.0,10,0.156013
0.0,19,0.15653
1.0,12,0.156886
0.0,16,0.157332
0.0,11,0.157649
0.0,9,0.157925
0.0,14,0.158342
0.0,13,0.15872
0.0,33,0.159566
0.0,10,0.159874
0.0,11,0.160194
0.0,41,0.161233
0.0,29,0.161978
0.0,15,0.162411
0.0,11,0.162731
0.0,20,0.163256
0.0,26,0.163924
0.0,65,0.165494
0.0,8,0.165747
1.0,31,0.166531
1.0,8,0.166784
1.0,8,0.167026
0.0,9,0.167298
1.0,81,0.169226
0.0,32,0.170045
0.0,34,0.170894
0.0,51,0.17214
0.0,20,0.172673
0.0,10,0.172966
0.0,6,0.173164
0.0,63,0.174692
1.0,48,0.175865
0.0,15,0.176274
0.0,18,0.176749
0.0,53,0.178024
0.0,48,0.179183
0.0,11,0.179506
1.0,19,0.179993
1.0,13,0.180359
0.0,21,0.180909
0.0,31,0.181691
0.0,5,0.181875
0.0,14,0.182266
0.0,36,0.183158
1.0,30,0.183914
1.0,35,0.184805
0.0,30,0.185557
0.0,43,0.186606
1.0,63,0.188128
0.0,32,0.188935
0.0,9,0.189217
0.0,15,0.189623
0.0,14,0.190011
0.0,16,0.190454
1.0,17,0.190902
0.0,17,0.191376
1.0,18,0.191842
0.0,7,0.192074
1.0,18,0.192562
1.0,11,0.192873
0.0,52,0.194135
0.0,22,0.194718
0.0,66,0.196304
0.0,31,0.197073
0.0,10,0.197378
0.0,36,0.19826
1.0,46,0.199405
0.0,18,0.199893
1.0,19,0.200406
0.0,6,0.20061
0.0,5,0.200786
0.0,20,0.201308
0.0,20,0.201826
0.0,8,0.20208
0.0,56,0.203436
1.0,12,0.203778
0.0,27,0.204485
0.0,61,0.20595
0.0,61,0.207523
1.0,15,0.207935
1.0,73,0.209673
1.0,25,0.210329
0.0,5,0.210506
0.0,10,0.210795
0.0,18,0.211275
0.0,7,0.211514
0.0,8,0.211771
0.0,6,0.211971
0.0,15,0.212403
0.0,19,0.212912
1.0,22,0.213491
0.0,4,0.213645
1.0,42,0.214685
0.0,30,0.21545
0.0,56,0.216781
1.0,26,0.217439
1.0,15,0.217857
0.0,26,0.218524
1.0,32,0.219322
0.0,13,0.219695
0.0,24,0.22031
0.0,24,0.22093
0.0,31,0.221726
0.0,22,0.222307
0.0,4,0.222467
0.0,86,0.224526
0.0,18,0.225004
0.0,44,0.226091
0.0,44,0.227187
0.0,28,0.227905
0.0,4,0.22807
0.0,13,0.228452
1.0,26,0.229095
0.0,20,0.229615
1.0,67,0.231203
0.0,17,0.231674
0.0,36,0.232571
0.0,29,0.233303
0.0,4,0.233466
0.0,17,0.233939
1.0,50,0.235124
0.0,24,0.235739
0.0,15,0.236142
0.0,14,0.236544
1.0,16,0.236975
