#{"t_start": 1522146030.1950524, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,2,0.007559
0.0,29,0.008306
0.0,8,0.008558
0.0,8,0.008803
0.0,6,0.009007
0.0,15,0.009409
0.0,3,0.009537
0.0,27,0.010194
0.0,9,0.010451
0.0,3,0.010577
0.0,54,0.011802
0.0,64,0.01326
0.0,12,0.013592
0.0,16,0.014001
0.0,25,0.014613
0.0,9,0.014877
0.0,58,0.016228
0.0,16,0.016643
0.0,15,0.017039
0.0,3,0.017167
0.0,14,0.017534
0.0,50,0.018711
0.0,100,0.020944
0.0,13,0.021305
0.0,13,0.021657
0.0,21,0.022192
0.0,13,0.022545
0.0,21,0.02309
0.0,4,0.02326
0.0,6,0.023455
0.0,28,0.024138
0.0,9,0.0244
0.0,75,0.026104
0.0,9,0.02636
0.0,17,0.026797
1.0,35,0.027624
0.0,5,0.027795
0.0,49,0.028937
1.0,8,0.029189
1.0,14,0.029562
1.0,19,0.030035
0.0,22,0.030576
1.0,7,0.030789
0.0,10,0.031079
0.0,15,0.031469
0.0,10,0.031757
0.0,17,0.032201
0.0,7,0.03242
0.0,8,0.032655
0.0,28,0.033336
0.0,30,0.034063
0.0,23,0.034622
0.0,8,0.034857
0.0,7,0.035084
0.0,26,0.035723
0.0,11,0.036029
0.0,3,0.036157
0.0,15,0.036553
0.0,18,0.036998
0.0,15,0.037394
0.0,5,0.037566
1.0,49,0.038691
0.0,21,0.039226
0.0,16,0.03964
0.0,39,0.040549
0.0,19,0.041043
0.0,16,0.041462
0.0,23,0.042015
0.0,2,0.04213
0.0,23,0.042691
0.0,17,0.04313
0.0,2,0.04324
0.0,18,0.043695
0.0,22,0.044263
0.0,9,0.044521
1.0,28,0.045203
0.0,15,0.045595
0.0,14,0.045971
0.0,7,0.046201
0.0,15,0.046609
0.0,6,0.046806
0.0,18,0.047305
0.0,37,0.048186
1.0,34,0.048969
0.0,7,0.049194
0.0,42,0.050185
0.0,14,0.050549
0.0,7,0.050768
1.0,38,0.051666
0.0,23,0.052239
0.0,4,0.052389
0.0,17,0.05282
0.0,17,0.053316
1.0,37,0.054195
0.0,37,0.055073
0.0,4,0.055223
0.0,69,0.056787
0.0,17,0.057241
0.0,13,0.057591
0.0,12,0.057925
0.0,100,0.060197
0.0,7,0.060421
0.0,29,0.061127
0.0,2,0.061237
0.0,32,0.062006
0.0,28,0.062675
0.0,29,0.06339
0.0,2,0.063504
0.0,31,0.064255
0.0,85,0.066173
0.0,2,0.066281
0.0,42,0.067276
0.0,12,0.067607
1.0,34,0.068418
0.0,30,0.069148
1.0,12,0.069482
0.0,4,0.06964
0.0,62,0.071057
0.0,21,0.071585
0.0,28,0.072267
0.0,17,0.072701
0.0,14,0.07308
0.0,10,0.073362
0.0,16,0.073781
0.0,8,0.07403
0.0,11,0.074338
0.0,3,0.074464
0.0,17,0.074905
0.0,12,0.075239
0.0,7,0.075454
0.0,2,0.075563
0.0,40,0.076519
0.0,4,0.076669
1.0,50,0.07781
0.0,30,0.07854
0.0,86,0.080475
0.0,9,0.080739
0.0,52,0.081932
0.0,15,0.08233
0.0,8,0.082575
0.0,4,0.082728
0.0,34,0.083583
0.0,19,0.084068
1.0,21,0.084591
0.0,19,0.085077
0.0,5,0.085257
0.0,10,0.085539
0.0,3,0.085671
0.0,7,0.085881
0.0,17,0.08632
0.0,10,0.086604
0.0,11,0.086905
0.0,47,0.087995
0.0,9,0.088268
0.0,18,0.088732
0.0,11,0.08904
0.0,3,0.089171
0.0,9,0.089437
0.0,24,0.090011
0.0,17,0.090459
0.0,7,0.090686
0.0,45,0.091753
0.0,21,0.092284
0.0,20,0.092784
0.0,23,0.093349
0.0,6,0.093545
0.0,15,0.093935
1.0,11,0.094255
0.0,31,0.094989
0.0,20,0.095494
0.0,10,0.095783
0.0,39,0.096708
0.0,52,0.097906
0.0,14,0.098317
0.0,15,0.098711
1.0,24,0.099314
0.0,5,0.099485
0.0,16,0.099888
0.0,2,0.09999
0.0,14,0.100373
1.0,32,0.101169
1.0,29,0.101865
1.0,19,0.10235
1.0,15,0.102736
1.0,66,0.104253
0.0,9,0.104524
0.0,81,0.106378
0.0,9,0.106647
0.0,8,0.106882
0.0,14,0.107291
0.0,5,0.107469
0.0,14,0.107914
0.0,29,0.108626
0.0,36,0.109479
0.0,57,0.110782
0.0,45,0.111825
0.0,12,0.112154
0.0,12,0.112486
0.0,29,0.113183
0.0,10,0.11346
1.0,34,0.114267
0.0,6,0.11446
0.0,29,0.11517
0.0,6,0.115369
0.0,35,0.116198
1.0,72,0.117898
0.0,4,0.118058
0.0,18,0.118517
0.0,8,0.118749
1.0,73,0.120427
0.0,69,0.122002
0.0,9,0.122271
0.0,38,0.123163
0.0,16,0.123578
0.0,35,0.124411
0.0,6,0.124602
0.0,8,0.124834
0.0,39,0.125754
0.0,25,0.126378
0.0,59,0.127734
0.0,8,0.127978
0.0,22,0.128525
0.0,5,0.128695
0.0,11,0.128998
0.0,15,0.129401
0.0,14,0.12977
0.0,30,0.130498
0.0,18,0.130944
0.0,21,0.131485
0.0,10,0.131782
0.0,8,0.132019
0.0,18,0.132485
0.0,18,0.132938
0.0,5,0.13312
0.0,3,0.133248
0.0,6,0.133436
0.0,8,0.133667
0.0,40,0.13461
0.0,33,0.135419
0.0,13,0.135768
0.0,7,0.135989
0.0,3,0.136128
0.0,13,0.136481
0.0,6,0.136687
0.0,45,0.137795
0.0,28,0.138498
0.0,23,0.139082
0.0,69,0.140704
0.0,16,0.141138
0.0,17,0.141566
0.0,28,0.142257
1.0,31,0.142998
0.0,20,0.143514
0.0,3,0.143642
0.0,59,0.144985
0.0,20,0.145488
0.0,64,0.146941
0.0,5,0.147125
1.0,27,0.147772
0.0,16,0.148188
0.0,51,0.149358
0.0,8,0.1496
0.0,65,0.151087
0.0,5,0.151259
0.0,70,0.152831
1.0,91,0.154884
0.0,6,0.155092
0.0,6,0.155297
0.0,93,0.157387
0.0,24,0.157969
0.0,27,0.158632
0.0,54,0.15987
0.0,2,0.159981
0.0,14,0.160364
1.0,8,0.160609
0.0,37,0.161479
0.0,22,0.162033
1.0,49,0.163162
0.0,19,0.163642
0.0,7,0.163863
0.0,22,0.164415
0.0,5,0.164591
1.0,22,0.165143
0.0,22,0.165681
0.0,13,0.166049
0.0,4,0.166199
1.0,25,0.166797
1.0,64,0.168252
0.0,13,0.168591
0.0,14,0.168962
0.0,10,0.169246
0.0,31,0.169975
0.0,17,0.170418
0.0,98,0.172605
0.0,19,0.173107
0.0,12,0.17349
0.0,10,0.173768
0.0,6,0.173965
0.0,21,0.174495
0.0,8,0.174729
0.0,7,0.17495
1.0,18,0.17543
0.0,13,0.175778
0.0,5,0.175949
0.0,7,0.176194
0.0,76,0.177915
0.0,47,0.178996
0.0,6,0.179225
0.0,14,0.179587
0.0,13,0.179965
0.0,10,0.180269
0.0,15,0.180666
0.0,27,0.181339
1.0,24,0.181925
0.0,23,0.182516
0.0,21,0.183047
0.0,30,0.183756
0.0,43,0.184766
0.0,3,0.184893
0.0,72,0.186595
0.0,42,0.187583
0.0,4,0.187733
0.0,28,0.188435
0.0,14,0.188798
0.0,7,0.189015
0.0,38,0.189908
0.0,15,0.190312
0.0,5,0.19049
0.0,22,0.191055
0.0,6,0.191263
0.0,19,0.191737
0.0,39,0.192685
0.0,15,0.193078
0.0,38,0.193947
0.0,26,0.194589
0.0,60,0.195962
0.0,27,0.196624
0.0,53,0.197845
1.0,32,0.19861
0.0,20,0.199113
0.0,15,0.199509
0.0,25,0.200152
0.0,6,0.20035
0.0,27,0.200997
0.0,6,0.201203
0.0,19,0.201677
0.0,50,0.202821
0.0,9,0.203109
0.0,28,0.203782
0.0,54,0.205028
0.0,51,0.206244
0.0,9,0.206508
0.0,3,0.206634
1.0,13,0.206987
0.0,28,0.207667
0.0,16,0.208156
0.0,17,0.208603
0.0,57,0.2099
0.0,36,0.210754
0.0,2,0.210864
0.0,10,0.211162
0.0,37,0.212037
0.0,18,0.212498
0.0,25,0.213118
0.0,19,0.213588
0.0,100,0.215808
0.0,30,0.216521
0.0,20,0.217006
0.0,15,0.217409
0.0,6,0.217605
0.0,10,0.217892
0.0,9,0.218166
0.0,2,0.218272
0.0,5,0.218446
0.0,5,0.218616
0.0,75,0.220335
0.0,46,0.22139
0.0,8,0.221625
0.0,32,0.222389
0.0,38,0.22328
0.0,11,0.223588
0.0,3,0.223713
0.0,17,0.224149
0.0,5,0.224324
0.0,5,0.224494
0.0,17,0.224938
0.0,11,0.225254
0.0,82,0.227132
1.0,29,0.227836
0.0,5,0.228006
0.0,6,0.228214
0.0,15,0.228612
0.0,17,0.229058
0.0,5,0.229236
0.0,5,0.229406
0.0,53,0.230636
0.0,19,0.231126
0.0,23,0.231696
0.0,33,0.232485
0.0,6,0.232683
0.0,35,0.233521
0.0,10,0.233806
0.0,8,0.234051
0.0,7,0.234276
0.0,4,0.234424
0.0,4,0.234569
0.0,6,0.234767
0.0,29,0.235471
0.0,22,0.23601
0.0,11,0.236324
0.0,50,0.237493
0.0,4,0.237642
0.0,12,0.237966
0.0,10,0.238256
0.0,22,0.238804
0.0,20,0.239313
0.0,6,0.239505
0.0,28,0.240195
0.0,35,0.24101
0.0,5,0.241189
0.0,8,0.241431
0.0,9,0.24169
1.0,27,0.242345
0.0,43,0.243349
0.0,24,0.243937
0.0,8,0.244192
0.0,5,0.244361
0.0,6,0.244559
0.0,16,0.244979
0.0,9,0.24531
0.0,28,0.245968
0.0,39,0.246881
0.0,7,0.247114
0.0,12,0.247451
1.0,46,0.248518
0.0,9,0.248773
0.0,4,0.248925
0.0,23,0.249494
0.0,3,0.249626
0.0,43,0.250629
1.0,16,0.25104
1.0,24,0.251627
0.0,10,0.251907
0.0,5,0.252085
0.0,11,0.252387
0.0,18,0.252834
0.0,11,0.25315
0.0,20,0.253644
1.0,39,0.25454
0.0,28,0.255211
0.0,4,0.25536
0.0,34,0.256166
1.0,27,0.256811
0.0,2,0.256915
0.0,100,0.259162
0.0,4,0.259315
0.0,9,0.25958
0.0,21,0.260103
1.0,24,0.260694
0.0,41,0.261653
0.0,18,0.262125
0.0,10,0.262409
0.0,6,0.262628
0.0,12,0.262975
0.0,26,0.263615
0.0,21,0.264151
0.0,8,0.264386
1.0,27,0.265047
0.0,21,0.265568
0.0,11,0.26587
0.0,51,0.267065
0.0,44,0.2681
1.0,11,0.268406
0.0,8,0.268645
1.0,18,0.269102
0.0,15,0.26949
0.0,16,0.269905
0.0,14,0.270278
0.0,7,0.270497
0.0,12,0.270819
0.0,13,0.271179
0.0,11,0.271485
0.0,6,0.271683
0.0,31,0.272439
0.0,11,0.272738
0.0,13,0.273098
0.0,40,0.274028
0.0,3,0.274162
1.0,52,0.27537
0.0,10,0.275653
0.0,30,0.276399
0.0,27,0.277057
0.0,25,0.277662
0.0,40,0.278591
0.0,27,0.279264
0.0,20,0.279758
0.0,2,0.279862
0.0,6,0.280063
0.0,63,0.281491
1.0,29,0.282189
0.0,8,0.282431
0.0,40,0.28337
0.0,16,0.283789
0.0,36,0.28466
0.0,8,0.284903
0.0,79,0.286706
0.0,13,0.287058
1.0,29,0.287742
0.0,19,0.288256
0.0,9,0.288563
0.0,2,0.288682
0.0,26,0.289312
0.0,6,0.289503
