#{"t_start": 1522144752.4130661, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,13,0.005792
0.0,3,0.005939
0.0,10,0.006221
0.0,5,0.006406
0.0,17,0.006855
0.0,10,0.007141
0.0,16,0.007554
0.0,9,0.007828
0.0,29,0.008512
0.0,13,0.008871
0.0,7,0.009096
0.0,29,0.009789
0.0,11,0.010094
0.0,10,0.01038
0.0,7,0.010607
0.0,3,0.010735
0.0,13,0.011085
0.0,7,0.011304
0.0,2,0.01141
0.0,12,0.011754
0.0,23,0.012311
0.0,29,0.01301
0.0,24,0.013613
0.0,13,0.013969
0.0,16,0.014372
0.0,37,0.015239
0.0,37,0.01611
0.0,9,0.01638
1.0,6,0.016592
1.0,83,0.018475
1.0,62,0.019894
0.0,26,0.020512
0.0,32,0.02127
0.0,37,0.022138
0.0,50,0.023315
0.0,9,0.023591
0.0,28,0.024247
1.0,21,0.02477
0.0,61,0.026149
0.0,27,0.026796
0.0,13,0.027152
0.0,4,0.027311
0.0,14,0.027695
0.0,14,0.028062
0.0,2,0.028167
0.0,33,0.028942
0.0,42,0.029904
0.0,11,0.030202
0.0,21,0.030726
0.0,10,0.031016
0.0,22,0.031571
1.0,17,0.032002
0.0,33,0.032789
0.0,8,0.033026
0.0,100,0.035253
0.0,4,0.035406
0.0,64,0.036887
0.0,36,0.037739
0.0,11,0.038034
0.0,39,0.038937
0.0,15,0.03932
0.0,21,0.039847
1.0,17,0.040278
0.0,5,0.040451
1.0,28,0.041126
0.0,6,0.041328
1.0,17,0.04176
0.0,33,0.042523
1.0,22,0.043057
0.0,59,0.044384
0.0,29,0.045094
0.0,11,0.045399
0.0,49,0.046517
0.0,11,0.046852
0.0,11,0.047167
1.0,9,0.047432
0.0,3,0.04757
0.0,5,0.047749
0.0,100,0.049978
0.0,17,0.050411
0.0,9,0.050685
0.0,12,0.051008
0.0,7,0.05122
1.0,23,0.051791
0.0,2,0.051896
1.0,29,0.052589
0.0,48,0.053696
0.0,12,0.054025
0.0,37,0.054876
0.0,8,0.055121
0.0,5,0.055293
0.0,4,0.05544
1.0,29,0.056144
0.0,11,0.056451
0.0,40,0.057403
0.0,48,0.058548
1.0,10,0.058845
1.0,24,0.059432
1.0,35,0.06025
0.0,13,0.060611
0.0,19,0.061098
0.0,12,0.061424
0.0,6,0.061634
0.0,31,0.06238
1.0,32,0.063154
0.0,4,0.06331
1.0,39,0.064212
0.0,15,0.064626
0.0,10,0.064921
1.0,11,0.065234
1.0,30,0.065975
1.0,54,0.067237
0.0,21,0.067755
0.0,12,0.06808
0.0,23,0.068654
0.0,14,0.069015
0.0,9,0.069269
0.0,14,0.069642
1.0,8,0.069875
0.0,15,0.070266
0.0,7,0.070481
1.0,16,0.070908
0.0,3,0.071041
0.0,12,0.071374
0.0,22,0.071928
0.0,10,0.072206
0.0,6,0.072404
1.0,63,0.073861
1.0,14,0.074234
1.0,20,0.074752
0.0,58,0.076075
0.0,6,0.076282
0.0,4,0.076437
0.0,18,0.076899
0.0,14,0.077274
0.0,2,0.077378
0.0,9,0.077649
0.0,4,0.0778
0.0,6,0.077989
0.0,17,0.078418
0.0,4,0.078577
0.0,48,0.079684
0.0,7,0.079908
0.0,9,0.080191
0.0,5,0.080361
0.0,8,0.080614
1.0,19,0.081079
1.0,38,0.081963
1.0,20,0.08245
1.0,61,0.083845
1.0,19,0.084317
1.0,11,0.084638
0.0,2,0.084744
0.0,15,0.085136
0.0,7,0.085357
0.0,11,0.085679
0.0,35,0.086509
0.0,14,0.086879
0.0,16,0.08729
1.0,28,0.087956
0.0,4,0.088111
1.0,34,0.088919
1.0,23,0.089479
0.0,3,0.089621
1.0,35,0.090421
1.0,14,0.09084
0.0,6,0.091039
0.0,18,0.091493
0.0,16,0.091909
0.0,12,0.092237
0.0,16,0.092655
1.0,16,0.093067
1.0,13,0.093415
0.0,17,0.093862
0.0,57,0.095155
1.0,19,0.095646
0.0,14,0.096012
0.0,2,0.096116
0.0,40,0.097072
0.0,10,0.097355
0.0,11,0.097673
0.0,13,0.098024
0.0,31,0.098758
0.0,16,0.099183
0.0,2,0.099287
1.0,31,0.100044
0.0,46,0.101124
1.0,28,0.101796
0.0,18,0.102239
0.0,16,0.102665
0.0,5,0.102836
0.0,5,0.103004
0.0,4,0.103155
0.0,22,0.103712
1.0,11,0.104015
0.0,49,0.105143
0.0,22,0.105698
0.0,27,0.106412
0.0,24,0.107004
0.0,9,0.10727
0.0,9,0.107537
0.0,4,0.107701
0.0,29,0.108391
1.0,52,0.10957
1.0,18,0.110012
1.0,67,0.111515
0.0,14,0.111891
1.0,26,0.112536
0.0,14,0.112911
0.0,20,0.113408
1.0,9,0.113682
0.0,2,0.113787
1.0,17,0.114208
0.0,5,0.114375
1.0,10,0.114662
0.0,31,0.115395
0.0,6,0.115609
0.0,4,0.115759
1.0,16,0.116175
0.0,58,0.117505
0.0,9,0.117778
0.0,7,0.118002
0.0,51,0.119174
0.0,17,0.119612
1.0,31,0.120327
1.0,50,0.121469
0.0,10,0.121762
0.0,63,0.123184
0.0,12,0.123509
0.0,6,0.123718
0.0,9,0.123983
0.0,13,0.124331
0.0,4,0.124484
0.0,5,0.124665
0.0,6,0.124866
1.0,50,0.126016
0.0,77,0.127732
1.0,20,0.128222
1.0,46,0.129288
1.0,35,0.13011
0.0,10,0.130401
0.0,18,0.130878
0.0,2,0.130985
1.0,25,0.131614
1.0,23,0.132179
1.0,60,0.133511
1.0,17,0.133952
1.0,46,0.135027
1.0,30,0.135738
0.0,31,0.136462
0.0,4,0.136623
0.0,21,0.13715
0.0,11,0.137467
0.0,30,0.138196
1.0,13,0.138562
1.0,23,0.139131
1.0,41,0.140086
0.0,13,0.140437
0.0,10,0.140742
0.0,27,0.141404
0.0,53,0.142644
0.0,7,0.142861
0.0,12,0.143197
0.0,17,0.143645
0.0,32,0.144407
0.0,16,0.144831
0.0,32,0.145603
0.0,9,0.145861
0.0,68,0.147392
0.0,5,0.147577
1.0,18,0.148037
0.0,18,0.148491
1.0,15,0.148896
0.0,18,0.149346
0.0,31,0.150074
0.0,11,0.150383
1.0,16,0.150798
0.0,100,0.153044
0.0,7,0.153268
1.0,18,0.153731
0.0,8,0.153977
0.0,2,0.154082
0.0,43,0.155085
