#{"t_start": 1522146582.5847986, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,75,0.014237
0.0,8,0.014647
0.0,27,0.015706
0.0,12,0.016252
0.0,22,0.017152
0.0,70,0.019743
0.0,33,0.021039
0.0,100,0.024691
0.0,7,0.025062
0.0,2,0.025241
0.0,6,0.025552
0.0,3,0.02576
0.0,8,0.026154
0.0,2,0.02633
0.0,14,0.026915
0.0,47,0.028693
0.0,24,0.029622
0.0,27,0.030664
1.0,44,0.032278
0.0,4,0.032519
0.0,36,0.033827
0.0,77,0.036527
0.0,46,0.038193
0.0,20,0.038996
0.0,49,0.040708
1.0,16,0.041342
0.0,6,0.04164
0.0,19,0.042361
0.0,31,0.043459
0.0,22,0.044274
0.0,22,0.045089
1.0,14,0.04565
0.0,18,0.046348
1.0,14,0.046902
0.0,8,0.047272
0.0,3,0.047465
0.0,9,0.047859
0.0,11,0.048341
1.0,27,0.049313
0.0,21,0.050058
1.0,12,0.050547
0.0,27,0.051488
0.0,26,0.052399
1.0,41,0.053779
1.0,46,0.055349
0.0,9,0.055724
1.0,31,0.056789
1.0,45,0.058313
1.0,46,0.05954
1.0,18,0.060068
1.0,9,0.060372
0.0,10,0.060702
1.0,33,0.061583
1.0,25,0.062285
1.0,20,0.062861
1.0,46,0.064089
0.0,13,0.064528
1.0,8,0.064801
0.0,32,0.065659
1.0,42,0.066784
0.0,21,0.067386
1.0,16,0.067856
1.0,28,0.068641
1.0,54,0.07006
0.0,19,0.070627
1.0,13,0.071033
0.0,15,0.071494
1.0,52,0.07286
0.0,4,0.073031
0.0,16,0.073522
1.0,24,0.074198
0.0,2,0.074332
0.0,10,0.07466
0.0,3,0.074811
0.0,17,0.075322
1.0,32,0.07619
1.0,29,0.076976
1.0,12,0.077365
1.0,19,0.077902
1.0,25,0.078602
1.0,8,0.078869
0.0,15,0.079331
1.0,28,0.080098
1.0,19,0.080662
0.0,6,0.080883
0.0,23,0.081546
1.0,39,0.082577
0.0,30,0.083402
1.0,38,0.08444
1.0,50,0.085755
1.0,37,0.086745
1.0,61,0.088333
1.0,30,0.089137
0.0,3,0.089291
0.0,25,0.089988
0.0,19,0.090541
0.0,5,0.090738
1.0,24,0.091405
1.0,15,0.091867
0.0,23,0.092513
1.0,22,0.093137
1.0,9,0.093448
1.0,20,0.094025
0.0,26,0.094758
1.0,25,0.095507
0.0,21,0.096101
1.0,39,0.097134
0.0,4,0.097354
1.0,21,0.097942
0.0,34,0.098892
1.0,19,0.099447
1.0,15,0.099897
0.0,21,0.100526
0.0,4,0.100706
0.0,37,0.101707
1.0,21,0.102315
0.0,7,0.102563
0.0,18,0.103079
0.0,7,0.103338
1.0,10,0.103669
0.0,4,0.103841
0.0,7,0.104083
1.0,17,0.104578
1.0,36,0.105543
1.0,27,0.106281
1.0,15,0.106725
1.0,11,0.107067
0.0,15,0.107533
