#{"t_start": 1522145886.7425582, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,3,0.009894
0.0,41,0.011073
0.0,15,0.011552
0.0,93,0.013948
0.0,19,0.014528
0.0,32,0.015417
0.0,14,0.01586
0.0,63,0.017529
0.0,42,0.018669
0.0,100,0.021288
0.0,16,0.021784
0.0,27,0.022547
0.0,11,0.022908
0.0,11,0.023252
0.0,19,0.023813
0.0,13,0.024215
0.0,3,0.024366
0.0,25,0.025083
0.0,52,0.026463
0.0,18,0.02699
0.0,22,0.027622
0.0,5,0.027829
0.0,8,0.028137
0.0,7,0.028412
1.0,18,0.028994
0.0,15,0.029487
0.0,13,0.029928
1.0,15,0.030416
0.0,60,0.032171
0.0,43,0.03335
0.0,9,0.033683
1.0,10,0.034018
0.0,14,0.034444
0.0,26,0.035193
0.0,37,0.036198
0.0,25,0.036913
0.0,25,0.037637
0.0,56,0.039124
0.0,12,0.039513
0.0,25,0.040199
1.0,15,0.040661
1.0,39,0.041712
0.0,6,0.041948
1.0,21,0.042559
0.0,27,0.043309
0.0,41,0.044429
1.0,36,0.045404
0.0,24,0.046086
0.0,21,0.046696
0.0,8,0.046969
0.0,8,0.04724
1.0,20,0.04783
1.0,46,0.049066
0.0,40,0.050171
0.0,14,0.050604
0.0,3,0.050761
0.0,7,0.051019
0.0,15,0.051484
0.0,16,0.051953
0.0,47,0.053228
0.0,14,0.053677
1.0,8,0.053956
0.0,16,0.054429
1.0,11,0.054795
1.0,70,0.056617
1.0,33,0.057532
1.0,37,0.058536
1.0,27,0.059291
1.0,10,0.059634
0.0,18,0.060163
0.0,37,0.061166
1.0,30,0.061998
0.0,12,0.062381
0.0,5,0.06259
1.0,16,0.063061
1.0,35,0.064032
0.0,80,0.066128
0.0,30,0.066976
1.0,31,0.067837
0.0,2,0.067961
0.0,2,0.068085
0.0,5,0.06829
1.0,36,0.069281
0.0,16,0.069762
1.0,14,0.07019
1.0,34,0.071108
0.0,29,0.071899
0.0,48,0.073185
0.0,23,0.073867
1.0,32,0.074751
0.0,15,0.075202
0.0,2,0.075327
0.0,36,0.076301
0.0,31,0.077145
0.0,15,0.077601
0.0,11,0.077955
0.0,35,0.078931
0.0,30,0.079769
0.0,2,0.07989
0.0,6,0.080123
0.0,100,0.082732
0.0,5,0.082934
0.0,42,0.084079
1.0,30,0.084916
1.0,17,0.085433
0.0,2,0.085562
