#{"t_start": 1522145080.7710252, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,3,0.007145
0.0,53,0.009868
0.0,20,0.010946
0.0,10,0.011571
0.0,4,0.011886
0.0,29,0.01336
0.0,9,0.013922
0.0,3,0.014188
0.0,6,0.014619
0.0,6,0.015018
0.0,10,0.015629
0.0,36,0.017375
0.0,6,0.017765
0.0,4,0.018064
0.0,12,0.018702
0.0,14,0.019401
0.0,14,0.020127
0.0,12,0.020784
0.0,96,0.025067
0.0,19,0.026015
0.0,10,0.026587
0.0,40,0.028314
0.0,25,0.029454
0.0,20,0.030368
0.0,60,0.032904
0.0,6,0.033278
0.0,33,0.034768
0.0,100,0.038805
0.0,2,0.038991
0.0,5,0.0393
0.0,9,0.03977
0.0,4,0.040022
0.0,3,0.040234
0.0,13,0.040875
0.0,4,0.041135
0.0,4,0.041387
0.0,3,0.041626
0.0,6,0.041959
0.0,75,0.044908
0.0,100,0.048714
0.0,51,0.05066
0.0,78,0.053564
0.0,47,0.055352
1.0,70,0.057935
0.0,16,0.058581
0.0,29,0.05967
0.0,85,0.062655
0.0,58,0.064732
1.0,69,0.067179
0.0,16,0.067816
0.0,100,0.071058
0.0,68,0.073306
0.0,37,0.074621
0.0,84,0.077376
1.0,69,0.079587
1.0,16,0.080171
0.0,6,0.080457
0.0,8,0.080794
0.0,11,0.081222
0.0,11,0.081677
0.0,11,0.082108
0.0,3,0.082299
0.0,12,0.082775
0.0,2,0.082929
0.0,2,0.083081
0.0,16,0.08367
0.0,13,0.084168
0.0,12,0.084658
0.0,2,0.084804
0.0,3,0.08498
0.0,64,0.087068
0.0,4,0.087271
0.0,8,0.087599
0.0,19,0.088253
0.0,25,0.089088
0.0,12,0.089542
0.0,8,0.089872
0.0,17,0.090474
0.0,34,0.091567
0.0,64,0.093563
0.0,3,0.093746
0.0,16,0.09429
0.0,6,0.094565
0.0,19,0.095208
0.0,85,0.097805
0.0,14,0.098278
0.0,9,0.098623
0.0,7,0.0989
0.0,14,0.099386
0.0,17,0.099977
0.0,8,0.100288
0.0,18,0.100898
0.0,33,0.101941
0.0,12,0.102353
0.0,3,0.102525
0.0,20,0.10317
0.0,12,0.103606
0.0,16,0.104142
0.0,13,0.104608
0.0,20,0.105249
0.0,27,0.106108
0.0,10,0.106493
0.0,15,0.107008
0.0,9,0.107414
0.0,10,0.107787
0.0,5,0.108
0.0,60,0.10974
0.0,4,0.109945
0.0,4,0.110133
0.0,72,0.112202
0.0,7,0.112507
0.0,17,0.113069
0.0,14,0.113551
0.0,9,0.113879
1.0,55,0.11549
0.0,6,0.115739
0.0,30,0.116648
0.0,11,0.117008
0.0,9,0.11728
0.0,7,0.117512
0.0,42,0.118515
1.0,83,0.120377
1.0,20,0.120886
0.0,18,0.121339
0.0,43,0.122361
0.0,41,0.123341
0.0,30,0.124093
0.0,43,0.125118
0.0,2,0.12523
0.0,21,0.125767
0.0,22,0.126322
0.0,19,0.126806
0.0,6,0.127002
0.0,25,0.127609
0.0,30,0.128338
0.0,30,0.129073
0.0,41,0.130039
0.0,15,0.130449
0.0,6,0.130646
0.0,7,0.130866
0.0,58,0.132233
0.0,9,0.132539
0.0,12,0.132868
0.0,25,0.133482
1.0,47,0.134573
0.0,66,0.136065
0.0,49,0.1372
0.0,60,0.138604
0.0,38,0.139506
0.0,20,0.140003
0.0,4,0.140159
0.0,31,0.140925
0.0,55,0.142188
0.0,22,0.14274
0.0,27,0.143385
0.0,100,0.145602
0.0,37,0.146477
0.0,22,0.147012
0.0,4,0.147161
0.0,22,0.147706
0.0,7,0.147924
0.0,10,0.14822
0.0,15,0.148637
0.0,15,0.149035
0.0,5,0.149207
0.0,12,0.149542
0.0,8,0.149792
0.0,29,0.150498
0.0,36,0.151344
0.0,37,0.152228
1.0,65,0.15369
0.0,5,0.153861
0.0,8,0.154102
0.0,20,0.154597
0.0,6,0.154804
0.0,7,0.155024
0.0,14,0.155395
0.0,17,0.155844
0.0,9,0.15612
0.0,16,0.156544
0.0,60,0.157894
0.0,79,0.159667
0.0,12,0.159996
0.0,18,0.160454
1.0,20,0.160959
0.0,65,0.162428
0.0,8,0.162674
0.0,8,0.162915
0.0,5,0.163092
0.0,27,0.163761
0.0,2,0.163867
0.0,9,0.164136
0.0,36,0.164999
0.0,19,0.165488
0.0,26,0.166109
0.0,9,0.166368
0.0,19,0.166863
0.0,14,0.167243
0.0,31,0.167979
0.0,15,0.168365
0.0,14,0.168752
0.0,3,0.168889
0.0,3,0.169019
0.0,43,0.170028
0.0,3,0.170159
0.0,10,0.170453
0.0,24,0.171056
0.0,12,0.171388
0.0,12,0.171732
0.0,4,0.171888
0.0,6,0.17208
0.0,13,0.172438
0.0,51,0.173604
0.0,7,0.173827
0.0,22,0.174375
0.0,24,0.174965
0.0,10,0.175254
0.0,22,0.175814
