#{"t_start": 1522145346.9962018, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,2,0.006866
0.0,2,0.007
0.0,2,0.007149
0.0,8,0.007449
0.0,2,0.007566
0.0,12,0.007909
0.0,2,0.008016
0.0,8,0.008269
0.0,12,0.008619
0.0,5,0.008801
0.0,25,0.009434
0.0,10,0.009733
0.0,52,0.010965
0.0,6,0.011169
0.0,4,0.011317
0.0,5,0.011514
0.0,11,0.011828
0.0,61,0.01324
0.0,11,0.01358
0.0,43,0.014635
0.0,29,0.015361
1.0,32,0.016143
0.0,16,0.016588
0.0,10,0.016887
0.0,9,0.01716
0.0,17,0.017634
1.0,16,0.01806
0.0,45,0.019171
0.0,18,0.019659
0.0,2,0.019767
0.0,4,0.019917
0.0,4,0.020072
0.0,9,0.020357
0.0,6,0.020562
0.0,25,0.021178
0.0,7,0.021403
0.0,4,0.021553
0.0,3,0.021678
1.0,14,0.022069
1.0,55,0.02339
0.0,19,0.023881
0.0,5,0.024061
0.0,9,0.024349
0.0,6,0.024553
0.0,10,0.024847
0.0,7,0.025071
1.0,10,0.02538
0.0,9,0.025651
0.0,29,0.026375
0.0,18,0.026859
0.0,10,0.027151
0.0,3,0.027278
0.0,6,0.027489
0.0,17,0.027949
0.0,17,0.028414
0.0,10,0.028703
0.0,22,0.029265
0.0,21,0.02981
0.0,54,0.03108
0.0,10,0.0314
0.0,8,0.031648
0.0,14,0.032028
0.0,10,0.032321
0.0,13,0.032687
0.0,4,0.032843
0.0,51,0.034082
1.0,30,0.034806
0.0,2,0.03491
1.0,13,0.035255
0.0,36,0.036147
0.0,13,0.03652
0.0,26,0.037163
0.0,10,0.037504
1.0,15,0.037905
0.0,12,0.03824
1.0,22,0.038857
1.0,20,0.039366
0.0,10,0.039658
0.0,27,0.040348
0.0,20,0.040853
0.0,5,0.041035
0.0,10,0.04134
0.0,13,0.04169
0.0,74,0.043397
0.0,21,0.043935
1.0,8,0.044173
0.0,4,0.044334
1.0,13,0.044684
0.0,31,0.045454
0.0,12,0.04579
0.0,5,0.045968
0.0,3,0.046101
0.0,23,0.046696
0.0,21,0.04723
1.0,63,0.048717
0.0,31,0.049496
0.0,15,0.049895
0.0,18,0.050384
0.0,10,0.050684
0.0,27,0.051371
1.0,10,0.051653
0.0,18,0.052118
0.0,5,0.052295
1.0,28,0.053
0.0,7,0.053218
0.0,9,0.053493
1.0,26,0.05414
1.0,25,0.054757
1.0,20,0.055259
0.0,4,0.055418
0.0,10,0.055698
0.0,100,0.057961
0.0,9,0.058239
0.0,12,0.058584
0.0,15,0.058973
0.0,8,0.05922
0.0,13,0.059586
0.0,4,0.059743
0.0,18,0.060215
0.0,8,0.060463
1.0,12,0.060796
0.0,21,0.06132
1.0,43,0.062359
0.0,6,0.062553
0.0,12,0.062876
1.0,24,0.063474
0.0,13,0.063825
0.0,4,0.063983
0.0,28,0.064686
0.0,22,0.065237
1.0,15,0.065653
0.0,18,0.066128
0.0,12,0.066499
1.0,43,0.067556
0.0,18,0.068032
0.0,7,0.068248
0.0,10,0.068535
1.0,29,0.069234
0.0,8,0.069493
1.0,29,0.0702
0.0,17,0.070662
1.0,30,0.07141
0.0,12,0.071733
1.0,11,0.072033
0.0,65,0.073564
0.0,13,0.073924
0.0,6,0.074127
1.0,23,0.074728
0.0,5,0.074899
0.0,25,0.075546
0.0,10,0.075834
0.0,32,0.076631
0.0,23,0.0772
0.0,3,0.077334
0.0,8,0.077589
0.0,2,0.077692
0.0,10,0.077974
0.0,16,0.078397
0.0,22,0.078956
0.0,2,0.079065
0.0,15,0.079469
0.0,23,0.08005
0.0,19,0.080544
0.0,17,0.080991
1.0,11,0.081293
0.0,29,0.081994
0.0,12,0.08234
0.0,29,0.083055
0.0,28,0.083735
0.0,2,0.083839
0.0,16,0.084256
0.0,10,0.084547
0.0,14,0.084935
1.0,16,0.085359
0.0,19,0.085846
1.0,20,0.086352
0.0,33,0.087134
0.0,26,0.087797
0.0,22,0.088361
0.0,21,0.088883
0.0,12,0.089206
1.0,16,0.089635
0.0,22,0.09018
0.0,27,0.090844
0.0,7,0.091068
0.0,4,0.091216
0.0,13,0.091578
0.0,12,0.091907
0.0,3,0.092039
0.0,10,0.092333
0.0,14,0.092716
0.0,11,0.093031
0.0,44,0.094083
0.0,17,0.094536
0.0,9,0.094801
0.0,9,0.09506
0.0,9,0.095335
0.0,10,0.095626
0.0,6,0.095832
1.0,49,0.09699
0.0,91,0.099075
0.0,32,0.099859
0.0,9,0.100131
1.0,21,0.100685
0.0,15,0.101097
0.0,5,0.101277
0.0,9,0.101553
1.0,23,0.102117
1.0,28,0.102815
0.0,3,0.102948
0.0,4,0.103102
1.0,16,0.103526
1.0,52,0.104774
0.0,16,0.105202
0.0,17,0.105656
0.0,23,0.106242
0.0,6,0.106467
0.0,7,0.106699
0.0,4,0.106856
1.0,16,0.107356
0.0,13,0.107724
0.0,6,0.107928
0.0,8,0.108165
1.0,11,0.108487
1.0,11,0.108804
1.0,12,0.109125
0.0,12,0.109472
1.0,22,0.110023
0.0,6,0.110228
0.0,17,0.110699
1.0,37,0.111605
0.0,30,0.112342
0.0,2,0.112454
1.0,15,0.112846
0.0,18,0.113337
0.0,15,0.11374
1.0,32,0.114509
0.0,3,0.114634
0.0,6,0.114832
1.0,19,0.115308
1.0,23,0.115891
0.0,17,0.116341
1.0,13,0.116701
0.0,4,0.116861
0.0,3,0.117006
0.0,3,0.117143
1.0,13,0.117524
0.0,2,0.117629
0.0,26,0.118294
0.0,3,0.118433
1.0,17,0.118872
1.0,38,0.119801
0.0,3,0.119933
0.0,38,0.120864
0.0,21,0.121414
0.0,6,0.121618
1.0,17,0.122062
0.0,10,0.12237
1.0,7,0.122589
1.0,53,0.123823
1.0,12,0.124157
0.0,5,0.124345
0.0,18,0.124815
0.0,8,0.125061
1.0,18,0.125539
0.0,61,0.126955
0.0,9,0.127222
0.0,22,0.127794
0.0,16,0.128206
1.0,29,0.128916
0.0,6,0.129112
1.0,19,0.129614
0.0,12,0.129941
0.0,28,0.130648
1.0,41,0.131626
1.0,17,0.132065
1.0,12,0.13241
0.0,3,0.132541
0.0,10,0.132831
1.0,18,0.133303
1.0,20,0.133818
0.0,15,0.134218
0.0,8,0.134472
1.0,22,0.135025
0.0,16,0.135455
0.0,23,0.136032
0.0,4,0.136181
1.0,11,0.136504
0.0,7,0.136726
0.0,7,0.136949
0.0,14,0.137343
1.0,15,0.13776
0.0,16,0.138182
0.0,54,0.139477
1.0,6,0.139673
0.0,8,0.139911
0.0,8,0.140166
0.0,14,0.14055
0.0,10,0.14085
0.0,13,0.141208
1.0,61,0.142675
1.0,13,0.143038
0.0,2,0.143147
0.0,9,0.143422
1.0,10,0.143723
0.0,17,0.144176
1.0,28,0.144886
0.0,28,0.145576
0.0,60,0.147001
0.0,7,0.147223
0.0,42,0.148244
1.0,10,0.148551
0.0,18,0.149018
0.0,7,0.14924
0.0,28,0.149965
1.0,15,0.15038
1.0,83,0.152286
0.0,9,0.152565
0.0,43,0.153583
0.0,19,0.154088
0.0,3,0.154216
0.0,9,0.154498
0.0,24,0.155099
0.0,6,0.155298
0.0,3,0.15544
0.0,10,0.155734
0.0,30,0.156476
0.0,9,0.156744
0.0,10,0.157038
0.0,22,0.157607
0.0,41,0.158617
0.0,11,0.15893
0.0,8,0.159165
0.0,6,0.159373
1.0,33,0.160163
0.0,53,0.161416
0.0,2,0.161526
0.0,18,0.161988
1.0,50,0.163167
1.0,55,0.16447
0.0,33,0.165281
0.0,3,0.165424
0.0,4,0.165581
0.0,38,0.166528
0.0,2,0.166634
0.0,24,0.167246
0.0,22,0.167835
0.0,7,0.168053
0.0,78,0.169899
0.0,7,0.170121
0.0,14,0.170508
0.0,100,0.172782
0.0,23,0.173383
0.0,4,0.173541
