#{"t_start": 1522146362.5769703, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,54,0.012052
0.0,7,0.012288
0.0,9,0.012568
0.0,8,0.012821
0.0,6,0.013026
0.0,4,0.013185
0.0,2,0.01329
0.0,3,0.013417
0.0,17,0.013879
0.0,5,0.014055
0.0,3,0.014181
0.0,5,0.014358
0.0,2,0.014467
0.0,23,0.015064
0.0,15,0.01547
0.0,32,0.016266
0.0,8,0.016515
0.0,41,0.017549
0.0,9,0.017833
1.0,58,0.019229
0.0,4,0.019388
1.0,31,0.020159
0.0,35,0.021032
0.0,2,0.021147
0.0,7,0.021368
0.0,13,0.02175
0.0,29,0.022495
0.0,15,0.02296
0.0,18,0.023429
1.0,57,0.024787
0.0,15,0.025188
0.0,23,0.025783
0.0,20,0.0263
0.0,9,0.026579
0.0,3,0.026711
0.0,34,0.027528
0.0,15,0.027975
0.0,31,0.028735
0.0,33,0.02954
0.0,2,0.029661
0.0,17,0.030108
0.0,54,0.031396
0.0,7,0.031626
1.0,19,0.032136
0.0,9,0.032397
1.0,20,0.03292
0.0,40,0.033887
0.0,59,0.035299
0.0,8,0.035546
0.0,14,0.035935
0.0,32,0.036735
0.0,9,0.037013
0.0,2,0.037117
0.0,8,0.037364
0.0,9,0.037651
0.0,34,0.038494
0.0,34,0.039324
0.0,13,0.039702
1.0,12,0.040031
0.0,12,0.04037
0.0,3,0.040496
0.0,17,0.040958
0.0,13,0.041317
0.0,15,0.041734
1.0,34,0.042566
0.0,12,0.042907
0.0,3,0.043042
0.0,32,0.043822
0.0,13,0.044176
0.0,4,0.044338
0.0,11,0.044659
0.0,12,0.045004
0.0,17,0.045452
0.0,40,0.046445
0.0,12,0.046792
0.0,8,0.04704
0.0,7,0.047267
0.0,21,0.047841
0.0,3,0.047976
0.0,3,0.048105
0.0,19,0.048607
0.0,9,0.048872
0.0,6,0.049076
0.0,11,0.0494
0.0,20,0.049929
0.0,9,0.050208
0.0,3,0.050336
0.0,3,0.050467
0.0,2,0.050586
1.0,8,0.050838
1.0,31,0.051613
1.0,28,0.052293
0.0,3,0.052421
0.0,4,0.052578
1.0,14,0.052961
0.0,68,0.054542
0.0,43,0.055692
0.0,21,0.056234
0.0,29,0.056963
0.0,63,0.058457
0.0,8,0.058712
0.0,12,0.05905
0.0,74,0.060796
0.0,12,0.061132
0.0,4,0.061284
0.0,20,0.061805
0.0,6,0.06201
0.0,45,0.063097
0.0,4,0.063257
0.0,63,0.064749
0.0,13,0.065115
0.0,5,0.065286
0.0,6,0.065479
0.0,12,0.065821
0.0,26,0.066446
0.0,15,0.066845
0.0,17,0.067298
0.0,44,0.06837
0.0,21,0.068934
0.0,18,0.069401
0.0,4,0.069551
0.0,4,0.06971
0.0,4,0.06986
0.0,5,0.070037
0.0,4,0.070194
0.0,19,0.070693
0.0,17,0.071146
0.0,4,0.071299
0.0,52,0.072534
0.0,22,0.073104
0.0,6,0.073301
0.0,27,0.073998
0.0,6,0.074193
0.0,44,0.075254
0.0,4,0.075412
0.0,16,0.075845
0.0,9,0.076119
0.0,29,0.076826
1.0,61,0.07824
0.0,5,0.078413
0.0,2,0.078522
0.0,13,0.078896
1.0,54,0.080166
0.0,28,0.08088
0.0,21,0.08142
1.0,26,0.082068
0.0,20,0.082594
0.0,15,0.083009
0.0,88,0.085047
1.0,18,0.085533
1.0,8,0.08578
0.0,61,0.087188
0.0,2,0.087296
0.0,12,0.087649
1.0,36,0.088518
0.0,41,0.089521
0.0,15,0.089935
0.0,40,0.090909
1.0,37,0.091796
0.0,21,0.092332
0.0,50,0.093499
1.0,17,0.093959
0.0,2,0.094068
0.0,53,0.095313
0.0,8,0.095567
1.0,13,0.095917
0.0,4,0.096065
0.0,3,0.096196
1.0,12,0.096534
0.0,44,0.09762
1.0,9,0.097894
0.0,11,0.098198
0.0,4,0.098358
0.0,2,0.098462
0.0,17,0.098926
0.0,3,0.099064
0.0,23,0.099658
1.0,21,0.100199
1.0,29,0.10093
0.0,27,0.101618
1.0,29,0.102336
0.0,6,0.102537
0.0,13,0.102906
0.0,9,0.103172
0.0,12,0.103496
0.0,7,0.103726
0.0,29,0.104439
0.0,12,0.104783
0.0,31,0.105567
0.0,3,0.105703
0.0,8,0.105949
0.0,21,0.106483
0.0,10,0.106785
0.0,20,0.107301
0.0,36,0.108205
0.0,13,0.108554
0.0,26,0.109212
0.0,10,0.109495
0.0,42,0.110628
0.0,36,0.111501
1.0,26,0.112229
1.0,18,0.112705
1.0,8,0.112948
0.0,6,0.113151
0.0,5,0.113325
0.0,8,0.11357
0.0,19,0.114054
1.0,29,0.114772
0.0,2,0.114876
1.0,52,0.116107
0.0,17,0.116545
0.0,46,0.11777
0.0,6,0.11799
0.0,42,0.119056
0.0,2,0.119173
0.0,8,0.119445
1.0,60,0.120916
0.0,16,0.121372
0.0,40,0.122382
0.0,18,0.122868
0.0,3,0.122997
0.0,24,0.123606
1.0,29,0.12431
0.0,66,0.12587
0.0,2,0.125977
0.0,31,0.126733
0.0,3,0.12686
0.0,33,0.127664
0.0,6,0.127865
0.0,21,0.128407
0.0,7,0.128652
0.0,22,0.129205
0.0,13,0.129564
0.0,2,0.129675
0.0,5,0.129855
1.0,38,0.130764
0.0,7,0.130979
0.0,29,0.131717
1.0,18,0.132182
0.0,20,0.132706
0.0,24,0.133307
1.0,17,0.133759
0.0,4,0.133913
1.0,9,0.134184
0.0,31,0.134959
1.0,11,0.135287
0.0,20,0.13582
1.0,17,0.136263
0.0,6,0.136463
0.0,39,0.137416
0.0,11,0.137744
0.0,34,0.138662
1.0,77,0.14044
0.0,5,0.140635
1.0,27,0.141302
0.0,16,0.141747
0.0,15,0.142148
0.0,15,0.142546
0.0,2,0.142664
0.0,28,0.143363
0.0,2,0.143467
0.0,9,0.143752
1.0,12,0.144078
0.0,22,0.144642
1.0,21,0.145174
0.0,9,0.145442
0.0,6,0.145646
0.0,7,0.145869
0.0,4,0.146023
0.0,11,0.146334
0.0,23,0.146928
0.0,15,0.147349
0.0,4,0.147506
0.0,11,0.147833
1.0,37,0.148741
1.0,37,0.149634
0.0,14,0.150012
0.0,31,0.15079
0.0,3,0.150925
0.0,25,0.151564
0.0,22,0.152126
0.0,13,0.15248
0.0,3,0.15262
0.0,39,0.153565
0.0,29,0.15429
0.0,3,0.154417
0.0,22,0.15498
0.0,17,0.155431
0.0,5,0.155626
0.0,40,0.156595
0.0,7,0.156816
0.0,21,0.157367
0.0,3,0.157495
1.0,12,0.157833
0.0,4,0.157988
0.0,48,0.159146
0.0,41,0.160151
0.0,7,0.16037
0.0,7,0.160607
1.0,63,0.162123
0.0,3,0.162261
0.0,5,0.162434
1.0,15,0.162844
0.0,12,0.163175
0.0,27,0.163852
0.0,42,0.164866
0.0,13,0.165228
0.0,29,0.165958
0.0,18,0.166421
0.0,8,0.166674
0.0,27,0.167363
0.0,13,0.167747
0.0,8,0.167986
0.0,3,0.168119
0.0,11,0.168442
1.0,12,0.168807
0.0,11,0.169133
0.0,10,0.169428
0.0,10,0.169724
0.0,7,0.169947
0.0,36,0.170847
1.0,41,0.171844
1.0,49,0.172987
1.0,40,0.173952
0.0,27,0.174642
0.0,37,0.175522
0.0,25,0.17616
0.0,13,0.176518
1.0,72,0.178204
0.0,9,0.178474
1.0,43,0.179507
1.0,21,0.180059
0.0,9,0.180318
1.0,37,0.181208
0.0,38,0.182104
0.0,26,0.182765
0.0,13,0.183127
1.0,46,0.184217
1.0,21,0.184786
0.0,10,0.18508
0.0,31,0.185864
0.0,11,0.186186
0.0,3,0.186313
0.0,26,0.186975
1.0,6,0.187178
0.0,22,0.187756
1.0,12,0.188082
0.0,11,0.188391
0.0,24,0.18901
0.0,8,0.189268
0.0,4,0.189423
0.0,5,0.189612
0.0,43,0.190657
1.0,19,0.191163
0.0,6,0.191364
0.0,19,0.191881
0.0,9,0.192142
1.0,24,0.192752
0.0,5,0.192931
0.0,17,0.193366
1.0,41,0.194348
0.0,39,0.195291
0.0,12,0.19564
1.0,17,0.19609
1.0,43,0.197113
0.0,22,0.19776
0.0,3,0.197891
0.0,2,0.197995
0.0,6,0.198196
1.0,62,0.199652
0.0,19,0.200164
0.0,30,0.200913
0.0,39,0.201849
0.0,12,0.202193
0.0,8,0.202442
0.0,11,0.202756
0.0,22,0.203324
0.0,14,0.203713
0.0,2,0.203824
0.0,8,0.204078
0.0,10,0.204378
0.0,44,0.205425
0.0,26,0.206081
0.0,10,0.206372
0.0,4,0.206521
0.0,36,0.207384
0.0,10,0.20768
0.0,4,0.207841
0.0,35,0.208688
0.0,18,0.209171
1.0,11,0.209482
0.0,39,0.210427
1.0,9,0.210718
1.0,43,0.211736
0.0,18,0.21227
0.0,31,0.213052
1.0,13,0.213413
0.0,6,0.213624
1.0,16,0.214054
0.0,13,0.214414
0.0,5,0.214604
1.0,15,0.215022
1.0,14,0.215407
0.0,10,0.215704
1.0,11,0.216019
0.0,20,0.216517
1.0,51,0.217722
1.0,23,0.218294
1.0,17,0.218745
0.0,11,0.219047
0.0,18,0.219507
0.0,8,0.219756
1.0,14,0.220146
0.0,15,0.220564
1.0,22,0.221128
0.0,6,0.221323
0.0,26,0.221976
1.0,34,0.222805
0.0,8,0.223044
0.0,20,0.223574
0.0,4,0.223733
0.0,7,0.22395
1.0,27,0.224631
1.0,16,0.225053
0.0,9,0.225333
1.0,52,0.226601
0.0,33,0.227407
0.0,6,0.227627
1.0,23,0.228205
1.0,17,0.228676
0.0,90,0.230766
0.0,25,0.231405
0.0,15,0.231807
0.0,10,0.232087
0.0,6,0.232286
0.0,11,0.232599
0.0,29,0.233325
1.0,35,0.234183
0.0,11,0.234496
1.0,38,0.235432
1.0,41,0.236413
1.0,18,0.236895
0.0,43,0.237915
0.0,12,0.238248
0.0,65,0.239765
0.0,9,0.240044
0.0,3,0.240178
0.0,9,0.240446
0.0,19,0.240938
1.0,24,0.241543
0.0,23,0.242133
0.0,39,0.243069
0.0,16,0.243492
0.0,11,0.243824
0.0,18,0.244301
0.0,11,0.244627
0.0,2,0.244737
0.0,22,0.245301
0.0,6,0.245501
0.0,15,0.245912
1.0,47,0.247039
0.0,8,0.247283
0.0,21,0.247825
0.0,15,0.248227
0.0,8,0.24847
0.0,16,0.248902
0.0,5,0.24908
0.0,2,0.249188
0.0,3,0.249318
1.0,21,0.249857
0.0,6,0.25006
1.0,36,0.250952
0.0,18,0.251425
1.0,28,0.252138
1.0,39,0.253077
0.0,11,0.253379
0.0,4,0.253525
0.0,17,0.253989
0.0,8,0.254232
0.0,19,0.254747
1.0,8,0.254995
0.0,2,0.255098
0.0,2,0.255199
1.0,24,0.255806
1.0,8,0.256042
1.0,17,0.256485
0.0,21,0.257043
0.0,14,0.257427
0.0,43,0.25846
0.0,2,0.258581
1.0,21,0.259112
0.0,5,0.259291
0.0,6,0.25949
0.0,75,0.26122
0.0,4,0.261373
0.0,2,0.261481
0.0,33,0.262296
0.0,3,0.262424
0.0,39,0.263378
0.0,19,0.263885
1.0,25,0.26452
0.0,20,0.265038
0.0,14,0.265421
0.0,4,0.26558
0.0,11,0.265894
0.0,7,0.266126
0.0,12,0.26645
0.0,40,0.267412
0.0,21,0.267961
0.0,51,0.269132
0.0,27,0.269801
0.0,4,0.269957
0.0,9,0.270231
0.0,28,0.270947
1.0,29,0.271665
0.0,2,0.27177
0.0,10,0.272055
0.0,33,0.272884
0.0,2,0.272992
0.0,12,0.273329
0.0,3,0.273461
0.0,21,0.274016
1.0,22,0.274582
0.0,5,0.274766
0.0,7,0.274984
0.0,8,0.275229
0.0,22,0.2758
0.0,4,0.275954
0.0,4,0.276108
1.0,16,0.276536
0.0,53,0.277827
0.0,3,0.277959
0.0,36,0.278845
1.0,23,0.279412
0.0,38,0.280327
0.0,10,0.280622
1.0,31,0.281373
1.0,8,0.281621
0.0,5,0.281796
1.0,19,0.282273
0.0,12,0.282621
0.0,5,0.282801
0.0,24,0.283399
0.0,11,0.28372
1.0,35,0.284548
1.0,52,0.285787
0.0,12,0.286125
0.0,24,0.286728
0.0,37,0.287631
0.0,11,0.28796
0.0,8,0.288208
0.0,25,0.288856
0.0,9,0.289131
0.0,3,0.289263
0.0,12,0.289613
0.0,11,0.289925
0.0,39,0.290923
0.0,2,0.291038
1.0,62,0.292484
1.0,18,0.292955
1.0,20,0.293467
1.0,23,0.294084
0.0,37,0.294957
0.0,62,0.296468
0.0,14,0.296864
0.0,18,0.297326
0.0,4,0.297477
0.0,20,0.298003
0.0,7,0.298222
0.0,11,0.298542
1.0,60,0.300058
0.0,20,0.300583
0.0,31,0.301348
0.0,3,0.301478
0.0,2,0.301596
0.0,21,0.302129
1.0,40,0.303086
0.0,29,0.303811
0.0,32,0.304603
0.0,15,0.305013
0.0,6,0.305209
0.0,16,0.305634
1.0,14,0.306009
1.0,8,0.306246
1.0,11,0.306554
0.0,5,0.306745
0.0,22,0.307306
0.0,12,0.307652
0.0,6,0.307848
0.0,14,0.308229
1.0,34,0.309053
0.0,27,0.309739
0.0,2,0.309851
0.0,65,0.311364
0.0,8,0.311619
0.0,13,0.311967
0.0,32,0.312821
0.0,8,0.313079
0.0,46,0.31418
0.0,10,0.314474
0.0,10,0.314789
0.0,3,0.314918
0.0,12,0.315258
0.0,5,0.315429
0.0,17,0.315894
1.0,27,0.316543
1.0,20,0.317068
0.0,2,0.317177
0.0,7,0.317399
1.0,56,0.318722
0.0,5,0.318903
