#{"t_start": 1522145644.2861664, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,60,0.008726
0.0,25,0.00936
0.0,3,0.009501
0.0,100,0.011733
0.0,27,0.012417
0.0,42,0.013387
0.0,99,0.015612
0.0,100,0.017885
0.0,5,0.01808
0.0,2,0.018192
0.0,2,0.018297
0.0,29,0.018991
0.0,6,0.01919
0.0,6,0.01939
0.0,9,0.019645
0.0,4,0.019791
0.0,13,0.020171
0.0,5,0.02035
0.0,19,0.02083
0.0,71,0.022432
0.0,17,0.022866
0.0,100,0.025127
0.0,100,0.027408
0.0,100,0.029653
0.0,7,0.029898
0.0,9,0.030166
0.0,57,0.031496
0.0,99,0.033725
0.0,42,0.034707
0.0,14,0.035089
0.0,20,0.035591
0.0,100,0.037805
0.0,4,0.037995
0.0,8,0.038256
0.0,16,0.038658
0.0,2,0.038761
0.0,54,0.040023
0.0,25,0.040637
0.0,19,0.041156
0.0,46,0.042225
0.0,19,0.042698
0.0,10,0.042985
0.0,50,0.044151
0.0,19,0.044637
0.0,16,0.045089
0.0,33,0.045854
0.0,3,0.045994
0.0,15,0.046382
1.0,42,0.047368
1.0,33,0.048157
0.0,52,0.049351
0.0,4,0.049506
0.0,43,0.050512
0.0,66,0.052022
0.0,61,0.053418
0.0,29,0.054122
0.0,13,0.054465
0.0,17,0.054887
0.0,15,0.055292
0.0,5,0.055464
0.0,80,0.057264
0.0,9,0.057524
0.0,8,0.057757
0.0,47,0.05885
1.0,16,0.059273
0.0,65,0.060762
0.0,32,0.061552
0.0,6,0.061755
0.0,8,0.062015
0.0,11,0.062335
0.0,65,0.063789
0.0,19,0.064284
0.0,15,0.064677
0.0,5,0.064857
0.0,77,0.066607
0.0,15,0.06702
1.0,20,0.067533
0.0,19,0.068026
0.0,23,0.068589
1.0,21,0.069121
0.0,9,0.069375
0.0,38,0.07028
1.0,29,0.070996
0.0,5,0.071178
1.0,13,0.071523
0.0,18,0.071984
1.0,29,0.072664
1.0,27,0.073321
1.0,29,0.074029
0.0,84,0.075928
1.0,37,0.076793
0.0,58,0.078135
0.0,5,0.078306
0.0,10,0.078588
0.0,25,0.079208
0.0,4,0.079362
0.0,33,0.080166
0.0,11,0.080469
0.0,7,0.080681
0.0,47,0.081767
0.0,68,0.083301
0.0,35,0.084139
0.0,26,0.084763
0.0,2,0.084868
0.0,53,0.086113
0.0,21,0.086627
0.0,24,0.087226
1.0,17,0.087665
1.0,36,0.088512
0.0,9,0.088779
0.0,15,0.089177
0.0,15,0.089568
0.0,29,0.090271
0.0,23,0.090838
0.0,19,0.091329
1.0,59,0.092664
0.0,2,0.092769
0.0,16,0.093188
0.0,37,0.09406
0.0,8,0.094304
1.0,21,0.094824
0.0,24,0.095417
1.0,34,0.096225
1.0,20,0.096723
1.0,22,0.097265
0.0,4,0.097416
0.0,10,0.097698
0.0,13,0.09806
1.0,67,0.099598
1.0,9,0.099861
1.0,34,0.10066
1.0,59,0.102001
0.0,18,0.102452
0.0,23,0.10302
1.0,30,0.103724
0.0,20,0.104228
1.0,22,0.104769
0.0,12,0.105105
1.0,40,0.106046
1.0,76,0.107746
0.0,89,0.109811
0.0,31,0.110565
0.0,23,0.11114
0.0,6,0.111338
0.0,2,0.111446
0.0,13,0.11179
0.0,21,0.112312
0.0,14,0.112682
0.0,45,0.113716
0.0,35,0.114536
0.0,4,0.114689
0.0,27,0.115351
0.0,17,0.115773
1.0,32,0.116533
0.0,7,0.116744
1.0,11,0.117056
0.0,29,0.117755
0.0,100,0.11998
0.0,43,0.120983
0.0,13,0.121334
0.0,47,0.122412
0.0,6,0.122608
0.0,4,0.122759
0.0,28,0.123429
1.0,22,0.12398
0.0,45,0.125027
0.0,22,0.125561
0.0,16,0.125985
0.0,45,0.127039
0.0,20,0.127539
0.0,23,0.128116
0.0,25,0.128723
1.0,47,0.129797
1.0,27,0.13045
0.0,25,0.131069
1.0,74,0.13271
0.0,25,0.13333
0.0,58,0.134657
0.0,12,0.134995
0.0,9,0.135257
0.0,8,0.135494
0.0,24,0.136087
1.0,13,0.136439
1.0,62,0.137846
0.0,30,0.138571
0.0,20,0.139079
1.0,12,0.139396
0.0,5,0.139574
1.0,36,0.140422
0.0,28,0.141104
0.0,7,0.141329
0.0,25,0.141952
1.0,15,0.142344
1.0,22,0.142886
0.0,39,0.143798
0.0,26,0.144446
1.0,20,0.1451
0.0,3,0.145226
1.0,16,0.14563
0.0,72,0.147275
0.0,27,0.147938
1.0,17,0.148365
1.0,16,0.148779
