#{"t_start": 1522145200.6032913, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,2,0.006991
0.0,2,0.007263
0.0,1,0.007434
0.0,1,0.007594
0.0,9,0.008167
0.0,13,0.008923
0.0,4,0.009229
0.0,17,0.010138
0.0,2,0.010352
0.0,16,0.011237
0.0,4,0.011552
0.0,7,0.012025
0.0,9,0.012561
1.0,22,0.013714
0.0,20,0.014757
0.0,31,0.016323
0.0,42,0.018376
0.0,10,0.018979
0.0,47,0.021265
1.0,13,0.021997
0.0,8,0.022494
0.0,5,0.022871
0.0,8,0.023362
0.0,34,0.024956
0.0,13,0.025643
0.0,21,0.026658
0.0,17,0.027523
0.0,4,0.02783
0.0,92,0.031884
0.0,6,0.032264
0.0,26,0.033489
0.0,35,0.035032
0.0,24,0.036104
0.0,1,0.036244
1.0,11,0.036801
1.0,18,0.037634
0.0,1,0.03778
1.0,15,0.038505
1.0,74,0.04159
0.0,6,0.041972
0.0,24,0.043055
1.0,14,0.04372
1.0,13,0.044327
0.0,8,0.044741
0.0,2,0.044934
1.0,13,0.045539
1.0,36,0.047036
1.0,13,0.047621
1.0,18,0.04842
0.0,3,0.04864
1.0,53,0.05077
1.0,24,0.051808
1.0,27,0.052948
0.0,11,0.053444
0.0,18,0.054203
1.0,38,0.055692
0.0,14,0.056311
0.0,12,0.056854
1.0,17,0.057561
1.0,18,0.058326
1.0,12,0.058869
0.0,1,0.058993
0.0,15,0.059628
0.0,6,0.05995
0.0,20,0.060772
1.0,23,0.0617
1.0,11,0.062195
0.0,4,0.062442
1.0,23,0.063389
0.0,4,0.063617
1.0,13,0.064156
1.0,14,0.064717
0.0,24,0.065632
0.0,15,0.066247
0.0,12,0.066747
1.0,23,0.067613
1.0,28,0.068668
1.0,17,0.069341
1.0,14,0.069934
1.0,16,0.070569
1.0,45,0.072202
0.0,6,0.072509
0.0,1,0.072627
0.0,1,0.072745
1.0,24,0.073656
1.0,13,0.074171
0.0,3,0.074356
1.0,48,0.07602
0.0,12,0.076494
1.0,23,0.077342
0.0,19,0.078053
1.0,22,0.078863
1.0,11,0.07931
1.0,74,0.081802
1.0,12,0.082283
0.0,51,0.084025
