#{"t_start": 1522144767.3858628, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,1,0.00813
0.0,1,0.008271
0.0,4,0.008477
0.0,8,0.008764
0.0,3,0.00891
0.0,23,0.009579
0.0,10,0.00991
0.0,10,0.010259
0.0,2,0.010382
0.0,5,0.010577
0.0,7,0.010825
0.0,16,0.011314
0.0,7,0.011566
0.0,18,0.012085
0.0,16,0.012568
0.0,7,0.012814
0.0,29,0.013614
0.0,30,0.014437
0.0,1,0.014533
0.0,8,0.014805
0.0,1,0.014898
0.0,8,0.015177
0.0,100,0.017769
0.0,8,0.018051
0.0,7,0.018315
0.0,7,0.018569
0.0,41,0.019689
0.0,18,0.020233
0.0,7,0.020488
0.0,1,0.020578
0.0,6,0.020798
0.0,14,0.021228
0.0,39,0.022265
0.0,28,0.02304
0.0,22,0.023656
0.0,9,0.023953
0.0,1,0.024048
0.0,19,0.024598
0.0,100,0.027185
0.0,1,0.027281
0.0,1,0.02737
0.0,1,0.02746
0.0,1,0.027548
0.0,21,0.028164
0.0,4,0.028337
0.0,12,0.028709
0.0,29,0.029526
0.0,1,0.02962
0.0,1,0.029709
0.0,2,0.029825
0.0,3,0.029968
0.0,21,0.030571
0.0,2,0.030691
0.0,59,0.032264
0.0,52,0.033643
0.0,2,0.033769
0.0,40,0.034833
0.0,72,0.036702
0.0,94,0.039189
0.0,52,0.040577
0.0,6,0.040806
0.0,40,0.04187
0.0,48,0.043158
0.0,18,0.043685
0.0,22,0.044309
0.0,2,0.044433
0.0,10,0.044755
0.0,40,0.045835
0.0,14,0.046298
0.0,100,0.048855
0.0,40,0.049917
0.0,24,0.050589
0.0,18,0.051111
0.0,16,0.051592
0.0,2,0.051713
0.0,2,0.051835
0.0,5,0.052029
0.0,8,0.052309
0.0,14,0.052739
0.0,2,0.052857
0.0,7,0.053106
0.0,22,0.053725
0.0,24,0.054403
0.0,6,0.054622
0.0,4,0.054789
0.0,100,0.057405
0.0,2,0.057528
0.0,4,0.057697
0.0,11,0.058047
0.0,2,0.058183
0.0,10,0.058505
0.0,3,0.058649
0.0,9,0.05894
0.0,13,0.059341
0.0,8,0.059608
0.0,17,0.06009
0.0,27,0.060847
0.0,47,0.062113
0.0,49,0.063489
0.0,16,0.063975
0.0,1,0.064069
0.0,1,0.064173
0.0,100,0.06674
0.0,4,0.066914
0.0,10,0.067257
0.0,3,0.067405
0.0,17,0.067891
0.0,7,0.068135
0.0,19,0.068699
0.0,13,0.069103
0.0,9,0.069416
0.0,15,0.069858
0.0,23,0.070511
0.0,8,0.070812
0.0,6,0.071031
0.0,2,0.071166
0.0,10,0.0715
0.0,1,0.071593
0.0,6,0.071812
0.0,3,0.07196
0.0,8,0.072274
0.0,7,0.072531
0.0,12,0.07291
0.0,11,0.073281
0.0,6,0.073504
0.0,4,0.073677
0.0,10,0.074001
0.0,3,0.074158
0.0,18,0.074674
0.0,12,0.075043
0.0,8,0.075326
0.0,5,0.075528
0.0,6,0.075748
0.0,1,0.075836
0.0,5,0.07603
0.0,8,0.076316
0.0,8,0.076592
0.0,12,0.076956
0.0,13,0.077359
0.0,14,0.07778
0.0,6,0.078007
0.0,45,0.079211
0.0,10,0.079532
0.0,4,0.079705
0.0,16,0.080188
0.0,23,0.080847
0.0,30,0.08166
0.0,13,0.082057
0.0,42,0.083184
0.0,26,0.083921
0.0,22,0.084548
0.0,100,0.08712
0.0,24,0.087811
0.0,5,0.088008
0.0,1,0.088098
0.0,1,0.088196
0.0,1,0.08829
0.0,2,0.088408
0.0,19,0.088939
0.0,31,0.089775
0.0,1,0.089865
0.0,3,0.090015
0.0,1,0.090104
0.0,3,0.090261
0.0,3,0.090407
0.0,1,0.090494
0.0,33,0.091389
0.0,1,0.09148
0.0,16,0.091958
0.0,18,0.092482
0.0,2,0.092602
0.0,8,0.092871
0.0,6,0.093094
0.0,4,0.093269
0.0,13,0.093668
0.0,1,0.093756
0.0,1,0.093845
0.0,1,0.093933
0.0,34,0.094859
0.0,2,0.094979
0.0,1,0.095067
0.0,19,0.095616
0.0,1,0.095707
0.0,2,0.095823
0.0,13,0.096228
0.0,5,0.096435
0.0,54,0.097856
0.0,1,0.097949
0.0,28,0.098724
0.0,2,0.098851
0.0,18,0.099383
0.0,1,0.099474
0.0,10,0.099797
0.0,23,0.100466
0.0,6,0.100689
0.0,84,0.102873
0.0,74,0.104804
0.0,5,0.105014
0.0,11,0.105381
0.0,100,0.107949
0.0,5,0.108167
0.0,2,0.108351
0.0,25,0.109076
0.0,7,0.109341
0.0,6,0.109569
0.0,6,0.109793
0.0,8,0.110058
0.0,8,0.110341
0.0,4,0.11051
0.0,1,0.110598
0.0,2,0.110718
0.0,7,0.11096
0.0,46,0.112196
0.0,31,0.113025
0.0,7,0.113284
0.0,43,0.114423
0.0,25,0.115115
0.0,100,0.117664
0.0,26,0.1184
0.0,1,0.118491
0.0,1,0.11858
0.0,44,0.119746
0.0,1,0.119842
0.0,1,0.119931
0.0,1,0.120018
0.0,2,0.120135
0.0,4,0.120338
0.0,12,0.12071
0.0,22,0.121379
0.0,60,0.122956
0.0,33,0.123896
0.0,100,0.126524
0.0,1,0.126618
0.0,29,0.127455
0.0,8,0.127726
0.0,23,0.128371
0.0,100,0.130978
0.0,23,0.131616
0.0,5,0.13181
0.0,39,0.132884
0.0,7,0.133129
0.0,3,0.133319
0.0,21,0.133915
0.0,48,0.135207
0.0,15,0.135672
0.0,4,0.135848
0.0,14,0.136355
0.0,3,0.136521
0.0,5,0.136751
0.0,13,0.137172
0.0,27,0.137931
0.0,15,0.138418
0.0,31,0.139285
0.0,2,0.13941
0.0,57,0.140909
0.0,9,0.141235
0.0,38,0.142308
0.0,58,0.143841
0.0,100,0.146475
0.0,26,0.147218
0.0,11,0.147591
1.0,68,0.149365
0.0,7,0.149609
0.0,5,0.149801
0.0,5,0.149993
0.0,2,0.15011
0.0,8,0.150426
0.0,3,0.150572
0.0,4,0.15075
0.0,6,0.150967
0.0,1,0.151058
0.0,3,0.151241
0.0,3,0.151391
0.0,14,0.151817
0.0,23,0.152481
0.0,2,0.152602
0.0,3,0.152752
0.0,6,0.15297
0.0,21,0.1536
0.0,100,0.156185
0.0,13,0.156597
0.0,10,0.156932
0.0,40,0.158029
1.0,28,0.158821
0.0,10,0.15914
0.0,37,0.16014
0.0,3,0.160297
0.0,41,0.161381
0.0,92,0.163733
0.0,20,0.164309
0.0,25,0.164997
0.0,6,0.165228
0.0,23,0.165872
0.0,8,0.166155
0.0,7,0.166406
0.0,4,0.166585
0.0,11,0.16694
0.0,9,0.167252
0.0,1,0.167348
0.0,11,0.167701
0.0,40,0.168782
0.0,13,0.16919
0.0,10,0.169516
0.0,5,0.169714
0.0,16,0.170192
0.0,7,0.170441
0.0,12,0.170804
0.0,14,0.171234
0.0,1,0.17133
0.0,19,0.17188
0.0,42,0.173005
0.0,9,0.173309
0.0,32,0.174171
1.0,19,0.17472
0.0,2,0.174844
0.0,36,0.175824
0.0,8,0.176099
0.0,1,0.176197
0.0,43,0.177352
0.0,8,0.177621
0.0,3,0.177769
0.0,15,0.178221
0.0,1,0.178318
0.0,15,0.178779
0.0,23,0.17943
0.0,18,0.179953
0.0,7,0.180216
0.0,9,0.180509
0.0,5,0.180701
0.0,12,0.181073
0.0,58,0.182571
0.0,42,0.183708
0.0,19,0.184257
0.0,3,0.184408
0.0,11,0.184761
0.0,1,0.18485
0.0,34,0.185766
0.0,17,0.186274
0.0,10,0.186591
0.0,5,0.18679
0.0,4,0.186965
0.0,32,0.18784
0.0,17,0.188353
0.0,7,0.188608
0.0,8,0.188891
0.0,6,0.189116
0.0,2,0.189241
0.0,28,0.190007
1.0,37,0.190982
0.0,11,0.191339
0.0,4,0.191508
0.0,16,0.191982
0.0,5,0.192186
0.0,1,0.192276
0.0,41,0.193358
0.0,43,0.194494
0.0,21,0.195095
0.0,5,0.195304
0.0,1,0.195396
0.0,21,0.19599
0.0,3,0.196134
0.0,26,0.196857
0.0,39,0.197918
0.0,10,0.198262
0.0,46,0.199468
0.0,5,0.199675
0.0,5,0.199871
0.0,29,0.200675
0.0,21,0.201277
0.0,4,0.201452
0.0,1,0.201541
0.0,1,0.201631
0.0,17,0.202124
0.0,18,0.20268
0.0,1,0.202775
0.0,5,0.202975
0.0,16,0.203453
0.0,62,0.205076
0.0,13,0.205483
0.0,30,0.206301
0.0,19,0.206846
0.0,7,0.207089
0.0,12,0.20747
0.0,8,0.207748
0.0,14,0.2082
0.0,13,0.2087
0.0,7,0.208954
0.0,4,0.209131
0.0,14,0.20956
0.0,4,0.209737
0.0,2,0.209853
0.0,15,0.210313
0.0,15,0.210758
0.0,16,0.211243
0.0,7,0.211501
0.0,71,0.213326
0.0,18,0.21384
0.0,48,0.215098
0.0,9,0.215403
0.0,40,0.216475
0.0,47,0.217715
0.0,4,0.217885
0.0,28,0.218658
0.0,14,0.219083
0.0,23,0.219736
0.0,18,0.220276
0.0,14,0.220712
0.0,11,0.221067
0.0,4,0.221251
0.0,39,0.2223
0.0,20,0.222876
0.0,24,0.22356
0.0,33,0.224442
0.0,12,0.224812
0.0,11,0.225169
0.0,2,0.225293
0.0,7,0.225536
0.0,5,0.225727
0.0,13,0.226134
0.0,28,0.226921
0.0,14,0.227359
0.0,13,0.227763
0.0,5,0.227956
0.0,30,0.228796
0.0,8,0.229069
0.0,28,0.229849
0.0,22,0.23048
0.0,3,0.230625
0.0,6,0.230848
0.0,1,0.230936
0.0,8,0.231219
0.0,10,0.231549
0.0,5,0.231747
0.0,4,0.231914
0.0,5,0.232104
0.0,5,0.232305
0.0,25,0.233
0.0,34,0.233947
0.0,11,0.234303
0.0,20,0.234886
0.0,7,0.235133
0.0,1,0.235232
0.0,2,0.235354
0.0,2,0.235471
0.0,29,0.236274
0.0,12,0.23664
0.0,20,0.237214
0.0,70,0.23901
0.0,32,0.239874
0.0,6,0.240099
0.0,3,0.24025
0.0,23,0.240903
0.0,10,0.241248
0.0,3,0.241397
0.0,3,0.241545
0.0,22,0.242192
0.0,26,0.242922
0.0,12,0.243331
0.0,24,0.244015
0.0,4,0.244202
0.0,7,0.244447
0.0,8,0.244728
0.0,25,0.24543
0.0,8,0.245712
0.0,7,0.245963
0.0,25,0.246707
0.0,3,0.246858
0.0,31,0.247723
0.0,4,0.24789
0.0,21,0.248494
0.0,10,0.24882
0.0,40,0.249897
0.0,9,0.250209
0.0,16,0.250677
0.0,3,0.250824
0.0,69,0.252635
0.0,10,0.252955
0.0,22,0.253605
0.0,3,0.253752
0.0,63,0.255399
0.0,55,0.256851
0.0,3,0.257006
0.0,5,0.257215
0.0,18,0.257738
0.0,51,0.259083
0.0,12,0.259461
0.0,31,0.260319
0.0,1,0.260415
0.0,61,0.261995
0.0,19,0.262547
0.0,48,0.263814
0.0,13,0.264234
0.0,78,0.266251
0.0,18,0.266776
0.0,52,0.268168
0.0,13,0.268587
0.0,1,0.268678
0.0,5,0.268872
0.0,100,0.271426
0.0,2,0.271554
0.0,2,0.271672
0.0,1,0.27176
0.0,1,0.27185
0.0,14,0.272274
0.0,60,0.273839
0.0,23,0.2745
0.0,90,0.276798
0.0,69,0.278601
0.0,98,0.281127
0.0,35,0.282077
0.0,6,0.282311
0.0,34,0.28324
0.0,20,0.28381
0.0,2,0.283934
0.0,43,0.285096
0.0,100,0.287669
0.0,19,0.288215
0.0,5,0.288416
0.0,14,0.288831
0.0,5,0.289022
0.0,4,0.289201
0.0,7,0.28945
0.0,12,0.289825
0.0,8,0.29009
0.0,21,0.29068
0.0,3,0.290823
0.0,7,0.291063
0.0,10,0.291403
0.0,16,0.29188
0.0,17,0.292395
0.0,2,0.292519
0.0,31,0.293363
0.0,23,0.294003
0.0,16,0.294477
0.0,1,0.294568
0.0,16,0.295038
0.0,5,0.295246
0.0,28,0.296011
0.0,20,0.296592
0.0,14,0.297016
0.0,36,0.298012
0.0,10,0.298359
0.0,11,0.298709
0.0,3,0.298856
0.0,68,0.300627
0.0,34,0.301554
0.0,11,0.301911
0.0,7,0.302172
0.0,11,0.302514
0.0,14,0.302937
0.0,2,0.303059
0.0,34,0.303978
0.0,33,0.304879
0.0,14,0.305306
0.0,3,0.305455
0.0,23,0.306101
0.0,40,0.307201
0.0,3,0.307347
0.0,19,0.307888
0.0,21,0.308479
0.0,8,0.308845
1.0,18,0.309383
0.0,6,0.309611
0.0,8,0.309886
0.0,8,0.310171
0.0,10,0.310486
0.0,16,0.310958
0.0,6,0.311189
0.0,7,0.311438
1.0,8,0.311714
0.0,25,0.312422
0.0,5,0.312623
1.0,10,0.312935
0.0,1,0.313026
1.0,22,0.313647
0.0,5,0.31385
0.0,19,0.314402
0.0,1,0.314493
0.0,25,0.315183
0.0,8,0.315462
0.0,29,0.316273
0.0,22,0.316887
0.0,21,0.31751
0.0,7,0.317754
0.0,2,0.317869
0.0,6,0.318088
0.0,19,0.31864
0.0,1,0.31873
0.0,14,0.319141
0.0,16,0.319629
0.0,7,0.319878
0.0,6,0.320096
0.0,3,0.320247
0.0,34,0.321168
0.0,9,0.321459
0.0,13,0.321843
0.0,2,0.321958
0.0,11,0.322321
0.0,9,0.322618
0.0,19,0.323175
0.0,4,0.323344
0.0,10,0.323664
0.0,29,0.324457
0.0,9,0.324761
0.0,22,0.325383
0.0,3,0.325532
0.0,45,0.326707
0.0,8,0.326975
0.0,5,0.327183
0.0,13,0.327582
0.0,17,0.328067
0.0,66,0.329754
0.0,49,0.331038
0.0,8,0.331324
0.0,23,0.331973
0.0,20,0.33255
0.0,23,0.333206
0.0,17,0.333701
0.0,4,0.333874
0.0,9,0.334175
0.0,13,0.334569
0.0,2,0.334686
0.0,10,0.335005
0.0,13,0.335418
0.0,63,0.337044
0.0,16,0.337529
0.0,1,0.337623
0.0,6,0.337847
0.0,62,0.339485
0.0,12,0.339857
0.0,12,0.340234
0.0,10,0.34055
0.0,17,0.341032
0.0,8,0.34132
0.0,17,0.341823
0.0,10,0.342136
0.0,30,0.342959
0.0,16,0.343426
0.0,8,0.343698
0.0,8,0.343962
0.0,31,0.344806
0.0,89,0.347116
0.0,5,0.347328
0.0,3,0.347478
0.0,22,0.348088
0.0,14,0.34851
0.0,7,0.348758
0.0,7,0.349005
0.0,8,0.349282
0.0,43,0.350403
0.0,34,0.351328
0.0,4,0.351506
0.0,36,0.352469
0.0,37,0.35347
0.0,14,0.353885
0.0,32,0.354754
0.0,6,0.354976
0.0,7,0.355234
0.0,19,0.355783
1.0,9,0.356081
0.0,28,0.356852
0.0,2,0.356976
0.0,35,0.357913
0.0,13,0.358334
0.0,2,0.358453
0.0,1,0.358541
0.0,13,0.358927
0.0,27,0.359679
0.0,14,0.360099
0.0,2,0.360223
0.0,16,0.360693
0.0,11,0.361035
0.0,21,0.361637
0.0,47,0.362874
0.0,8,0.36314
0.0,9,0.363461
0.0,5,0.363659
0.0,47,0.364878
0.0,9,0.365187
0.0,1,0.365281
1.0,16,0.365744
0.0,4,0.365922
0.0,25,0.366611
1.0,12,0.366972
0.0,12,0.367358
0.0,16,0.367841
0.0,6,0.368062
0.0,28,0.368848
0.0,3,0.368994
0.0,15,0.369448
1.0,23,0.370084
0.0,28,0.370852
0.0,6,0.371078
0.0,3,0.371232
1.0,12,0.371599
0.0,9,0.371895
0.0,9,0.372197
0.0,19,0.37275
0.0,38,0.373764
0.0,16,0.374252
0.0,3,0.374403
0.0,24,0.375079
0.0,32,0.375952
0.0,8,0.376241
0.0,8,0.376526
0.0,8,0.376795
0.0,15,0.377258
0.0,6,0.377489
0.0,13,0.377876
0.0,2,0.377992
0.0,11,0.378341
0.0,6,0.378565
0.0,15,0.379011
0.0,1,0.379104
0.0,40,0.380186
0.0,24,0.38085
0.0,6,0.381068
0.0,4,0.381244
0.0,24,0.381923
0.0,8,0.382211
0.0,7,0.382462
0.0,8,0.382736
0.0,8,0.383011
0.0,9,0.383321
0.0,10,0.383652
0.0,10,0.383976
0.0,6,0.384211
0.0,4,0.384388
0.0,5,0.384587
0.0,2,0.384708
0.0,49,0.385993
0.0,9,0.386311
0.0,4,0.386492
0.0,27,0.387242
0.0,5,0.387437
0.0,31,0.388295
0.0,3,0.388441
0.0,6,0.388665
0.0,12,0.389037
0.0,10,0.389386
0.0,5,0.389586
0.0,51,0.390894
0.0,10,0.391231
0.0,21,0.391835
1.0,26,0.392569
0.0,6,0.39279
0.0,1,0.39288
0.0,8,0.393169
0.0,27,0.39391
0.0,10,0.394246
0.0,13,0.394641
0.0,4,0.394813
1.0,31,0.395676
0.0,20,0.396249
0.0,7,0.396495
0.0,1,0.396584
0.0,38,0.397618
0.0,12,0.397995
0.0,1,0.398084
0.0,9,0.398384
0.0,9,0.398676
0.0,57,0.400165
0.0,18,0.400694
0.0,8,0.400964
0.0,2,0.401086
0.0,5,0.401294
0.0,44,0.402477
0.0,1,0.402573
0.0,9,0.402872
0.0,2,0.402993
0.0,11,0.403359
0.0,19,0.403913
0.0,5,0.404111
0.0,22,0.404737
0.0,7,0.404983
0.0,5,0.405185
0.0,1,0.405276
0.0,38,0.406297
0.0,5,0.406492
0.0,7,0.406734
0.0,40,0.407788
0.0,29,0.408595
0.0,10,0.409011
0.0,19,0.409572
0.0,11,0.409929
0.0,50,0.411258
0.0,8,0.411527
0.0,3,0.411671
0.0,29,0.412471
0.0,6,0.412697
0.0,9,0.412988
0.0,5,0.413192
0.0,13,0.41359
0.0,15,0.414033
0.0,24,0.4147
0.0,13,0.415094
0.0,24,0.415774
0.0,2,0.415902
0.0,36,0.416864
0.0,1,0.416959
0.0,6,0.4172
0.0,4,0.417376
0.0,41,0.418471
0.0,47,0.419732
0.0,3,0.419878
0.0,19,0.420434
0.0,3,0.420582
0.0,23,0.421242
0.0,14,0.42166
0.0,4,0.421838
0.0,1,0.42193
0.0,35,0.422877
0.0,16,0.423357
0.0,26,0.424086
0.0,16,0.424573
0.0,22,0.425207
0.0,59,0.426762
0.0,23,0.427434
0.0,2,0.427553
0.0,2,0.427669
0.0,3,0.427814
0.0,8,0.428084
0.0,2,0.42821
0.0,2,0.428332
0.0,5,0.428523
0.0,17,0.429021
0.0,41,0.430117
0.0,13,0.430538
0.0,20,0.431106
0.0,41,0.432217
0.0,10,0.43254
0.0,10,0.432862
1.0,19,0.433416
0.0,24,0.434093
0.0,15,0.434542
0.0,19,0.435081
0.0,56,0.436545
0.0,55,0.437963
0.0,25,0.43867
0.0,9,0.438971
0.0,4,0.439152
0.0,75,0.441068
0.0,29,0.441871
0.0,12,0.442272
0.0,23,0.442906
0.0,6,0.44313
0.0,23,0.443778
0.0,10,0.44409
0.0,11,0.444441
0.0,44,0.445586
0.0,29,0.446391
0.0,13,0.446789
0.0,7,0.447035
1.0,11,0.447423
0.0,5,0.447626
0.0,53,0.449027
0.0,1,0.449123
0.0,15,0.449576
0.0,7,0.44982
0.0,7,0.450063
0.0,9,0.450365
0.0,34,0.451293
1.0,23,0.451931
0.0,9,0.452238
0.0,5,0.452433
0.0,8,0.452711
0.0,3,0.452855
0.0,19,0.453419
0.0,4,0.453595
0.0,24,0.454264
1.0,10,0.454594
0.0,14,0.455009
0.0,12,0.455391
0.0,5,0.455583
0.0,1,0.455674
0.0,28,0.456463
0.0,1,0.456554
0.0,15,0.457003
0.0,5,0.457215
0.0,25,0.457917
0.0,30,0.458744
0.0,5,0.45895
0.0,2,0.459071
0.0,40,0.460138
0.0,6,0.460371
0.0,2,0.460492
0.0,12,0.460855
0.0,1,0.460943
0.0,18,0.461479
0.0,1,0.461574
0.0,12,0.461952
0.0,10,0.462284
0.0,39,0.463324
0.0,4,0.463499
0.0,11,0.463846
0.0,8,0.464112
0.0,2,0.464235
0.0,36,0.465214
0.0,14,0.465624
0.0,7,0.46587
0.0,49,0.467184
0.0,16,0.467664
0.0,17,0.468163
0.0,23,0.46879
0.0,49,0.470071
0.0,39,0.4711
0.0,11,0.471447
1.0,15,0.471892
0.0,6,0.472107
0.0,6,0.47233
0.0,4,0.472505
0.0,53,0.473879
0.0,8,0.474166
0.0,8,0.474442
0.0,5,0.474645
0.0,25,0.47536
0.0,12,0.475733
0.0,21,0.476336
1.0,13,0.476739
0.0,6,0.476956
0.0,9,0.477273
0.0,12,0.477648
0.0,26,0.478376
0.0,3,0.478522
0.0,15,0.478953
0.0,1,0.479045
0.0,18,0.479585
0.0,1,0.47968
0.0,5,0.479872
0.0,3,0.480017
0.0,41,0.481131
0.0,25,0.481832
0.0,13,0.482245
0.0,1,0.482341
0.0,2,0.482463
0.0,1,0.482556
0.0,5,0.48275
0.0,23,0.483395
0.0,55,0.484832
0.0,5,0.485039
0.0,19,0.485591
0.0,3,0.48574
0.0,10,0.486065
0.0,15,0.486526
0.0,8,0.486802
0.0,23,0.487445
0.0,35,0.488413
0.0,3,0.488564
0.0,39,0.489614
0.0,6,0.48984
0.0,28,0.490611
0.0,2,0.490731
0.0,10,0.491052
0.0,23,0.491712
0.0,2,0.491832
0.0,12,0.492213
0.0,20,0.492772
0.0,30,0.493581
1.0,9,0.493879
0.0,8,0.494161
0.0,56,0.495634
0.0,2,0.495759
0.0,15,0.496224
0.0,10,0.496541
1.0,16,0.497005
0.0,16,0.497492
0.0,40,0.498548
0.0,10,0.498873
0.0,41,0.499977
1.0,6,0.500208
1.0,31,0.501043
0.0,3,0.5012
0.0,10,0.501521
0.0,7,0.501762
0.0,5,0.50196
0.0,21,0.502565
0.0,21,0.503172
0.0,5,0.503369
0.0,10,0.503693
0.0,17,0.504202
0.0,17,0.504689
0.0,1,0.504777
0.0,2,0.504893
0.0,32,0.505754
0.0,20,0.506339
0.0,20,0.506924
0.0,6,0.507141
0.0,2,0.507269
0.0,8,0.507546
0.0,32,0.508424
0.0,14,0.508842
0.0,23,0.509603
0.0,6,0.509832
0.0,4,0.510021
0.0,8,0.510307
0.0,5,0.510512
0.0,26,0.511254
0.0,5,0.511456
0.0,1,0.511546
0.0,9,0.511851
0.0,2,0.511969
0.0,6,0.512207
0.0,7,0.512452
0.0,12,0.512822
0.0,8,0.513098
0.0,6,0.51333
0.0,14,0.513752
0.0,12,0.514127
0.0,6,0.514355
0.0,6,0.514583
0.0,13,0.514987
0.0,3,0.51513
0.0,11,0.515486
0.0,40,0.516536
0.0,10,0.516858
0.0,15,0.517334
0.0,7,0.517586
0.0,21,0.51818
0.0,29,0.518973
0.0,30,0.519804
0.0,5,0.520006
0.0,5,0.520215
0.0,4,0.52039
0.0,1,0.520482
0.0,10,0.520805
0.0,19,0.52135
0.0,28,0.522111
0.0,2,0.522241
0.0,14,0.522663
0.0,4,0.522835
0.0,26,0.523565
0.0,9,0.523863
0.0,13,0.524283
0.0,5,0.524485
0.0,9,0.524779
0.0,1,0.524867
0.0,15,0.525321
0.0,49,0.526644
0.0,5,0.52685
0.0,12,0.527236
0.0,52,0.528632
0.0,12,0.529008
0.0,38,0.530043
0.0,6,0.530274
0.0,1,0.530368
0.0,14,0.530788
0.0,2,0.530911
0.0,20,0.531512
0.0,29,0.532344
0.0,7,0.532588
0.0,40,0.533652
0.0,8,0.533921
0.0,7,0.534178
0.0,30,0.534997
0.0,35,0.535944
0.0,3,0.536088
0.0,4,0.53627
0.0,9,0.536562
0.0,17,0.537054
0.0,3,0.537214
0.0,10,0.537536
0.0,57,0.539041
0.0,22,0.539671
0.0,3,0.539815
0.0,13,0.540225
0.0,32,0.541086
0.0,20,0.541663
0.0,4,0.541831
0.0,13,0.54224
0.0,14,0.542655
0.0,17,0.543141
0.0,5,0.543343
0.0,4,0.543513
0.0,12,0.543875
0.0,4,0.544049
0.0,72,0.545886
0.0,7,0.546141
0.0,1,0.546257
0.0,10,0.546587
0.0,17,0.547088
0.0,8,0.5474
0.0,6,0.547624
0.0,49,0.548897
0.0,5,0.549096
0.0,39,0.550159
0.0,23,0.550797
0.0,14,0.551232
0.0,3,0.551376
0.0,26,0.552094
0.0,20,0.552666
0.0,10,0.552982
0.0,17,0.55348
0.0,18,0.554002
0.0,31,0.554869
0.0,23,0.555522
0.0,8,0.555789
0.0,33,0.556691
0.0,5,0.556892
0.0,16,0.557371
0.0,54,0.558803
0.0,5,0.558997
0.0,3,0.559152
0.0,1,0.559248
0.0,20,0.55982
0.0,25,0.560516
0.0,11,0.560869
0.0,20,0.561445
0.0,8,0.561723
0.0,13,0.562122
0.0,17,0.562625
0.0,22,0.563251
0.0,6,0.563477
0.0,1,0.56357
0.0,11,0.563914
0.0,22,0.564547
0.0,17,0.56504
0.0,6,0.565267
0.0,3,0.565417
0.0,3,0.56556
0.0,15,0.566008
0.0,38,0.567028
0.0,55,0.568475
0.0,10,0.568801
0.0,6,0.569017
0.0,10,0.569339
0.0,3,0.569492
0.0,1,0.569581
