#{"t_start": 1522146217.1001236, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,3,0.00806
0.0,7,0.008314
0.0,3,0.00847
0.0,24,0.009127
0.0,5,0.009329
0.0,14,0.00975
0.0,9,0.010041
0.0,26,0.010773
0.0,13,0.011164
0.0,33,0.012046
0.0,15,0.012505
0.0,73,0.014349
0.0,29,0.015118
0.0,38,0.016104
0.0,13,0.016504
0.0,20,0.017045
0.0,41,0.01812
0.0,3,0.018267
0.0,31,0.019104
0.0,42,0.020202
0.0,16,0.020684
1.0,24,0.02135
0.0,21,0.021935
0.0,13,0.022325
0.0,23,0.022958
0.0,63,0.024534
0.0,100,0.026944
0.0,14,0.027332
0.0,51,0.028616
0.0,15,0.02902
0.0,7,0.029255
1.0,11,0.029608
1.0,16,0.030036
0.0,12,0.03038
0.0,19,0.030904
0.0,3,0.03104
0.0,17,0.031492
0.0,7,0.031716
0.0,40,0.032705
0.0,7,0.032931
0.0,70,0.0346
0.0,19,0.035099
0.0,27,0.035793
0.0,59,0.037249
0.0,5,0.037461
0.0,30,0.038227
0.0,37,0.039136
0.0,46,0.040253
1.0,67,0.041857
0.0,12,0.042207
0.0,40,0.043238
0.0,7,0.04349
0.0,56,0.044831
0.0,77,0.046702
0.0,47,0.047865
0.0,7,0.048093
0.0,64,0.049643
0.0,69,0.051309
0.0,14,0.051704
0.0,28,0.052422
0.0,23,0.053004
0.0,23,0.053608
0.0,7,0.053828
0.0,9,0.054087
0.0,20,0.05463
0.0,18,0.055114
0.0,37,0.05602
0.0,78,0.057917
1.0,30,0.05869
0.0,54,0.059977
0.0,11,0.060301
0.0,36,0.06118
0.0,39,0.062118
0.0,18,0.062638
0.0,20,0.063141
0.0,28,0.06388
0.0,4,0.06404
0.0,9,0.064306
0.0,17,0.064757
0.0,5,0.064939
1.0,10,0.065221
0.0,33,0.06605
0.0,13,0.066436
0.0,21,0.066975
0.0,30,0.067721
0.0,37,0.068649
0.0,15,0.069047
0.0,21,0.069598
0.0,2,0.069712
0.0,19,0.070209
0.0,21,0.070768
0.0,34,0.071602
0.0,37,0.072548
0.0,16,0.072983
0.0,38,0.073913
0.0,11,0.074246
0.0,16,0.074683
0.0,47,0.075816
0.0,23,0.076425
0.0,12,0.076777
0.0,55,0.078099
0.0,4,0.078259
0.0,11,0.078579
0.0,31,0.079344
0.0,7,0.079579
0.0,20,0.080095
0.0,52,0.081354
0.0,17,0.081828
0.0,17,0.082292
0.0,25,0.082929
0.0,3,0.08306
1.0,75,0.084851
0.0,22,0.08544
0.0,8,0.085682
0.0,11,0.085997
0.0,24,0.086621
0.0,12,0.086959
0.0,5,0.087142
0.0,26,0.087809
0.0,8,0.088061
0.0,9,0.088324
0.0,6,0.088538
0.0,72,0.090227
0.0,60,0.091691
0.0,19,0.092199
0.0,17,0.092669
0.0,16,0.093091
0.0,2,0.0932
0.0,28,0.093913
0.0,32,0.094755
0.0,25,0.095396
0.0,12,0.095741
0.0,27,0.096443
1.0,6,0.096642
0.0,23,0.097209
0.0,50,0.098457
0.0,100,0.100838
0.0,4,0.100994
1.0,63,0.102536
0.0,2,0.102645
0.0,13,0.103006
0.0,16,0.103451
0.0,12,0.103791
1.0,8,0.104033
0.0,65,0.105592
0.0,100,0.107978
0.0,20,0.108634
0.0,23,0.109228
0.0,60,0.11073
1.0,20,0.111253
0.0,97,0.11355
0.0,15,0.113969
0.0,27,0.114681
0.0,15,0.115086
0.0,18,0.115579
0.0,29,0.116298
0.0,14,0.116688
0.0,43,0.117732
0.0,36,0.118621
1.0,20,0.119157
0.0,21,0.119734
0.0,6,0.11994
1.0,6,0.120153
0.0,80,0.122161
1.0,29,0.122952
0.0,18,0.123477
0.0,46,0.124649
0.0,87,0.126771
0.0,12,0.127104
0.0,4,0.127263
0.0,61,0.128728
0.0,8,0.12898
0.0,24,0.129631
0.0,13,0.129989
0.0,19,0.130517
0.0,38,0.131467
0.0,14,0.131851
0.0,2,0.131961
0.0,5,0.132136
0.0,26,0.132819
0.0,38,0.133769
0.0,5,0.133944
0.0,20,0.134478
0.0,6,0.134683
0.0,25,0.135318
0.0,9,0.135606
0.0,14,0.135995
0.0,28,0.136718
0.0,15,0.137133
0.0,3,0.137265
0.0,35,0.138151
0.0,14,0.138538
0.0,13,0.138909
0.0,31,0.139708
0.0,17,0.140174
0.0,25,0.140838
0.0,18,0.141337
0.0,19,0.14184
0.0,13,0.142228
0.0,5,0.142422
0.0,20,0.142948
0.0,23,0.143556
0.0,33,0.144428
0.0,9,0.144703
0.0,37,0.145611
0.0,13,0.145962
0.0,65,0.147563
0.0,29,0.148303
1.0,44,0.149399
0.0,24,0.150037
0.0,5,0.150222
0.0,14,0.150619
0.0,61,0.152135
0.0,14,0.152531
1.0,20,0.153047
0.0,46,0.154159
1.0,28,0.154855
0.0,12,0.155183
1.0,61,0.156656
1.0,11,0.156973
1.0,64,0.158571
0.0,81,0.160518
0.0,100,0.162935
0.0,25,0.163607
1.0,11,0.163927
0.0,8,0.164182
0.0,18,0.164666
0.0,48,0.165824
0.0,16,0.166252
0.0,31,0.167048
0.0,25,0.167687
0.0,11,0.168016
0.0,8,0.168268
0.0,62,0.16975
0.0,17,0.170212
0.0,15,0.170623
0.0,53,0.171887
0.0,53,0.173168
0.0,7,0.173405
0.0,18,0.173884
1.0,26,0.174537
0.0,15,0.174939
0.0,40,0.175936
1.0,24,0.176562
1.0,26,0.177215
0.0,14,0.177616
0.0,29,0.178346
1.0,24,0.178962
0.0,53,0.180236
0.0,29,0.180981
0.0,20,0.181533
0.0,9,0.181809
1.0,7,0.182041
1.0,85,0.184085
1.0,20,0.184633
0.0,12,0.184972
0.0,21,0.185532
0.0,15,0.185943
1.0,61,0.187404
0.0,20,0.187942
0.0,33,0.18876
0.0,5,0.188943
0.0,12,0.189285
0.0,12,0.189636
1.0,19,0.190145
0.0,42,0.191154
0.0,60,0.192592
1.0,17,0.193044
0.0,11,0.193367
0.0,100,0.195737
0.0,28,0.196456
0.0,36,0.197346
0.0,19,0.197865
0.0,13,0.198234
1.0,44,0.199303
0.0,5,0.199499
0.0,24,0.20011
0.0,41,0.201106
1.0,31,0.201906
0.0,32,0.202721
1.0,39,0.203688
0.0,32,0.204485
0.0,13,0.204853
0.0,17,0.205304
0.0,3,0.20545
0.0,25,0.206064
0.0,20,0.206604
1.0,14,0.206996
0.0,12,0.207347
1.0,14,0.207759
0.0,55,0.2091
0.0,24,0.209849
0.0,14,0.210235
0.0,2,0.210346
0.0,28,0.211049
0.0,15,0.211478
0.0,51,0.212724
1.0,16,0.213163
0.0,32,0.213994
0.0,13,0.214353
0.0,85,0.216352
0.0,23,0.216953
1.0,34,0.217791
0.0,17,0.218248
0.0,29,0.219027
0.0,4,0.219193
0.0,53,0.220479
0.0,13,0.220844
0.0,23,0.221438
0.0,49,0.222616
0.0,78,0.224499
1.0,24,0.225135
0.0,16,0.225562
0.0,8,0.225801
0.0,17,0.22625
0.0,3,0.226381
0.0,27,0.227094
0.0,25,0.227743
0.0,21,0.228283
0.0,10,0.228585
0.0,33,0.229426
0.0,7,0.229652
0.0,5,0.229825
0.0,40,0.230814
0.0,66,0.232401
0.0,68,0.234048
1.0,11,0.234367
0.0,3,0.23451
1.0,15,0.23492
0.0,71,0.236622
0.0,22,0.237241
0.0,25,0.237952
0.0,21,0.238515
1.0,31,0.239277
0.0,12,0.239639
1.0,38,0.240587
0.0,28,0.241275
0.0,22,0.241861
0.0,10,0.242148
0.0,4,0.242297
0.0,18,0.242788
0.0,11,0.243114
0.0,20,0.243645
0.0,4,0.243813
0.0,6,0.244024
0.0,21,0.244579
1.0,9,0.244853
0.0,67,0.246471
0.0,21,0.247004
1.0,31,0.247763
0.0,12,0.248127
0.0,53,0.249436
0.0,32,0.250228
0.0,7,0.250486
0.0,41,0.251538
0.0,10,0.251856
1.0,13,0.252242
