#{"t_start": 1522145919.2732878, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,19,0.007902
0.0,4,0.008068
0.0,11,0.008435
0.0,5,0.008611
0.0,10,0.008896
0.0,17,0.009354
0.0,18,0.009817
0.0,15,0.010222
0.0,100,0.012449
1.0,100,0.014665
0.0,48,0.015787
0.0,12,0.01613
0.0,13,0.016499
0.0,10,0.016779
0.0,9,0.017037
1.0,14,0.017421
0.0,78,0.019211
0.0,30,0.019946
0.0,92,0.022012
1.0,39,0.022928
0.0,7,0.023149
0.0,50,0.024319
0.0,44,0.025339
1.0,21,0.025881
0.0,30,0.026614
0.0,21,0.027133
0.0,8,0.027396
0.0,36,0.028251
0.0,16,0.028655
0.0,14,0.029023
0.0,29,0.029727
0.0,24,0.030336
0.0,12,0.030669
0.0,37,0.031561
0.0,51,0.032737
0.0,87,0.03469
0.0,28,0.035372
0.0,4,0.035528
0.0,15,0.035922
0.0,7,0.03614
0.0,50,0.037299
0.0,8,0.037542
0.0,23,0.038109
1.0,50,0.039318
0.0,6,0.03952
0.0,32,0.040286
0.0,45,0.041315
1.0,28,0.041983
0.0,10,0.042278
1.0,17,0.042716
0.0,11,0.043015
0.0,30,0.043762
0.0,20,0.044278
0.0,42,0.045271
1.0,22,0.045819
0.0,34,0.046628
1.0,7,0.04685
0.0,45,0.047892
0.0,41,0.048867
0.0,4,0.049024
0.0,26,0.049674
1.0,61,0.051054
1.0,36,0.051929
0.0,7,0.052146
0.0,14,0.052537
0.0,9,0.052807
1.0,34,0.053621
0.0,2,0.053734
0.0,30,0.054473
0.0,11,0.054783
0.0,16,0.055215
0.0,5,0.055393
0.0,35,0.056244
0.0,35,0.057064
0.0,2,0.057175
0.0,4,0.057371
0.0,53,0.058604
0.0,38,0.059515
0.0,62,0.06093
0.0,9,0.061197
0.0,11,0.061509
0.0,6,0.061711
0.0,22,0.06225
0.0,30,0.062953
0.0,11,0.063283
0.0,14,0.063664
0.0,12,0.063985
0.0,11,0.064295
1.0,15,0.064692
0.0,63,0.066116
0.0,22,0.066699
0.0,9,0.066969
0.0,28,0.067654
0.0,58,0.069014
0.0,33,0.069829
0.0,3,0.069967
0.0,19,0.070458
1.0,32,0.071218
0.0,10,0.071494
0.0,9,0.071788
0.0,61,0.073229
0.0,17,0.073667
0.0,28,0.074378
0.0,26,0.075014
1.0,13,0.075378
1.0,10,0.075665
1.0,7,0.075876
1.0,15,0.076276
0.0,12,0.07661
0.0,15,0.077004
0.0,21,0.077534
0.0,24,0.078116
0.0,8,0.078362
1.0,6,0.078554
0.0,24,0.079122
0.0,15,0.079519
1.0,16,0.079943
1.0,19,0.080435
0.0,16,0.080852
1.0,21,0.081384
0.0,25,0.081987
0.0,7,0.082211
0.0,6,0.082411
1.0,12,0.082744
0.0,40,0.083674
1.0,68,0.085221
0.0,14,0.085594
1.0,44,0.086651
1.0,69,0.088228
0.0,10,0.088507
1.0,30,0.089252
0.0,5,0.089443
0.0,4,0.089599
0.0,35,0.090418
1.0,14,0.090789
0.0,12,0.091106
1.0,62,0.092544
1.0,52,0.093744
0.0,51,0.094906
1.0,16,0.095328
1.0,16,0.095744
0.0,5,0.095913
0.0,11,0.096229
0.0,17,0.096664
0.0,38,0.097566
0.0,8,0.0978
0.0,16,0.098218
0.0,40,0.099147
0.0,14,0.09953
1.0,41,0.100479
0.0,55,0.101731
1.0,14,0.1021
0.0,3,0.102247
0.0,5,0.102427
1.0,44,0.103459
0.0,28,0.10411
0.0,27,0.104774
0.0,61,0.106184
1.0,7,0.106416
0.0,6,0.106608
0.0,20,0.107105
0.0,13,0.107494
0.0,11,0.107869
0.0,16,0.10829
0.0,15,0.108666
0.0,7,0.108886
1.0,24,0.109474
0.0,53,0.110713
0.0,22,0.111257
0.0,51,0.112427
0.0,20,0.112932
0.0,16,0.113346
0.0,12,0.113669
0.0,13,0.114041
1.0,17,0.114494
0.0,20,0.11499
0.0,10,0.115277
0.0,63,0.116709
0.0,18,0.117171
1.0,72,0.118776
0.0,8,0.119016
0.0,4,0.119163
0.0,14,0.119529
0.0,28,0.120203
1.0,20,0.120706
1.0,52,0.121878
0.0,44,0.122893
0.0,9,0.123149
0.0,17,0.12359
0.0,53,0.124772
0.0,13,0.125112
0.0,22,0.125655
0.0,9,0.125915
1.0,16,0.126328
0.0,2,0.126431
1.0,64,0.127888
1.0,22,0.128444
0.0,14,0.128814
0.0,13,0.129165
1.0,36,0.130009
0.0,14,0.130403
0.0,17,0.130832
0.0,12,0.13117
1.0,44,0.132195
1.0,34,0.133009
1.0,34,0.133819
0.0,34,0.134609
0.0,5,0.134785
0.0,40,0.135714
1.0,32,0.136478
0.0,9,0.136734
0.0,10,0.137015
0.0,3,0.137142
0.0,48,0.138262
0.0,8,0.138509
0.0,27,0.139152
0.0,61,0.140544
0.0,22,0.141085
0.0,7,0.141316
0.0,10,0.141608
0.0,9,0.141868
0.0,22,0.142428
0.0,35,0.143255
1.0,45,0.144268
1.0,30,0.144966
0.0,4,0.145118
0.0,46,0.146188
0.0,8,0.146427
1.0,27,0.147069
1.0,15,0.147475
1.0,24,0.148047
0.0,5,0.148232
0.0,34,0.149048
0.0,20,0.149562
0.0,42,0.150531
1.0,43,0.151538
0.0,9,0.151803
0.0,23,0.152385
1.0,17,0.152806
1.0,27,0.153465
1.0,13,0.153801
1.0,10,0.1541
0.0,6,0.15431
1.0,29,0.155
0.0,22,0.155566
1.0,18,0.156017
0.0,51,0.157212
1.0,36,0.158066
0.0,10,0.158355
0.0,28,0.159005
0.0,7,0.159238
1.0,19,0.159716
0.0,42,0.160698
0.0,42,0.16165
0.0,21,0.16217
0.0,100,0.164388
1.0,8,0.164636
0.0,11,0.164946
0.0,8,0.16519
1.0,80,0.166977
1.0,12,0.167316
1.0,10,0.167592
0.0,20,0.168085
0.0,8,0.168337
1.0,51,0.169504
1.0,38,0.170417
0.0,32,0.17117
0.0,59,0.172491
0.0,8,0.172729
0.0,39,0.173657
0.0,6,0.17386
0.0,59,0.1752
0.0,61,0.176592
0.0,32,0.177363
0.0,14,0.177728
1.0,41,0.178685
0.0,9,0.178954
0.0,23,0.179529
1.0,37,0.180405
0.0,26,0.181036
0.0,38,0.181909
0.0,11,0.182221
0.0,10,0.182507
0.0,46,0.18361
0.0,24,0.184206
0.0,26,0.184834
0.0,6,0.185035
0.0,14,0.185444
1.0,16,0.18585
0.0,26,0.186473
0.0,53,0.187689
0.0,9,0.187953
0.0,15,0.18836
0.0,2,0.188473
0.0,28,0.189145
0.0,26,0.189811
0.0,23,0.190394
0.0,32,0.191156
0.0,4,0.191321
1.0,51,0.192496
0.0,40,0.19344
0.0,45,0.194486
1.0,11,0.194797
0.0,16,0.195245
0.0,5,0.195431
0.0,2,0.195541
0.0,32,0.196314
0.0,14,0.196682
0.0,35,0.1975
0.0,27,0.19815
1.0,26,0.198788
0.0,10,0.199079
0.0,17,0.199525
0.0,31,0.20029
0.0,4,0.200443
0.0,7,0.200657
0.0,35,0.201492
1.0,24,0.202074
0.0,5,0.202266
0.0,9,0.202534
1.0,7,0.202754
0.0,30,0.203489
0.0,26,0.204117
1.0,54,0.205385
1.0,35,0.206201
1.0,64,0.207675
0.0,89,0.209779
0.0,15,0.210216
0.0,23,0.210798
0.0,16,0.211225
0.0,45,0.212267
0.0,42,0.213246
0.0,19,0.213717
0.0,4,0.213867
1.0,11,0.214165
0.0,7,0.214398
1.0,9,0.21466
