#{"t_start": 1522146355.838938, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,6,0.008261
0.0,7,0.008496
0.0,11,0.008816
0.0,26,0.009473
0.0,41,0.010456
0.0,19,0.010972
0.0,3,0.011118
0.0,19,0.011614
0.0,29,0.012327
0.0,3,0.012465
0.0,42,0.01346
0.0,12,0.013791
0.0,16,0.014251
0.0,19,0.014736
0.0,18,0.015244
0.0,20,0.015763
0.0,31,0.016523
0.0,4,0.016674
0.0,40,0.017642
0.0,33,0.018468
0.0,7,0.018697
0.0,30,0.019439
0.0,6,0.019636
0.0,11,0.019984
0.0,52,0.021206
0.0,8,0.02145
0.0,4,0.021606
0.0,13,0.021983
0.0,11,0.022295
0.0,9,0.022559
0.0,5,0.022737
0.0,4,0.022908
0.0,4,0.023072
0.0,27,0.023733
0.0,5,0.023927
0.0,13,0.024274
0.0,21,0.024816
0.0,5,0.025003
0.0,15,0.025394
0.0,13,0.025775
0.0,4,0.025949
0.0,3,0.026088
0.0,5,0.026257
0.0,8,0.026496
0.0,5,0.026673
0.0,9,0.026948
0.0,7,0.02717
1.0,7,0.027385
0.0,14,0.02775
0.0,10,0.028042
0.0,36,0.028947
0.0,17,0.029409
1.0,46,0.030502
0.0,5,0.03068
0.0,25,0.031306
0.0,24,0.031931
0.0,13,0.032294
0.0,43,0.033331
0.0,13,0.033679
0.0,10,0.033978
0.0,25,0.034603
0.0,6,0.034797
0.0,9,0.035093
0.0,33,0.035901
0.0,8,0.03615
0.0,4,0.036298
0.0,3,0.036424
0.0,15,0.036823
0.0,25,0.037457
0.0,21,0.038023
0.0,31,0.038782
0.0,22,0.039352
0.0,7,0.039579
0.0,15,0.039984
0.0,26,0.04065
0.0,4,0.040802
0.0,3,0.040951
0.0,10,0.041244
0.0,10,0.04156
0.0,9,0.041827
0.0,36,0.042697
0.0,23,0.043272
0.0,31,0.044054
0.0,19,0.044533
0.0,51,0.045724
0.0,18,0.046201
0.0,27,0.046867
0.0,17,0.047339
0.0,14,0.047708
1.0,18,0.048196
0.0,4,0.04835
0.0,8,0.048593
0.0,29,0.04931
0.0,12,0.049643
0.0,16,0.050103
0.0,6,0.050297
0.0,23,0.050895
0.0,39,0.051828
0.0,23,0.052398
0.0,13,0.05276
0.0,27,0.053472
0.0,16,0.05391
0.0,3,0.054038
0.0,11,0.054346
0.0,7,0.054561
0.0,4,0.054707
0.0,17,0.055157
0.0,3,0.05529
0.0,22,0.055833
0.0,22,0.056417
0.0,23,0.057011
0.0,60,0.058406
0.0,17,0.058851
0.0,2,0.058996
0.0,12,0.059335
0.0,5,0.059515
0.0,2,0.059618
0.0,2,0.059719
0.0,21,0.060266
1.0,26,0.060943
0.0,24,0.061547
0.0,24,0.062172
0.0,8,0.062413
0.0,40,0.063375
0.0,27,0.064058
0.0,29,0.064769
0.0,5,0.064978
0.0,31,0.065726
0.0,27,0.066402
0.0,7,0.066625
0.0,12,0.066961
0.0,31,0.067716
0.0,34,0.068636
0.0,10,0.068944
0.0,8,0.069196
0.0,19,0.06968
0.0,5,0.069855
0.0,10,0.07015
0.0,34,0.071015
0.0,9,0.071281
0.0,9,0.071552
0.0,6,0.071746
0.0,4,0.071904
0.0,21,0.07244
0.0,20,0.072951
0.0,39,0.073896
0.0,11,0.074228
0.0,10,0.074513
0.0,10,0.074791
0.0,6,0.075002
0.0,19,0.075498
0.0,30,0.076244
0.0,11,0.076553
0.0,23,0.077135
0.0,12,0.077473
0.0,16,0.077911
0.0,45,0.078982
0.0,45,0.080056
0.0,5,0.080232
0.0,46,0.081329
0.0,7,0.081546
0.0,11,0.081857
0.0,14,0.08225
0.0,8,0.08249
0.0,6,0.082688
0.0,7,0.082922
0.0,4,0.083077
0.0,2,0.08318
0.0,3,0.08331
0.0,7,0.083529
0.0,26,0.084186
0.0,16,0.084606
0.0,17,0.085062
0.0,4,0.085212
0.0,14,0.085607
0.0,11,0.085925
0.0,30,0.086658
0.0,2,0.086761
0.0,32,0.087528
0.0,27,0.088211
0.0,16,0.088635
0.0,18,0.089117
0.0,7,0.08934
0.0,28,0.090024
0.0,6,0.090218
0.0,10,0.0905
0.0,12,0.09084
0.0,6,0.091048
1.0,6,0.091244
0.0,24,0.091839
0.0,4,0.091997
0.0,7,0.092219
0.0,14,0.092595
0.0,16,0.093024
0.0,5,0.093197
0.0,19,0.093689
0.0,14,0.094086
0.0,6,0.094282
0.0,15,0.094675
0.0,34,0.095524
0.0,6,0.095728
0.0,4,0.095887
0.0,7,0.096103
0.0,26,0.096744
0.0,3,0.096878
1.0,27,0.09755
0.0,13,0.097932
0.0,5,0.098113
0.0,4,0.098263
0.0,17,0.098707
0.0,30,0.099451
0.0,24,0.100071
1.0,23,0.100644
0.0,3,0.100775
0.0,17,0.10123
0.0,23,0.101801
0.0,14,0.102185
0.0,14,0.102569
0.0,42,0.103554
0.0,46,0.104646
0.0,7,0.104869
0.0,13,0.105229
0.0,4,0.105382
0.0,11,0.105691
0.0,14,0.106073
0.0,35,0.10692
0.0,41,0.107895
