#{"t_start": 1522144681.2594552, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,1,0.005682
0.0,1,0.005896
0.0,2,0.006154
0.0,12,0.006875
0.0,11,0.007527
0.0,3,0.007794
0.0,3,0.008071
0.0,7,0.008534
0.0,9,0.009103
0.0,6,0.00953
0.0,17,0.01048
0.0,5,0.010841
0.0,32,0.012452
0.0,12,0.013174
0.0,15,0.014004
0.0,4,0.014323
0.0,2,0.014544
0.0,7,0.014983
0.0,11,0.015654
0.0,9,0.016189
0.0,9,0.016712
0.0,15,0.017483
0.0,13,0.018167
0.0,13,0.018868
0.0,12,0.019516
0.0,8,0.019967
0.0,7,0.020396
0.0,3,0.02065
0.0,13,0.021368
0.0,3,0.021613
0.0,8,0.022082
0.0,5,0.02242
0.0,7,0.022834
0.0,4,0.023128
0.0,14,0.023865
0.0,27,0.025171
0.0,6,0.025567
0.0,6,0.025958
0.0,5,0.026312
0.0,3,0.026563
0.0,1,0.026711
0.0,21,0.027757
0.0,7,0.028202
0.0,18,0.029136
0.0,2,0.029337
0.0,10,0.029894
0.0,11,0.030511
0.0,4,0.0308
0.0,14,0.031543
0.0,16,0.032367
0.0,12,0.032998
0.0,5,0.033344
1.0,19,0.034295
0.0,5,0.034636
0.0,1,0.034794
0.0,3,0.035055
0.0,4,0.035343
0.0,6,0.035718
0.0,9,0.036217
0.0,6,0.036571
0.0,21,0.037547
0.0,8,0.037989
0.0,10,0.038523
0.0,13,0.039184
0.0,10,0.0397
0.0,5,0.040038
0.0,12,0.040627
0.0,4,0.040901
0.0,5,0.041218
0.0,3,0.041445
0.0,5,0.041749
0.0,9,0.042242
0.0,5,0.042554
0.0,3,0.042788
0.0,23,0.043863
0.0,5,0.044192
0.0,1,0.044332
0.0,11,0.044901
0.0,1,0.045057
0.0,19,0.045924
0.0,4,0.046191
0.0,17,0.046959
0.0,8,0.047398
0.0,2,0.04758
0.0,10,0.048071
0.0,5,0.048376
0.0,3,0.048591
0.0,17,0.049376
0.0,22,0.050333
0.0,13,0.050923
0.0,3,0.051151
0.0,2,0.05134
0.0,1,0.05148
0.0,1,0.05162
0.0,8,0.052035
0.0,9,0.052482
0.0,7,0.05286
0.0,8,0.053305
0.0,8,0.053713
0.0,13,0.05434
0.0,21,0.055257
0.0,9,0.05572
0.0,19,0.056508
0.0,6,0.056839
0.0,10,0.057316
0.0,12,0.057853
0.0,8,0.058257
0.0,17,0.05899
0.0,23,0.059912
0.0,11,0.060422
0.0,6,0.060742
0.0,1,0.060867
0.0,4,0.061119
0.0,1,0.061246
0.0,11,0.06174
0.0,14,0.062352
0.0,11,0.062846
0.0,15,0.063505
0.0,13,0.0641
0.0,8,0.064504
0.0,26,0.065535
0.0,8,0.065909
0.0,22,0.066777
0.0,8,0.067177
0.0,4,0.067407
0.0,4,0.067634
0.0,7,0.06796
0.0,7,0.068316
0.0,10,0.06875
0.0,5,0.069038
0.0,2,0.069209
0.0,7,0.06955
0.0,11,0.070024
0.0,17,0.070687
0.0,22,0.071556
0.0,11,0.072041
0.0,7,0.072397
0.0,5,0.072662
0.0,4,0.072899
0.0,7,0.073267
0.0,6,0.073565
0.0,8,0.07394
0.0,1,0.074072
0.0,2,0.07424
0.0,6,0.07454
0.0,2,0.074704
0.0,7,0.075053
0.0,13,0.075594
0.0,9,0.075979
0.0,27,0.076952
0.0,4,0.077194
0.0,19,0.077906
0.0,9,0.078307
0.0,9,0.078705
0.0,3,0.07889
0.0,27,0.079875
0.0,4,0.08011
0.0,12,0.08059
0.0,3,0.080783
0.0,24,0.081675
0.0,5,0.081926
0.0,6,0.082231
0.0,24,0.083117
