#{"t_start": 1522146140.3512223, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,2,0.007385
0.0,3,0.007557
0.0,2,0.007693
0.0,8,0.007987
0.0,10,0.008355
0.0,4,0.008542
0.0,8,0.008823
0.0,4,0.009003
0.0,12,0.009409
0.0,19,0.010022
0.0,8,0.010328
1.0,20,0.010945
0.0,17,0.011493
0.0,21,0.012115
0.0,9,0.012439
1.0,41,0.013609
0.0,7,0.013865
0.0,16,0.01438
0.0,10,0.014723
1.0,14,0.01517
0.0,4,0.015357
0.0,10,0.015699
0.0,12,0.016083
0.0,27,0.016889
0.0,36,0.017934
0.0,3,0.018091
0.0,37,0.019153
0.0,2,0.019291
0.0,19,0.019865
0.0,8,0.020144
0.0,9,0.020463
0.0,7,0.020726
0.0,15,0.021194
0.0,27,0.022006
0.0,7,0.022278
0.0,16,0.022767
0.0,15,0.023232
0.0,10,0.023619
0.0,8,0.023901
0.0,15,0.024391
0.0,7,0.024655
0.0,13,0.025074
0.0,17,0.025615
0.0,16,0.026118
0.0,13,0.026545
0.0,9,0.026856
0.0,3,0.027005
0.0,20,0.027628
0.0,2,0.027751
0.0,9,0.028074
0.0,20,0.028677
0.0,6,0.028903
0.0,20,0.029526
0.0,2,0.02965
0.0,36,0.030674
0.0,5,0.030883
0.0,16,0.031383
0.0,8,0.031675
0.0,15,0.03216
1.0,32,0.033072
0.0,9,0.033393
0.0,6,0.033622
0.0,7,0.033887
0.0,27,0.034681
0.0,8,0.034969
0.0,4,0.035144
0.0,8,0.035451
0.0,2,0.035579
0.0,6,0.035817
0.0,4,0.035992
0.0,8,0.036285
0.0,2,0.036413
0.0,11,0.036787
0.0,1,0.036883
0.0,9,0.037193
0.0,9,0.037529
0.0,38,0.038616
0.0,10,0.038959
0.0,6,0.039187
0.0,26,0.039942
1.0,9,0.040265
0.0,23,0.040943
0.0,12,0.041352
0.0,19,0.04194
0.0,24,0.042663
0.0,6,0.042894
0.0,7,0.043148
0.0,3,0.043307
0.0,33,0.044261
0.0,51,0.045717
1.0,12,0.046118
0.0,5,0.046332
0.0,17,0.046853
0.0,6,0.047089
0.0,24,0.047802
0.0,13,0.04822
0.0,14,0.048677
0.0,6,0.04892
0.0,1,0.049012
0.0,11,0.049394
0.0,16,0.049894
0.0,14,0.050359
1.0,13,0.050772
0.0,17,0.051312
1.0,39,0.052428
0.0,8,0.052706
0.0,10,0.053042
