#{"t_start": 1522145745.1335986, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,16,0.01033
0.0,4,0.010739
0.0,17,0.011824
0.0,10,0.012508
0.0,17,0.013575
0.0,70,0.017189
0.0,23,0.018461
0.0,10,0.019097
0.0,100,0.0241
0.0,21,0.025208
0.0,5,0.025578
0.0,35,0.027281
0.0,9,0.027827
0.0,9,0.028351
0.0,9,0.028913
1.0,51,0.031373
0.0,2,0.031604
1.0,24,0.032849
0.0,50,0.035245
0.0,13,0.03595
0.0,24,0.037097
0.0,16,0.037918
0.0,7,0.038333
0.0,29,0.039738
0.0,17,0.040618
0.0,18,0.041522
0.0,4,0.041807
0.0,13,0.042485
0.0,42,0.04437
0.0,24,0.045465
1.0,11,0.046022
0.0,2,0.046212
0.0,21,0.047175
0.0,9,0.047692
0.0,25,0.048835
0.0,12,0.049458
0.0,16,0.05023
0.0,6,0.050601
0.0,9,0.05108
0.0,21,0.05206
0.0,9,0.052549
0.0,11,0.053112
0.0,2,0.053303
1.0,33,0.054763
0.0,42,0.056529
0.0,27,0.057714
0.0,17,0.058486
0.0,100,0.062462
1.0,17,0.063252
0.0,28,0.06443
0.0,15,0.065096
0.0,5,0.065382
0.0,36,0.066822
0.0,3,0.067033
0.0,18,0.067811
0.0,19,0.068617
0.0,14,0.069222
0.0,17,0.069955
0.0,22,0.070882
0.0,11,0.071398
0.0,42,0.073046
0.0,14,0.073671
0.0,20,0.074483
0.0,16,0.075144
0.0,7,0.075495
0.0,32,0.076738
0.0,17,0.077451
0.0,20,0.078254
0.0,12,0.078791
0.0,11,0.079285
0.0,7,0.079641
0.0,31,0.080827
0.0,21,0.081659
0.0,48,0.08348
0.0,55,0.08546
0.0,14,0.086023
0.0,34,0.08727
0.0,29,0.088351
0.0,7,0.088696
0.0,21,0.089524
0.0,14,0.090088
1.0,9,0.090497
0.0,7,0.090822
0.0,3,0.091008
0.0,7,0.091341
0.0,47,0.093023
1.0,34,0.094268
0.0,33,0.095439
0.0,9,0.095821
0.0,17,0.096463
0.0,7,0.096788
0.0,8,0.097132
0.0,13,0.097661
0.0,15,0.098242
0.0,5,0.098506
0.0,28,0.099513
0.0,25,0.100405
0.0,100,0.103711
0.0,29,0.104742
0.0,44,0.1062
0.0,35,0.107376
0.0,22,0.108159
0.0,46,0.109685
0.0,30,0.110816
0.0,6,0.111104
1.0,12,0.111586
0.0,21,0.112327
0.0,17,0.112963
0.0,3,0.113148
0.0,24,0.113917
0.0,13,0.114313
0.0,12,0.1147
0.0,28,0.115463
0.0,11,0.11581
0.0,3,0.115949
1.0,7,0.1162
0.0,12,0.116572
0.0,11,0.11691
0.0,4,0.117084
0.0,12,0.117451
0.0,100,0.119988
0.0,10,0.120308
0.0,29,0.121107
0.0,29,0.121907
0.0,49,0.12319
0.0,11,0.123548
0.0,3,0.123697
0.0,16,0.124161
0.0,14,0.124596
0.0,16,0.125062
0.0,65,0.126736
0.0,12,0.127106
0.0,7,0.127357
0.0,3,0.127511
0.0,12,0.127883
1.0,8,0.128155
0.0,8,0.128432
0.0,44,0.129592
0.0,16,0.130047
0.0,26,0.130773
0.0,8,0.131044
0.0,35,0.131988
0.0,26,0.132691
0.0,9,0.132988
0.0,12,0.133348
0.0,8,0.133633
0.0,7,0.133879
0.0,20,0.134465
0.0,69,0.136226
0.0,28,0.137068
0.0,24,0.13778
0.0,3,0.137932
0.0,7,0.138171
0.0,9,0.138478
0.0,18,0.138992
0.0,27,0.13973
0.0,5,0.139929
0.0,29,0.140716
1.0,54,0.142127
0.0,6,0.142343
0.0,76,0.144274
0.0,11,0.144645
1.0,26,0.14536
0.0,9,0.145657
0.0,58,0.147168
0.0,8,0.147452
0.0,16,0.147914
0.0,25,0.148615
0.0,2,0.148734
0.0,10,0.149055
0.0,9,0.149346
0.0,7,0.1496
0.0,10,0.149931
0.0,6,0.150152
0.0,14,0.150575
0.0,9,0.150863
0.0,68,0.152592
1.0,8,0.152859
0.0,7,0.153107
0.0,9,0.153417
0.0,10,0.153743
0.0,77,0.155713
0.0,11,0.156063
0.0,12,0.156442
0.0,16,0.156908
0.0,14,0.157322
0.0,11,0.157688
0.0,5,0.157883
0.0,10,0.158195
0.0,10,0.158513
0.0,13,0.158905
1.0,6,0.159119
0.0,10,0.159443
0.0,19,0.159989
0.0,2,0.16011
0.0,31,0.160975
0.0,61,0.162555
0.0,8,0.162832
0.0,34,0.163742
0.0,2,0.163865
0.0,5,0.164057
0.0,14,0.164484
0.0,16,0.16495
0.0,11,0.165301
0.0,12,0.165688
0.0,14,0.166107
0.0,29,0.166905
1.0,39,0.167938
0.0,13,0.168335
0.0,10,0.168688
0.0,11,0.169039
0.0,12,0.169401
0.0,8,0.169682
0.0,7,0.16993
0.0,43,0.171063
0.0,7,0.171307
0.0,42,0.172437
0.0,8,0.172709
0.0,30,0.173522
0.0,14,0.173949
0.0,42,0.175057
0.0,9,0.175357
0.0,2,0.175485
0.0,5,0.17568
0.0,11,0.176017
0.0,18,0.176539
0.0,5,0.176739
0.0,11,0.177083
0.0,22,0.177698
0.0,5,0.177902
0.0,38,0.178926
0.0,12,0.17929
0.0,11,0.179648
0.0,8,0.179915
0.0,40,0.180979
0.0,9,0.181283
0.0,27,0.182026
0.0,15,0.182474
0.0,3,0.182617
0.0,12,0.182976
1.0,9,0.183261
0.0,18,0.183783
0.0,14,0.184195
0.0,25,0.184919
1.0,16,0.185376
0.0,39,0.186446
0.0,2,0.186569
0.0,24,0.187238
0.0,16,0.187725
0.0,8,0.187999
0.0,2,0.18812
0.0,12,0.188495
0.0,6,0.188718
0.0,59,0.190235
0.0,23,0.190891
0.0,19,0.191444
0.0,8,0.191717
0.0,15,0.192158
0.0,72,0.193994
0.0,23,0.194659
0.0,46,0.195859
0.0,13,0.196257
1.0,29,0.197049
0.0,16,0.197532
0.0,38,0.19854
0.0,6,0.198757
0.0,18,0.199274
0.0,35,0.200204
1.0,14,0.200637
0.0,9,0.200933
0.0,11,0.20127
0.0,38,0.202289
0.0,4,0.202475
0.0,38,0.203532
0.0,57,0.20499
0.0,5,0.205183
0.0,54,0.206585
0.0,31,0.207402
0.0,5,0.207603
1.0,21,0.208189
0.0,6,0.208415
0.0,13,0.208816
0.0,20,0.209382
0.0,3,0.209536
0.0,8,0.209813
0.0,10,0.210227
0.0,27,0.211034
0.0,27,0.211779
1.0,10,0.212097
1.0,6,0.212317
0.0,9,0.212625
0.0,3,0.212773
0.0,8,0.213045
0.0,10,0.213365
0.0,10,0.213694
0.0,17,0.214184
0.0,22,0.214805
1.0,22,0.215421
0.0,30,0.21621
0.0,23,0.216868
0.0,6,0.217093
0.0,23,0.217754
0.0,20,0.218311
0.0,42,0.21943
0.0,6,0.219658
0.0,6,0.21988
0.0,4,0.220052
0.0,21,0.220663
0.0,13,0.221058
0.0,13,0.221478
0.0,7,0.221743
0.0,5,0.221942
0.0,5,0.222133
0.0,18,0.222689
0.0,7,0.222928
0.0,15,0.223377
0.0,7,0.223639
1.0,8,0.223911
0.0,9,0.224197
0.0,49,0.225527
0.0,28,0.226306
0.0,7,0.226556
0.0,69,0.228307
0.0,36,0.229265
0.0,12,0.229639
0.0,48,0.230902
0.0,34,0.231821
0.0,5,0.232013
0.0,14,0.232448
0.0,14,0.232869
0.0,48,0.234133
0.0,5,0.234332
0.0,29,0.235116
0.0,31,0.235984
0.0,26,0.236705
0.0,7,0.236946
0.0,12,0.237311
0.0,37,0.238305
0.0,53,0.239702
0.0,20,0.240271
0.0,12,0.240644
0.0,29,0.241441
0.0,56,0.242881
0.0,24,0.243554
0.0,9,0.243851
0.0,6,0.244066
0.0,3,0.244205
0.0,6,0.244426
0.0,9,0.244713
0.0,14,0.245127
0.0,14,0.245551
0.0,10,0.245871
0.0,58,0.247366
0.0,15,0.247804
0.0,8,0.24808
0.0,27,0.248824
0.0,25,0.249517
0.0,68,0.251255
1.0,17,0.25175
0.0,42,0.252853
0.0,17,0.25335
0.0,5,0.253559
1.0,24,0.254231
0.0,3,0.254371
0.0,18,0.254885
0.0,20,0.25547
0.0,49,0.256761
0.0,33,0.257664
0.0,22,0.258277
0.0,31,0.259123
0.0,40,0.260172
0.0,10,0.260498
0.0,9,0.260787
0.0,46,0.261983
0.0,10,0.262298
0.0,33,0.263192
0.0,23,0.263845
0.0,32,0.264712
0.0,17,0.265205
0.0,37,0.266191
1.0,15,0.266642
0.0,5,0.266832
0.0,30,0.267649
0.0,15,0.268099
0.0,19,0.268648
0.0,31,0.269494
0.0,5,0.269686
1.0,11,0.27002
0.0,14,0.270452
0.0,9,0.270748
0.0,5,0.270939
1.0,21,0.271533
1.0,16,0.272008
0.0,32,0.272869
0.0,13,0.273268
0.0,10,0.273595
0.0,98,0.276058
0.0,6,0.276285
0.0,21,0.276875
0.0,42,0.277993
0.0,14,0.278426
0.0,27,0.279164
0.0,5,0.279356
0.0,9,0.279653
0.0,10,0.279972
0.0,2,0.280087
0.0,26,0.280815
0.0,19,0.281366
0.0,7,0.281616
0.0,2,0.281732
0.0,10,0.282056
0.0,7,0.282307
1.0,26,0.283041
0.0,21,0.283643
0.0,5,0.28384
0.0,8,0.284112
0.0,27,0.284868
0.0,6,0.285095
0.0,23,0.285742
0.0,9,0.286038
0.0,33,0.286932
0.0,65,0.288648
0.0,49,0.289948
0.0,14,0.290373
0.0,8,0.290648
0.0,13,0.291042
0.0,11,0.291378
0.0,28,0.292151
0.0,40,0.293217
0.0,55,0.294639
0.0,16,0.295112
0.0,9,0.2954
0.0,10,0.295723
0.0,41,0.296813
0.0,15,0.297252
0.0,25,0.297947
0.0,3,0.298091
0.0,7,0.298336
0.0,7,0.298593
0.0,7,0.298835
0.0,8,0.299109
0.0,3,0.299251
0.0,14,0.299693
0.0,40,0.300754
0.0,9,0.301047
0.0,7,0.301295
0.0,15,0.301754
0.0,13,0.302151
0.0,60,0.303734
0.0,51,0.305073
0.0,11,0.305429
0.0,23,0.306058
0.0,10,0.306377
0.0,55,0.307827
0.0,23,0.308478
0.0,19,0.309023
0.0,32,0.309883
0.0,18,0.310529
0.0,30,0.311344
0.0,12,0.311722
0.0,58,0.313224
0.0,26,0.313955
0.0,9,0.31425
0.0,22,0.314879
0.0,19,0.31543
0.0,14,0.31585
0.0,33,0.316753
0.0,16,0.317222
0.0,42,0.318324
