#{"t_start": 1522145561.734866, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,27,0.007587
0.0,66,0.009099
0.0,92,0.011148
0.0,13,0.011512
0.0,2,0.011633
0.0,100,0.013891
0.0,2,0.014004
0.0,4,0.014163
0.0,53,0.015385
0.0,22,0.015961
0.0,40,0.016895
0.0,3,0.017025
0.0,27,0.017679
0.0,11,0.01799
0.0,8,0.018226
0.0,16,0.018648
0.0,2,0.018761
0.0,23,0.019328
0.0,24,0.019927
0.0,32,0.020691
0.0,11,0.021006
0.0,28,0.02169
0.0,24,0.022266
1.0,16,0.02269
0.0,5,0.022869
0.0,3,0.023003
1.0,49,0.024142
0.0,4,0.024297
0.0,12,0.024638
0.0,22,0.025176
0.0,3,0.025311
0.0,3,0.025449
0.0,25,0.026063
0.0,3,0.026197
0.0,36,0.027065
0.0,20,0.027558
0.0,31,0.028323
0.0,14,0.028715
0.0,17,0.029153
0.0,3,0.029288
0.0,26,0.029929
0.0,38,0.030849
0.0,15,0.03125
0.0,5,0.031429
0.0,59,0.032805
0.0,40,0.033766
0.0,22,0.034306
0.0,12,0.034646
0.0,28,0.035298
0.0,33,0.036085
1.0,22,0.036645
0.0,5,0.036817
0.0,11,0.037122
0.0,28,0.037806
0.0,7,0.03802
0.0,20,0.038521
0.0,11,0.038831
0.0,7,0.039045
0.0,12,0.039373
0.0,8,0.039633
0.0,34,0.040435
0.0,9,0.04071
0.0,21,0.041235
0.0,2,0.041345
0.0,7,0.041565
0.0,18,0.042029
0.0,20,0.042545
0.0,8,0.0428
0.0,2,0.042906
0.0,25,0.04351
0.0,100,0.045734
1.0,20,0.046237
0.0,6,0.046436
0.0,19,0.046944
0.0,12,0.047265
0.0,14,0.047641
0.0,18,0.048089
0.0,21,0.048596
0.0,42,0.049554
0.0,2,0.04967
0.0,5,0.049852
0.0,54,0.051086
0.0,5,0.051265
0.0,7,0.051484
0.0,17,0.051937
0.0,5,0.052119
1.0,17,0.052543
0.0,19,0.053025
0.0,10,0.05331
0.0,19,0.053812
0.0,22,0.05436
0.0,44,0.055386
0.0,13,0.055755
1.0,23,0.056319
1.0,11,0.056635
0.0,4,0.056785
0.0,13,0.057132
0.0,16,0.057546
0.0,17,0.058009
0.0,8,0.058245
0.0,37,0.059122
0.0,24,0.059718
0.0,34,0.060507
0.0,7,0.06074
0.0,37,0.061588
0.0,30,0.062303
0.0,37,0.063176
0.0,7,0.063395
0.0,2,0.063506
0.0,24,0.064116
0.0,9,0.064375
0.0,27,0.065031
0.0,90,0.067051
0.0,49,0.068174
0.0,15,0.06858
0.0,7,0.068815
0.0,23,0.06936
0.0,2,0.069469
0.0,10,0.069778
0.0,5,0.069953
0.0,5,0.070125
0.0,49,0.071246
0.0,24,0.071845
0.0,21,0.072375
0.0,12,0.072716
0.0,8,0.072961
0.0,19,0.073435
0.0,17,0.073895
0.0,7,0.074127
0.0,11,0.074442
0.0,6,0.074652
1.0,16,0.075069
0.0,2,0.075175
0.0,33,0.075971
0.0,10,0.076262
0.0,15,0.076672
0.0,13,0.07704
0.0,3,0.077173
0.0,61,0.078562
0.0,24,0.079158
0.0,35,0.080001
1.0,17,0.080438
0.0,15,0.080839
0.0,6,0.081041
1.0,31,0.081784
0.0,7,0.082007
0.0,22,0.082551
0.0,25,0.083148
0.0,25,0.083756
0.0,16,0.084179
0.0,43,0.085193
0.0,15,0.085584
0.0,2,0.085705
0.0,80,0.087495
0.0,100,0.089749
0.0,15,0.090143
0.0,3,0.090277
0.0,10,0.09056
0.0,14,0.090939
0.0,47,0.092022
1.0,55,0.093254
0.0,41,0.094199
0.0,25,0.094828
0.0,23,0.095399
0.0,5,0.095569
0.0,12,0.095893
0.0,30,0.09661
0.0,40,0.097518
0.0,17,0.09796
0.0,6,0.098159
0.0,16,0.098571
0.0,19,0.099059
0.0,2,0.099165
0.0,38,0.100052
0.0,33,0.100847
1.0,41,0.101766
0.0,37,0.102665
0.0,2,0.102778
0.0,48,0.103891
0.0,28,0.104569
0.0,3,0.104706
1.0,17,0.10514
0.0,4,0.105288
0.0,30,0.106018
0.0,15,0.106411
0.0,40,0.107332
0.0,39,0.108303
0.0,29,0.109012
1.0,19,0.109494
0.0,14,0.109882
1.0,39,0.110777
0.0,23,0.111372
0.0,23,0.11195
0.0,17,0.112399
0.0,5,0.112571
0.0,29,0.113261
0.0,7,0.113483
0.0,26,0.114148
0.0,65,0.115649
0.0,8,0.115891
0.0,11,0.116201
0.0,16,0.116632
1.0,62,0.118041
0.0,10,0.118333
0.0,90,0.120315
0.0,45,0.121376
0.0,2,0.121488
0.0,41,0.122448
1.0,49,0.123582
0.0,14,0.123959
0.0,37,0.124827
0.0,20,0.125328
0.0,47,0.126406
0.0,3,0.12654
0.0,11,0.126855
0.0,46,0.12791
0.0,6,0.128114
0.0,49,0.129228
0.0,14,0.129588
0.0,18,0.130052
0.0,14,0.130418
0.0,42,0.131407
0.0,50,0.132529
0.0,26,0.133177
0.0,2,0.133283
0.0,10,0.133568
0.0,14,0.133943
0.0,23,0.134503
0.0,15,0.134907
0.0,42,0.135911
0.0,2,0.136017
0.0,17,0.136456
0.0,59,0.137826
0.0,29,0.13854
0.0,14,0.138918
0.0,3,0.139054
0.0,6,0.139258
0.0,9,0.139513
0.0,6,0.139714
0.0,75,0.141411
0.0,43,0.142442
0.0,8,0.142692
0.0,26,0.14332
0.0,12,0.143674
0.0,38,0.144553
0.0,2,0.144676
0.0,69,0.146267
0.0,39,0.147189
0.0,22,0.147738
0.0,31,0.14846
0.0,49,0.14958
0.0,30,0.150301
0.0,9,0.150565
0.0,5,0.150747
0.0,7,0.15097
0.0,11,0.151281
0.0,79,0.153061
0.0,11,0.153375
0.0,35,0.154225
0.0,2,0.154334
0.0,24,0.154934
0.0,39,0.15584
0.0,21,0.156353
