#{"t_start": 1522146228.7480154, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,13,0.009196
0.0,100,0.011762
0.0,9,0.012078
0.0,2,0.012201
0.0,5,0.012396
0.0,32,0.013287
0.0,11,0.013637
0.0,9,0.013929
0.0,4,0.014108
0.0,7,0.014362
0.0,5,0.014563
0.0,9,0.014853
0.0,2,0.01497
0.0,6,0.015197
0.0,7,0.015439
0.0,20,0.016019
0.0,4,0.016188
0.0,2,0.016311
0.0,5,0.016512
0.0,12,0.016872
0.0,8,0.017152
0.0,2,0.017271
0.0,20,0.017828
0.0,15,0.018291
0.0,18,0.018798
0.0,39,0.019841
0.0,37,0.020825
0.0,67,0.02257
1.0,32,0.023455
0.0,16,0.023928
0.0,23,0.024576
0.0,9,0.02487
0.0,16,0.025349
0.0,30,0.026173
0.0,19,0.026721
0.0,3,0.02687
0.0,8,0.027148
0.0,8,0.027417
0.0,27,0.028178
0.0,5,0.028382
1.0,25,0.029091
0.0,2,0.029215
0.0,24,0.029893
1.0,73,0.03176
0.0,3,0.03191
0.0,32,0.032794
0.0,3,0.032945
1.0,32,0.033817
1.0,11,0.034181
0.0,34,0.035116
1.0,35,0.03605
0.0,12,0.036426
1.0,48,0.037701
1.0,25,0.038396
1.0,33,0.039301
0.0,3,0.039453
0.0,19,0.040013
1.0,12,0.040382
1.0,22,0.040988
1.0,45,0.0422
1.0,14,0.04263
0.0,6,0.042847
0.0,17,0.043364
0.0,9,0.043669
1.0,29,0.044477
0.0,16,0.044963
0.0,12,0.045351
0.0,9,0.045651
0.0,23,0.046306
1.0,39,0.047366
0.0,3,0.047515
0.0,5,0.047713
0.0,13,0.048138
0.0,9,0.048444
0.0,6,0.048677
0.0,6,0.048895
1.0,67,0.050646
0.0,17,0.051159
0.0,7,0.051405
0.0,13,0.05181
0.0,4,0.051981
0.0,5,0.052193
0.0,16,0.052676
0.0,5,0.052877
0.0,10,0.053216
0.0,9,0.05352
0.0,55,0.054953
0.0,4,0.055139
0.0,2,0.055258
0.0,5,0.055466
0.0,7,0.055721
1.0,23,0.056396
1.0,22,0.057026
0.0,30,0.057843
0.0,4,0.058033
0.0,33,0.058948
0.0,24,0.05963
0.0,21,0.060256
0.0,4,0.060433
0.0,18,0.06095
1.0,18,0.061476
1.0,23,0.062131
0.0,7,0.062377
0.0,6,0.062601
0.0,17,0.063106
0.0,27,0.063864
0.0,13,0.064286
1.0,9,0.064593
0.0,9,0.064898
0.0,2,0.065028
0.0,25,0.065738
0.0,9,0.066046
0.0,14,0.066473
1.0,9,0.066777
0.0,5,0.06698
1.0,27,0.067727
0.0,3,0.067874
1.0,18,0.068405
0.0,46,0.069642
0.0,24,0.070322
0.0,3,0.070477
1.0,15,0.070931
0.0,22,0.07156
0.0,38,0.072578
0.0,3,0.072725
0.0,61,0.074345
0.0,19,0.07489
0.0,14,0.075324
0.0,33,0.076236
0.0,14,0.076665
1.0,19,0.07724
1.0,11,0.0776
0.0,16,0.078088
0.0,26,0.078809
0.0,6,0.079049
0.0,9,0.079355
1.0,24,0.080035
0.0,3,0.080187
1.0,13,0.080579
0.0,11,0.080919
1.0,44,0.082097
1.0,14,0.082522
1.0,72,0.08441
0.0,2,0.084532
0.0,20,0.085112
0.0,4,0.085291
0.0,3,0.085442
0.0,6,0.085668
0.0,4,0.085843
0.0,8,0.086135
0.0,15,0.086583
0.0,47,0.08784
0.0,10,0.08819
0.0,4,0.08837
0.0,7,0.088624
0.0,34,0.089551
0.0,33,0.090491
0.0,5,0.090689
0.0,4,0.090858
0.0,18,0.091423
0.0,28,0.092206
0.0,19,0.092753
0.0,26,0.093487
0.0,2,0.093612
0.0,11,0.093955
0.0,19,0.094505
1.0,8,0.094775
0.0,40,0.095845
0.0,37,0.096829
1.0,63,0.098476
0.0,10,0.098807
0.0,74,0.100723
0.0,7,0.100975
1.0,23,0.10164
0.0,21,0.102247
0.0,9,0.102551
0.0,13,0.102953
1.0,16,0.103444
0.0,3,0.10359
0.0,22,0.104224
1.0,40,0.105327
0.0,27,0.10608
0.0,16,0.10656
0.0,2,0.106683
0.0,9,0.106977
0.0,48,0.108274
0.0,24,0.108932
0.0,47,0.110299
0.0,7,0.110559
0.0,8,0.110828
0.0,55,0.112322
0.0,4,0.1125
1.0,16,0.112979
0.0,53,0.114385
0.0,4,0.114563
0.0,56,0.116056
0.0,16,0.116529
0.0,3,0.116672
1.0,12,0.117055
0.0,4,0.117229
0.0,26,0.117947
0.0,10,0.118286
1.0,20,0.11887
0.0,4,0.119058
0.0,45,0.120271
0.0,6,0.120505
0.0,32,0.12139
1.0,12,0.121772
0.0,9,0.122081
0.0,42,0.123218
0.0,5,0.123413
