#{"t_start": 1522145988.4263892, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,2,0.012278
0.0,2,0.012558
0.0,1,0.012743
0.0,6,0.013241
0.0,7,0.013743
0.0,18,0.014812
0.0,1,0.015003
0.0,11,0.015756
0.0,8,0.016327
0.0,15,0.017281
0.0,3,0.017591
0.0,15,0.018446
0.0,15,0.019321
0.0,15,0.020175
0.0,6,0.020593
0.0,7,0.021046
0.0,7,0.02151
0.0,28,0.022993
1.0,31,0.024619
1.0,15,0.02545
1.0,19,0.026469
0.0,13,0.027256
0.0,15,0.028087
0.0,12,0.028778
0.0,23,0.030044
0.0,26,0.031434
0.0,5,0.031796
0.0,2,0.032019
0.0,3,0.032309
0.0,5,0.03268
0.0,16,0.033599
0.0,4,0.033912
0.0,5,0.034294
0.0,3,0.034558
0.0,4,0.034863
0.0,10,0.035485
0.0,8,0.035988
0.0,19,0.037056
0.0,2,0.03729
0.0,3,0.037557
0.0,16,0.038435
0.0,1,0.038589
0.0,8,0.039071
0.0,8,0.039547
0.0,2,0.039757
0.0,3,0.040011
1.0,11,0.040637
0.0,2,0.04085
0.0,15,0.041669
0.0,18,0.042617
0.0,14,0.043388
0.0,2,0.043588
0.0,24,0.044791
0.0,4,0.045082
0.0,30,0.046549
0.0,18,0.047526
0.0,14,0.048263
0.0,18,0.049169
0.0,20,0.050158
0.0,20,0.051101
0.0,5,0.05144
0.0,5,0.051753
0.0,18,0.052627
0.0,3,0.052863
0.0,8,0.053323
0.0,12,0.053946
0.0,16,0.054739
0.0,7,0.05516
1.0,52,0.057455
0.0,5,0.057765
0.0,7,0.058164
0.0,6,0.0585
0.0,9,0.058958
0.0,7,0.059361
0.0,17,0.060146
1.0,27,0.061328
0.0,2,0.061506
0.0,13,0.062135
0.0,16,0.062869
0.0,4,0.063146
1.0,22,0.064152
0.0,6,0.064497
0.0,8,0.064923
0.0,50,0.067005
0.0,6,0.067372
0.0,11,0.067918
0.0,23,0.068893
0.0,3,0.069118
0.0,1,0.069259
0.0,2,0.06943
0.0,24,0.070423
0.0,24,0.071436
0.0,22,0.072355
1.0,19,0.073172
0.0,18,0.073944
1.0,18,0.07472
0.0,6,0.075049
0.0,14,0.07568
0.0,31,0.076936
0.0,17,0.077693
0.0,43,0.07934
0.0,4,0.079584
0.0,4,0.079823
0.0,7,0.080185
1.0,25,0.08116
1.0,37,0.082535
1.0,10,0.082984
0.0,24,0.08396
0.0,24,0.084934
0.0,30,0.086066
0.0,13,0.086616
0.0,11,0.087098
0.0,2,0.087274
0.0,3,0.087487
0.0,3,0.087674
0.0,7,0.088008
0.0,8,0.088401
0.0,2,0.088556
0.0,4,0.088787
0.0,3,0.088983
0.0,6,0.089283
0.0,4,0.089503
0.0,20,0.090301
0.0,16,0.090921
0.0,4,0.091172
0.0,11,0.09164
0.0,20,0.092409
0.0,6,0.092702
0.0,3,0.092889
0.0,4,0.093129
0.0,4,0.093353
0.0,22,0.0942
1.0,6,0.094502
0.0,6,0.094789
0.0,10,0.095232
0.0,6,0.09553
0.0,3,0.095719
0.0,3,0.095912
1.0,27,0.096919
0.0,3,0.097117
0.0,10,0.097551
0.0,24,0.098404
0.0,15,0.098972
0.0,8,0.099333
0.0,6,0.09962
0.0,5,0.099871
0.0,20,0.100605
0.0,10,0.101006
0.0,9,0.101386
0.0,37,0.102664
0.0,8,0.103011
0.0,5,0.103279
0.0,22,0.104088
0.0,7,0.104411
0.0,11,0.104872
0.0,6,0.105163
0.0,15,0.105737
0.0,4,0.105948
0.0,9,0.106352
0.0,4,0.106565
0.0,18,0.107252
0.0,1,0.107373
0.0,6,0.107674
0.0,10,0.108066
0.0,4,0.108289
0.0,8,0.108632
0.0,16,0.109209
0.0,2,0.109351
0.0,2,0.109489
0.0,4,0.109697
0.0,7,0.110003
1.0,14,0.110521
0.0,13,0.110994
1.0,6,0.111292
1.0,47,0.112853
0.0,12,0.113418
1.0,7,0.113721
0.0,16,0.114319
0.0,7,0.114614
1.0,17,0.115244
0.0,7,0.115555
0.0,16,0.116162
0.0,7,0.116503
0.0,7,0.116816
0.0,8,0.117161
0.0,3,0.117347
1.0,13,0.117798
0.0,34,0.118883
0.0,28,0.1198
0.0,11,0.120221
1.0,46,0.121634
0.0,7,0.121917
0.0,32,0.122946
0.0,41,0.124249
0.0,59,0.126091
0.0,5,0.126338
0.0,5,0.126565
0.0,5,0.126802
0.0,3,0.126965
0.0,2,0.12711
0.0,20,0.127791
0.0,4,0.127988
0.0,8,0.128316
0.0,5,0.128542
1.0,14,0.129021
0.0,7,0.129311
0.0,4,0.129506
0.0,11,0.129886
0.0,14,0.130358
0.0,16,0.130892
0.0,2,0.13103
0.0,11,0.131427
0.0,26,0.132241
0.0,6,0.132485
1.0,20,0.133112
0.0,7,0.133393
0.0,3,0.133558
0.0,1,0.133662
1.0,9,0.134
0.0,3,0.134169
0.0,9,0.134513
0.0,5,0.134732
0.0,1,0.134828
1.0,16,0.135373
1.0,15,0.135888
1.0,21,0.136545
0.0,7,0.136815
0.0,12,0.137248
0.0,9,0.137558
0.0,21,0.138094
0.0,3,0.138232
0.0,14,0.138611
0.0,4,0.138773
0.0,32,0.139585
0.0,12,0.139927
0.0,4,0.140085
0.0,30,0.140834
1.0,25,0.141495
0.0,5,0.141677
0.0,3,0.141808
0.0,17,0.14227
0.0,14,0.142657
0.0,6,0.142851
0.0,6,0.143046
0.0,6,0.143249
0.0,28,0.143955
0.0,8,0.144223
0.0,18,0.144713
1.0,15,0.145108
0.0,13,0.145482
0.0,4,0.145633
0.0,3,0.145761
0.0,3,0.145888
0.0,1,0.145966
0.0,5,0.146159
0.0,2,0.146264
0.0,2,0.146368
0.0,2,0.146472
0.0,4,0.146622
0.0,10,0.146903
0.0,5,0.147083
0.0,2,0.147202
0.0,5,0.147378
0.0,4,0.147527
1.0,48,0.148673
0.0,46,0.149773
1.0,29,0.150488
1.0,19,0.150986
0.0,3,0.151133
0.0,4,0.151287
0.0,13,0.151645
0.0,10,0.15193
0.0,24,0.152552
0.0,32,0.153349
