#{"t_start": 1522146367.7583482, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,4,0.008255
0.0,8,0.008536
0.0,3,0.008671
0.0,5,0.008862
0.0,4,0.009016
0.0,10,0.00932
0.0,13,0.009687
0.0,12,0.010022
0.0,11,0.010356
0.0,10,0.010651
0.0,2,0.010762
0.0,9,0.011026
0.0,14,0.011413
0.0,18,0.011882
0.0,5,0.012061
0.0,5,0.012244
0.0,12,0.012587
0.0,7,0.012805
0.0,4,0.012959
0.0,16,0.013393
0.0,22,0.013946
0.0,11,0.014271
0.0,27,0.01494
0.0,19,0.015431
0.0,17,0.015882
0.0,7,0.016131
0.0,10,0.016448
0.0,6,0.016653
0.0,7,0.016875
0.0,7,0.017091
0.0,3,0.017235
0.0,5,0.017409
0.0,8,0.017654
0.0,3,0.01778
0.0,12,0.018108
0.0,1,0.018199
0.0,13,0.018562
0.0,7,0.018786
0.0,3,0.018921
0.0,1,0.01901
0.0,4,0.019176
0.0,7,0.019426
0.0,4,0.019587
0.0,3,0.019722
0.0,5,0.019908
0.0,15,0.020346
0.0,4,0.020511
0.0,7,0.020735
0.0,8,0.020984
0.0,9,0.021266
0.0,7,0.021515
0.0,3,0.021658
0.0,8,0.021929
0.0,10,0.022267
0.0,19,0.022766
0.0,7,0.022996
0.0,3,0.02313
0.0,1,0.023223
0.0,7,0.023446
0.0,5,0.02363
0.0,5,0.023804
0.0,4,0.023958
0.0,7,0.024176
0.0,6,0.024386
0.0,9,0.02466
0.0,17,0.025096
0.0,8,0.025347
0.0,17,0.02583
0.0,2,0.025947
0.0,3,0.026085
1.0,22,0.026663
0.0,1,0.026751
0.0,11,0.027068
0.0,5,0.027268
0.0,5,0.027451
0.0,4,0.027603
0.0,8,0.027853
0.0,8,0.028091
0.0,32,0.028883
0.0,10,0.029177
0.0,1,0.029271
0.0,1,0.029355
0.0,2,0.029464
0.0,7,0.029685
1.0,25,0.030367
0.0,9,0.03064
1.0,7,0.030858
0.0,4,0.031014
0.0,25,0.031661
0.0,2,0.031775
0.0,1,0.031854
0.0,1,0.031933
0.0,10,0.032233
0.0,5,0.032409
0.0,4,0.032563
0.0,2,0.032672
0.0,5,0.032846
0.0,5,0.033016
0.0,14,0.033415
0.0,7,0.033647
0.0,7,0.033867
0.0,13,0.034247
0.0,4,0.034398
0.0,17,0.034836
0.0,13,0.035198
0.0,8,0.035438
0.0,10,0.03572
0.0,12,0.036053
0.0,3,0.036186
0.0,4,0.03634
0.0,13,0.0367
0.0,4,0.03685
0.0,1,0.036927
0.0,15,0.037342
0.0,7,0.037566
0.0,2,0.037675
0.0,33,0.038485
0.0,11,0.038808
0.0,10,0.039095
0.0,13,0.039461
0.0,7,0.039696
0.0,1,0.039775
0.0,7,0.04001
0.0,16,0.040441
0.0,17,0.04089
0.0,8,0.041137
0.0,1,0.041224
0.0,19,0.041755
0.0,25,0.042438
0.0,3,0.042572
0.0,9,0.042831
0.0,3,0.042964
0.0,10,0.043272
0.0,8,0.043528
0.0,5,0.043704
0.0,18,0.044176
0.0,8,0.044439
0.0,9,0.044713
0.0,7,0.044953
0.0,13,0.045346
0.0,4,0.045503
0.0,5,0.045677
0.0,13,0.046027
0.0,4,0.046175
0.0,8,0.046423
0.0,18,0.046901
0.0,8,0.047145
0.0,12,0.047491
0.0,13,0.047852
0.0,14,0.048253
0.0,22,0.048821
0.0,6,0.049017
0.0,5,0.049207
0.0,25,0.049846
0.0,13,0.050209
0.0,11,0.050522
0.0,6,0.050723
0.0,5,0.050904
0.0,7,0.051128
0.0,5,0.051307
0.0,4,0.051463
0.0,2,0.051565
0.0,14,0.051951
0.0,3,0.05208
0.0,2,0.052191
0.0,15,0.052596
0.0,5,0.052773
0.0,8,0.053011
0.0,7,0.053237
0.0,4,0.053385
0.0,15,0.053784
0.0,8,0.054021
0.0,4,0.05417
0.0,1,0.054255
0.0,17,0.054708
0.0,29,0.055437
0.0,15,0.055851
0.0,15,0.056295
0.0,8,0.056548
0.0,17,0.056996
0.0,41,0.057971
0.0,13,0.058331
0.0,12,0.058669
0.0,9,0.058933
0.0,22,0.059494
0.0,1,0.059574
0.0,11,0.059886
0.0,16,0.060312
0.0,6,0.060508
0.0,9,0.060777
0.0,8,0.061027
0.0,6,0.061239
0.0,7,0.061457
0.0,5,0.061627
0.0,2,0.061728
0.0,9,0.061994
0.0,1,0.062073
0.0,1,0.062155
0.0,21,0.062714
0.0,12,0.063063
0.0,2,0.063167
0.0,5,0.063356
0.0,9,0.063622
0.0,4,0.06377
0.0,2,0.063872
0.0,4,0.064026
0.0,4,0.064173
0.0,8,0.064424
0.0,28,0.065119
0.0,5,0.065306
0.0,3,0.065434
0.0,10,0.065716
0.0,5,0.065886
0.0,5,0.066063
0.0,6,0.066273
0.0,4,0.066423
0.0,4,0.066571
0.0,7,0.066784
0.0,16,0.067226
0.0,10,0.067518
0.0,16,0.06794
0.0,1,0.068023
0.0,4,0.068174
0.0,7,0.068406
0.0,23,0.068982
0.0,15,0.069408
0.0,23,0.069988
0.0,8,0.070241
0.0,2,0.070346
0.0,3,0.070478
0.0,8,0.070718
0.0,16,0.071141
0.0,10,0.071452
0.0,7,0.07167
0.0,10,0.07196
0.0,6,0.072153
0.0,4,0.072309
0.0,2,0.072411
0.0,4,0.072558
0.0,1,0.072635
0.0,9,0.072896
0.0,7,0.073124
0.0,3,0.073268
0.0,5,0.073449
0.0,3,0.073577
0.0,21,0.074122
0.0,16,0.074547
0.0,7,0.074774
0.0,9,0.075053
0.0,4,0.075214
0.0,1,0.075292
0.0,6,0.075488
0.0,13,0.075855
0.0,1,0.075938
0.0,11,0.076258
0.0,5,0.07643
0.0,5,0.076602
0.0,10,0.076885
0.0,11,0.077208
0.0,23,0.077777
0.0,1,0.07786
0.0,3,0.077988
0.0,5,0.078166
0.0,9,0.078443
0.0,5,0.078615
0.0,13,0.078971
0.0,13,0.079347
0.0,6,0.079543
0.0,7,0.07977
0.0,9,0.08004
0.0,15,0.080459
0.0,3,0.080587
0.0,4,0.080735
0.0,3,0.08086
0.0,6,0.081052
0.0,11,0.081368
0.0,2,0.081479
0.0,4,0.08163
0.0,3,0.081755
0.0,6,0.081949
0.0,9,0.082222
0.0,10,0.082513
0.0,2,0.082621
0.0,9,0.082882
1.0,18,0.083351
0.0,7,0.08358
0.0,5,0.083759
0.0,10,0.08404
0.0,9,0.084316
0.0,4,0.084466
0.0,6,0.084666
0.0,8,0.084906
0.0,1,0.084982
0.0,6,0.085192
0.0,24,0.085798
0.0,5,0.085971
0.0,5,0.08614
0.0,10,0.086437
0.0,16,0.086867
0.0,27,0.087545
