#{"t_start": 1522145552.4846375, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,3,0.006499
0.0,1,0.006604
0.0,3,0.006756
0.0,4,0.006941
0.0,3,0.007098
0.0,17,0.007604
0.0,38,0.008668
0.0,7,0.008919
0.0,7,0.009182
0.0,5,0.00938
0.0,7,0.009642
0.0,10,0.009986
0.0,10,0.010319
0.0,9,0.01062
0.0,15,0.011082
0.0,8,0.011366
0.0,7,0.011616
0.0,1,0.011704
0.0,8,0.012001
0.0,7,0.012263
0.0,17,0.012769
0.0,8,0.013065
1.0,8,0.013338
0.0,9,0.013638
0.0,11,0.014015
0.0,23,0.014678
0.0,3,0.01483
0.0,8,0.015136
0.0,5,0.01534
0.0,7,0.015596
0.0,34,0.016559
0.0,5,0.016757
0.0,17,0.017272
0.0,18,0.017807
0.0,4,0.017988
0.0,3,0.018132
0.0,3,0.018281
0.0,3,0.018431
0.0,9,0.018737
0.0,1,0.018825
0.0,9,0.01914
0.0,10,0.019481
0.0,1,0.019574
0.0,6,0.019798
0.0,3,0.01994
0.0,3,0.020101
0.0,12,0.020479
0.0,20,0.021075
0.0,6,0.021304
0.0,10,0.02165
0.0,8,0.021924
0.0,12,0.022314
0.0,15,0.022778
0.0,46,0.024069
0.0,5,0.024274
0.0,4,0.02445
0.0,3,0.024593
0.0,2,0.02471
0.0,3,0.024858
0.0,3,0.025022
0.0,1,0.02511
0.0,32,0.026019
0.0,5,0.026225
0.0,4,0.026402
0.0,26,0.027162
0.0,4,0.027339
0.0,1,0.027427
0.0,15,0.027878
0.0,9,0.028193
0.0,12,0.028568
0.0,24,0.02926
0.0,8,0.029535
0.0,7,0.029788
0.0,3,0.029935
0.0,10,0.03027
0.0,8,0.030554
0.0,8,0.030837
0.0,10,0.031177
0.0,7,0.031425
0.0,10,0.031783
0.0,3,0.031927
0.0,9,0.032278
0.0,16,0.032783
0.0,8,0.033082
0.0,1,0.033173
0.0,6,0.033402
0.0,1,0.03349
0.0,22,0.034139
0.0,1,0.034234
0.0,4,0.034411
0.0,4,0.034587
0.0,4,0.034763
0.0,5,0.034965
0.0,6,0.035188
0.0,7,0.035434
0.0,3,0.035582
0.0,3,0.035728
0.0,6,0.035948
0.0,2,0.036083
0.0,4,0.036264
0.0,3,0.036413
0.0,4,0.036591
0.0,1,0.036678
0.0,12,0.037081
0.0,12,0.037469
0.0,10,0.037793
0.0,7,0.038057
0.0,14,0.038503
0.0,2,0.038625
0.0,9,0.038936
0.0,3,0.039098
0.0,1,0.039187
0.0,4,0.039362
0.0,5,0.039568
0.0,3,0.039712
0.0,5,0.039906
0.0,8,0.040198
0.0,2,0.040316
0.0,3,0.040464
0.0,11,0.040817
0.0,3,0.04098
0.0,8,0.041254
0.0,1,0.041341
0.0,27,0.042114
0.0,7,0.042362
0.0,3,0.042505
0.0,4,0.042679
0.0,4,0.04285
0.0,5,0.043057
0.0,18,0.043594
0.0,3,0.043739
0.0,33,0.04466
0.0,16,0.045153
0.0,8,0.045434
0.0,30,0.046292
0.0,1,0.046381
0.0,9,0.04668
0.0,5,0.046882
0.0,4,0.047062
0.0,7,0.047309
0.0,7,0.04756
0.0,1,0.047649
0.0,9,0.047953
0.0,4,0.048141
0.0,19,0.048697
0.0,3,0.048841
0.0,14,0.049278
0.0,6,0.049508
0.0,3,0.04965
0.0,14,0.050104
0.0,16,0.050579
0.0,5,0.050772
0.0,20,0.051355
0.0,3,0.051504
0.0,3,0.051648
0.0,6,0.051876
0.0,3,0.052035
0.0,20,0.052618
0.0,30,0.053466
0.0,7,0.053726
0.0,11,0.054088
0.0,1,0.054178
0.0,3,0.054322
0.0,4,0.0545
0.0,1,0.054592
0.0,2,0.054711
0.0,12,0.055098
0.0,11,0.055448
0.0,35,0.056415
0.0,7,0.056663
0.0,16,0.057173
0.0,2,0.057291
0.0,1,0.057378
0.0,9,0.057686
0.0,24,0.058391
0.0,7,0.058647
0.0,9,0.05895
0.0,7,0.059212
0.0,10,0.059534
0.0,8,0.059819
0.0,7,0.060084
0.0,1,0.060175
0.0,5,0.060374
0.0,1,0.060462
0.0,3,0.060606
0.0,3,0.060749
0.0,6,0.060985
0.0,2,0.061108
0.0,7,0.061352
0.0,9,0.061654
0.0,8,0.06193
0.0,2,0.06206
0.0,15,0.062525
0.0,23,0.063191
0.0,28,0.064005
0.0,9,0.064305
0.0,8,0.064574
0.0,11,0.064921
0.0,4,0.065095
0.0,4,0.065263
0.0,5,0.065457
0.0,26,0.066217
0.0,4,0.066404
0.0,6,0.066639
0.0,5,0.06684
0.0,2,0.066964
0.0,4,0.067142
0.0,10,0.067477
0.0,3,0.067626
1.0,11,0.067986
0.0,8,0.068273
0.0,5,0.068474
0.0,3,0.068618
0.0,2,0.068733
0.0,12,0.069134
