#{"t_start": 1522144563.3818204, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,90,0.007207
0.0,54,0.008468
0.0,2,0.008583
0.0,94,0.010686
0.0,100,0.012911
0.0,16,0.013348
0.0,16,0.01377
0.0,10,0.014059
0.0,55,0.015307
0.0,24,0.015889
0.0,8,0.016136
0.0,2,0.016239
0.0,10,0.016524
0.0,5,0.016692
0.0,23,0.017267
0.0,10,0.017541
0.0,9,0.017791
0.0,15,0.018191
0.0,4,0.018337
0.0,9,0.018597
0.0,4,0.018743
0.0,2,0.018843
1.0,9,0.019105
1.0,23,0.019662
0.0,17,0.020109
0.0,20,0.0206
0.0,17,0.021038
0.0,5,0.021212
0.0,3,0.021334
0.0,2,0.021434
0.0,2,0.021534
0.0,3,0.021662
0.0,10,0.021948
0.0,23,0.022519
0.0,25,0.023123
0.0,54,0.024342
0.0,36,0.025239
0.0,38,0.026125
0.0,92,0.028162
0.0,6,0.028358
0.0,14,0.028728
0.0,23,0.029297
0.0,40,0.030234
0.0,5,0.030408
0.0,6,0.0306
0.0,2,0.0307
0.0,20,0.031201
0.0,40,0.032156
0.0,15,0.032543
0.0,27,0.033186
0.0,5,0.033358
0.0,2,0.033459
0.0,27,0.03411
0.0,5,0.034277
0.0,9,0.034525
0.0,43,0.035512
0.0,8,0.035745
0.0,3,0.035866
0.0,24,0.036441
0.0,15,0.036833
0.0,38,0.037735
0.0,33,0.038512
0.0,8,0.038749
0.0,12,0.039074
0.0,21,0.03958
0.0,2,0.039681
0.0,11,0.039977
0.0,40,0.040899
0.0,12,0.041233
1.0,19,0.041709
0.0,3,0.041836
0.0,15,0.042234
0.0,9,0.042492
0.0,36,0.043323
0.0,9,0.043587
0.0,28,0.044264
0.0,28,0.04493
0.0,7,0.045155
0.0,9,0.045413
0.0,17,0.045849
0.0,9,0.04611
0.0,14,0.046466
0.0,19,0.046937
0.0,40,0.047862
0.0,6,0.048062
0.0,7,0.048283
0.0,8,0.048525
0.0,12,0.048844
0.0,10,0.049136
0.0,48,0.050256
0.0,5,0.050433
0.0,17,0.050866
0.0,8,0.051115
0.0,22,0.051642
0.0,3,0.051773
0.0,25,0.052387
0.0,5,0.05256
1.0,37,0.053422
0.0,10,0.053695
0.0,4,0.053845
0.0,3,0.053967
0.0,27,0.054629
0.0,23,0.055199
0.0,10,0.05548
0.0,8,0.055709
0.0,20,0.056212
0.0,41,0.057167
0.0,7,0.057386
0.0,10,0.057666
0.0,14,0.058034
0.0,3,0.058162
0.0,7,0.058376
0.0,13,0.05872
0.0,20,0.05922
0.0,5,0.059394
0.0,32,0.060153
0.0,12,0.060467
0.0,6,0.060651
0.0,9,0.060899
0.0,25,0.061507
1.0,31,0.062253
0.0,15,0.062639
0.0,5,0.062804
0.0,15,0.0632
0.0,5,0.063372
0.0,22,0.063903
0.0,14,0.064268
0.0,12,0.064593
0.0,44,0.06561
0.0,33,0.066387
0.0,3,0.066512
0.0,9,0.066763
0.0,5,0.066933
0.0,3,0.067065
0.0,15,0.067443
0.0,38,0.068336
0.0,42,0.069317
0.0,17,0.069744
0.0,13,0.070107
0.0,14,0.07048
0.0,17,0.070908
0.0,3,0.071047
0.0,46,0.072101
0.0,9,0.072359
0.0,19,0.072825
0.0,27,0.073475
0.0,2,0.073583
0.0,5,0.073753
0.0,27,0.074409
0.0,20,0.07491
0.0,16,0.07533
0.0,32,0.07609
0.0,24,0.076666
0.0,5,0.076832
1.0,36,0.077675
0.0,18,0.078132
1.0,10,0.078406
1.0,16,0.07881
0.0,29,0.079506
0.0,15,0.079892
0.0,46,0.080951
0.0,8,0.081201
0.0,50,0.082335
0.0,5,0.082511
0.0,15,0.082888
0.0,35,0.083716
0.0,18,0.084171
0.0,12,0.084488
0.0,2,0.084587
1.0,10,0.084858
0.0,63,0.086282
0.0,3,0.086412
