#{"t_start": 1522145108.9660423, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,1,0.006409
0.0,1,0.00655
0.0,4,0.006756
0.0,2,0.006882
0.0,5,0.00709
0.0,10,0.007448
0.0,13,0.007911
0.0,14,0.008364
0.0,25,0.009129
0.0,22,0.009825
0.0,14,0.010289
0.0,16,0.010822
0.0,24,0.011573
0.0,5,0.011782
0.0,24,0.012571
1.0,14,0.013026
0.0,13,0.013478
0.0,7,0.013758
0.0,36,0.014849
0.0,48,0.016277
0.0,41,0.017522
0.0,20,0.018156
0.0,11,0.018558
0.0,18,0.019135
0.0,8,0.019439
0.0,10,0.019807
1.0,50,0.021289
0.0,3,0.021446
0.0,15,0.021937
1.0,35,0.023097
1.0,42,0.024376
0.0,3,0.024595
0.0,6,0.02484
0.0,8,0.025135
1.0,7,0.025403
0.0,3,0.025597
0.0,5,0.025808
0.0,6,0.026049
0.0,13,0.026484
0.0,17,0.02703
0.0,7,0.0273
0.0,37,0.028422
0.0,3,0.028597
0.0,8,0.028899
0.0,14,0.029361
0.0,5,0.029584
0.0,5,0.029799
1.0,21,0.030452
0.0,7,0.030737
0.0,31,0.031693
0.0,1,0.031787
0.0,41,0.033022
0.0,22,0.033712
0.0,37,0.03483
0.0,6,0.035078
0.0,7,0.035338
0.0,16,0.035869
1.0,16,0.036378
0.0,14,0.03685
0.0,33,0.037856
0.0,1,0.037954
0.0,12,0.038362
0.0,30,0.039282
0.0,21,0.039947
0.0,4,0.040128
0.0,16,0.040654
0.0,8,0.040952
0.0,14,0.041413
0.0,14,0.0419
0.0,4,0.042088
0.0,9,0.042423
0.0,22,0.043129
0.0,9,0.043447
0.0,34,0.044524
1.0,43,0.045813
0.0,11,0.046186
0.0,11,0.046569
0.0,15,0.047065
0.0,11,0.047437
0.0,8,0.047745
0.0,10,0.0481
0.0,7,0.048361
1.0,24,0.04912
0.0,1,0.049214
0.0,12,0.049653
0.0,5,0.049864
0.0,9,0.050193
0.0,15,0.050705
0.0,6,0.050942
0.0,1,0.051041
0.0,1,0.051138
0.0,19,0.051761
0.0,8,0.052061
0.0,10,0.052412
0.0,16,0.052939
0.0,12,0.053351
0.0,16,0.053872
0.0,15,0.054381
0.0,3,0.054548
0.0,14,0.055005
0.0,2,0.055125
0.0,42,0.056375
0.0,4,0.056575
1.0,50,0.058043
0.0,39,0.059202
0.0,19,0.059821
0.0,51,0.061328
0.0,16,0.061861
0.0,20,0.062511
0.0,9,0.062829
0.0,2,0.062954
0.0,1,0.06305
1.0,17,0.063602
0.0,15,0.064084
1.0,19,0.064677
0.0,12,0.06508
0.0,37,0.066174
0.0,4,0.06636
0.0,15,0.06688
0.0,1,0.066978
0.0,23,0.067712
0.0,8,0.06801
0.0,20,0.068654
0.0,12,0.069065
1.0,25,0.069844
0.0,1,0.069936
0.0,13,0.070381
1.0,14,0.070864
0.0,2,0.070987
0.0,18,0.071584
0.0,8,0.07188
0.0,41,0.073159
0.0,30,0.074079
0.0,1,0.074178
0.0,11,0.074569
0.0,5,0.074778
0.0,8,0.075073
1.0,23,0.075786
0.0,2,0.075907
0.0,7,0.076176
1.0,71,0.078263
0.0,8,0.078609
0.0,44,0.079943
0.0,3,0.080096
0.0,3,0.080245
0.0,35,0.081303
0.0,6,0.08156
0.0,2,0.081684
0.0,13,0.082132
0.0,22,0.082822
0.0,5,0.083029
1.0,49,0.084491
0.0,1,0.084586
0.0,22,0.085263
0.0,8,0.085573
0.0,34,0.0866
1.0,11,0.086975
0.0,18,0.087567
0.0,14,0.088027
0.0,41,0.089273
0.0,31,0.09024
0.0,30,0.091158
0.0,20,0.091809
0.0,4,0.091994
0.0,15,0.092497
0.0,12,0.092916
0.0,6,0.093162
0.0,4,0.09334
1.0,19,0.093966
0.0,20,0.094606
0.0,12,0.095008
0.0,7,0.095283
0.0,3,0.095433
0.0,23,0.096152
0.0,22,0.096852
0.0,10,0.097207
0.0,14,0.09768
0.0,8,0.097975
0.0,19,0.098593
0.0,13,0.099021
0.0,16,0.099582
1.0,29,0.100476
0.0,5,0.100691
0.0,7,0.100951
0.0,9,0.101272
0.0,11,0.101656
0.0,6,0.101902
1.0,39,0.103065
1.0,31,0.103998
0.0,9,0.104322
0.0,27,0.10516
0.0,6,0.105404
0.0,25,0.106189
0.0,22,0.106895
0.0,39,0.108141
0.0,7,0.108409
0.0,9,0.108739
0.0,23,0.109462
0.0,16,0.109988
0.0,6,0.110221
0.0,5,0.110433
0.0,4,0.110627
0.0,3,0.110785
0.0,50,0.112272
0.0,14,0.112756
0.0,19,0.11336
0.0,2,0.113495
0.0,12,0.113914
0.0,15,0.114394
0.0,17,0.114964
0.0,4,0.115144
0.0,3,0.115294
0.0,15,0.115793
0.0,6,0.116037
1.0,21,0.116727
0.0,17,0.117286
0.0,7,0.117561
0.0,10,0.117916
0.0,8,0.118223
0.0,1,0.118314
0.0,2,0.118436
0.0,30,0.119368
0.0,4,0.11956
0.0,6,0.119796
1.0,25,0.120577
0.0,10,0.120936
0.0,1,0.121027
0.0,6,0.121261
0.0,3,0.121409
0.0,2,0.121538
1.0,20,0.122162
0.0,6,0.122402
0.0,20,0.123047
0.0,10,0.123393
1.0,35,0.124445
0.0,15,0.124952
0.0,9,0.125278
0.0,4,0.125457
0.0,10,0.125818
0.0,8,0.126127
0.0,16,0.126647
0.0,29,0.127535
0.0,2,0.127663
0.0,9,0.127982
0.0,25,0.128759
1.0,16,0.129323
0.0,1,0.129415
0.0,2,0.129549
0.0,16,0.13007
0.0,1,0.130165
0.0,10,0.130533
1.0,24,0.131278
0.0,12,0.13169
0.0,16,0.132211
1.0,19,0.132831
0.0,22,0.133527
1.0,27,0.134353
0.0,21,0.135028
0.0,10,0.13539
0.0,14,0.135862
0.0,3,0.136014
0.0,7,0.136275
0.0,8,0.136575
0.0,7,0.136843
0.0,3,0.137
0.0,17,0.137568
0.0,9,0.137889
0.0,3,0.138038
0.0,6,0.138278
0.0,28,0.13914
1.0,10,0.1395
0.0,4,0.139679
0.0,6,0.139913
0.0,9,0.140236
0.0,19,0.140852
0.0,8,0.141143
0.0,1,0.141239
0.0,12,0.141663
0.0,6,0.141917
0.0,1,0.142013
0.0,7,0.142277
0.0,10,0.142649
0.0,10,0.142996
0.0,2,0.143117
0.0,35,0.14417
0.0,28,0.145024
0.0,9,0.145354
0.0,1,0.145451
0.0,25,0.146222
1.0,17,0.146778
0.0,6,0.147012
0.0,25,0.147805
0.0,9,0.148132
0.0,8,0.148435
0.0,16,0.148973
0.0,2,0.149103
0.0,11,0.149505
0.0,1,0.149613
0.0,45,0.150978
1.0,14,0.151435
0.0,2,0.151571
0.0,6,0.151813
1.0,8,0.152102
1.0,14,0.152588
0.0,9,0.152918
0.0,10,0.153272
0.0,6,0.153521
0.0,19,0.154123
0.0,6,0.154367
0.0,1,0.154462
0.0,11,0.154859
0.0,16,0.155371
0.0,16,0.1559
0.0,6,0.156143
0.0,7,0.156406
0.0,7,0.156681
0.0,5,0.156889
0.0,14,0.15735
0.0,10,0.157716
0.0,1,0.157809
0.0,14,0.158261
0.0,3,0.15841
0.0,12,0.158823
1.0,13,0.159261
0.0,3,0.159417
0.0,5,0.159635
0.0,1,0.159727
0.0,12,0.160125
0.0,12,0.160544
0.0,11,0.160919
1.0,7,0.161189
0.0,15,0.161708
0.0,5,0.161918
0.0,19,0.162549
0.0,1,0.162646
1.0,6,0.162884
1.0,17,0.163424
0.0,9,0.16375
0.0,6,0.163982
0.0,14,0.164431
1.0,9,0.164755
0.0,20,0.16539
0.0,18,0.165978
0.0,3,0.166142
0.0,11,0.166536
0.0,16,0.167051
0.0,8,0.167341
0.0,3,0.167504
1.0,23,0.168213
0.0,20,0.168858
0.0,2,0.168982
1.0,13,0.169409
0.0,5,0.169629
0.0,16,0.17015
0.0,2,0.170277
0.0,15,0.170788
0.0,19,0.171389
0.0,10,0.171755
0.0,6,0.171992
0.0,5,0.172198
0.0,22,0.17289
0.0,9,0.173228
0.0,3,0.173384
0.0,1,0.173475
0.0,9,0.173802
0.0,6,0.174043
0.0,5,0.174258
0.0,3,0.174414
0.0,7,0.174699
0.0,1,0.174793
0.0,4,0.174977
1.0,33,0.175966
0.0,9,0.176281
0.0,56,0.177954
0.0,2,0.178079
0.0,20,0.178714
0.0,5,0.178933
0.0,16,0.179442
0.0,12,0.179855
0.0,8,0.180157
0.0,26,0.180958
0.0,19,0.181584
0.0,1,0.181678
0.0,12,0.182079
0.0,12,0.182495
0.0,50,0.183985
0.0,17,0.184537
0.0,17,0.185097
1.0,42,0.186334
1.0,29,0.187239
0.0,25,0.188037
0.0,2,0.188161
0.0,17,0.188726
0.0,9,0.189049
0.0,15,0.189552
0.0,10,0.189902
0.0,15,0.190396
0.0,62,0.192187
0.0,10,0.192559
0.0,1,0.192657
0.0,15,0.193147
1.0,35,0.194209
0.0,24,0.194962
1.0,13,0.195398
0.0,11,0.195799
1.0,27,0.196631
0.0,6,0.19687
0.0,12,0.197268
0.0,10,0.197637
0.0,1,0.197734
0.0,4,0.197921
0.0,17,0.198471
0.0,10,0.198849
0.0,17,0.199404
0.0,5,0.199626
0.0,15,0.200111
0.0,15,0.200644
0.0,4,0.200831
0.0,22,0.201542
0.0,2,0.201667
0.0,12,0.202065
1.0,7,0.202336
0.0,11,0.202728
0.0,15,0.203219
0.0,5,0.203437
1.0,24,0.204201
0.0,7,0.204463
0.0,14,0.204931
0.0,14,0.205393
0.0,3,0.20556
0.0,6,0.205799
0.0,45,0.207123
0.0,7,0.207453
0.0,28,0.208325
0.0,4,0.208521
0.0,1,0.208614
0.0,3,0.208771
0.0,12,0.209174
0.0,55,0.210776
0.0,8,0.21108
0.0,3,0.211236
0.0,20,0.211881
0.0,9,0.212205
1.0,10,0.21256
0.0,25,0.21333
0.0,29,0.21423
1.0,10,0.214596
0.0,5,0.214813
0.0,16,0.215347
0.0,6,0.215604
0.0,22,0.216292
0.0,8,0.216601
0.0,12,0.217006
0.0,28,0.217873
0.0,24,0.218631
1.0,8,0.218922
0.0,13,0.219382
0.0,16,0.219917
0.0,1,0.220014
0.0,8,0.220321
0.0,17,0.220886
1.0,9,0.221215
0.0,28,0.222084
0.0,16,0.222631
0.0,4,0.222812
0.0,2,0.222935
1.0,18,0.223531
0.0,1,0.223623
0.0,18,0.224192
0.0,3,0.224352
0.0,26,0.225159
0.0,2,0.225285
0.0,13,0.225736
0.0,21,0.226404
1.0,10,0.226758
0.0,19,0.227365
0.0,27,0.228197
1.0,18,0.228786
0.0,3,0.228937
0.0,1,0.229028
0.0,42,0.230281
0.0,19,0.23091
0.0,17,0.231451
0.0,5,0.231676
0.0,2,0.231799
0.0,3,0.231954
0.0,33,0.232965
0.0,49,0.234419
0.0,6,0.234674
0.0,8,0.234964
0.0,2,0.23509
0.0,20,0.235731
0.0,4,0.235918
0.0,14,0.236378
0.0,26,0.237195
0.0,31,0.238128
0.0,16,0.238656
0.0,12,0.239063
0.0,10,0.239404
0.0,10,0.239756
0.0,34,0.240794
0.0,9,0.241121
0.0,2,0.241242
0.0,29,0.242137
0.0,10,0.242497
0.0,21,0.243146
0.0,8,0.243448
0.0,10,0.243819
0.0,8,0.24411
0.0,19,0.244727
0.0,2,0.244856
0.0,14,0.245324
0.0,34,0.246347
0.0,24,0.247137
0.0,10,0.247495
0.0,13,0.247921
1.0,8,0.248209
0.0,38,0.249352
0.0,17,0.249937
1.0,9,0.250266
0.0,5,0.250478
0.0,20,0.25113
0.0,4,0.251312
0.0,23,0.252035
0.0,6,0.252269
0.0,26,0.253078
0.0,16,0.253618
0.0,16,0.25414
0.0,7,0.254402
1.0,24,0.255156
1.0,19,0.255783
0.0,20,0.256406
0.0,3,0.256574
0.0,39,0.25774
0.0,28,0.258585
0.0,11,0.258963
0.0,29,0.25986
0.0,6,0.260096
0.0,18,0.260711
0.0,24,0.261457
0.0,1,0.261571
0.0,11,0.261974
0.0,15,0.262456
0.0,2,0.262629
1.0,9,0.262949
0.0,18,0.263534
0.0,12,0.263951
0.0,19,0.264576
0.0,1,0.264674
0.0,7,0.264944
0.0,18,0.265529
0.0,6,0.265772
0.0,7,0.266037
0.0,24,0.266792
0.0,14,0.267262
