#{"t_start": 1522146326.5720844, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,3,0.008059
0.0,3,0.008217
0.0,3,0.008354
0.0,6,0.008565
0.0,11,0.008887
0.0,18,0.009356
0.0,3,0.009494
0.0,10,0.009802
0.0,23,0.010395
0.0,4,0.010548
0.0,7,0.010786
0.0,72,0.01246
0.0,10,0.012762
0.0,7,0.012981
0.0,62,0.014423
0.0,26,0.01508
0.0,10,0.015365
0.0,5,0.015535
0.0,5,0.015706
0.0,14,0.016088
0.0,42,0.017091
0.0,15,0.017491
0.0,4,0.017645
0.0,15,0.018046
0.0,4,0.018197
0.0,6,0.018395
0.0,9,0.018667
0.0,2,0.018782
0.0,4,0.018933
0.0,10,0.019215
0.0,9,0.019474
0.0,2,0.019575
0.0,4,0.019732
0.0,3,0.019864
0.0,10,0.020153
0.0,6,0.020352
0.0,20,0.020885
0.0,16,0.021312
0.0,11,0.021626
0.0,10,0.021925
0.0,8,0.02217
0.0,50,0.023354
0.0,23,0.023949
0.0,10,0.024244
0.0,1,0.024323
0.0,3,0.024449
0.0,3,0.024579
0.0,17,0.025026
0.0,9,0.025291
0.0,3,0.025418
0.0,11,0.025733
0.0,10,0.026028
0.0,5,0.026203
0.0,31,0.026963
0.0,12,0.027288
0.0,4,0.027435
0.0,19,0.027935
0.0,14,0.028306
0.0,12,0.02863
0.0,28,0.029329
0.0,8,0.029571
0.0,1,0.029653
1.0,21,0.030199
0.0,10,0.030484
0.0,8,0.030728
0.0,9,0.030996
0.0,14,0.031373
0.0,4,0.031527
0.0,18,0.032003
0.0,8,0.03225
0.0,6,0.032445
0.0,3,0.032576
0.0,17,0.033035
0.0,2,0.033149
0.0,6,0.033344
0.0,7,0.033565
0.0,31,0.034326
0.0,4,0.034475
0.0,56,0.035799
0.0,9,0.036058
0.0,1,0.036134
0.0,1,0.036211
1.0,11,0.03652
0.0,9,0.03679
0.0,8,0.037027
0.0,12,0.037355
0.0,13,0.037712
1.0,19,0.0382
0.0,10,0.038486
0.0,18,0.038963
0.0,35,0.0398
1.0,30,0.040522
1.0,10,0.04082
0.0,1,0.040899
0.0,1,0.040977
0.0,1,0.041054
0.0,8,0.04129
1.0,43,0.042314
0.0,8,0.042564
0.0,11,0.042891
0.0,2,0.043
0.0,1,0.043082
0.0,43,0.044129
1.0,13,0.044478
0.0,5,0.044657
0.0,8,0.044904
1.0,24,0.0455
0.0,3,0.045633
0.0,17,0.046101
0.0,9,0.046366
0.0,26,0.047025
0.0,14,0.047399
0.0,14,0.047784
0.0,7,0.048006
0.0,7,0.048226
0.0,40,0.049186
0.0,11,0.049494
0.0,7,0.049722
0.0,19,0.050212
0.0,8,0.050459
0.0,9,0.050732
0.0,1,0.050816
0.0,9,0.051079
0.0,11,0.051394
0.0,10,0.051682
0.0,4,0.05184
0.0,18,0.052314
0.0,8,0.052563
0.0,4,0.052711
0.0,56,0.054028
0.0,13,0.054389
0.0,2,0.054493
0.0,8,0.054756
0.0,2,0.054865
1.0,31,0.055619
0.0,10,0.055918
0.0,5,0.05609
0.0,23,0.056673
0.0,6,0.056874
0.0,9,0.057139
0.0,4,0.057293
0.0,7,0.057513
0.0,21,0.058061
0.0,4,0.058213
0.0,3,0.058344
0.0,3,0.05847
0.0,3,0.058599
0.0,2,0.058706
0.0,13,0.059076
0.0,10,0.059376
0.0,1,0.059455
0.0,20,0.059963
0.0,22,0.060513
0.0,4,0.060665
0.0,8,0.060913
0.0,17,0.061354
0.0,11,0.061656
0.0,1,0.061742
0.0,4,0.061891
0.0,1,0.061968
0.0,9,0.062227
1.0,23,0.062819
0.0,1,0.062903
0.0,4,0.063057
0.0,1,0.063135
0.0,5,0.063307
0.0,4,0.063464
0.0,22,0.064034
0.0,10,0.06432
0.0,20,0.064841
0.0,9,0.065108
0.0,1,0.06519
0.0,12,0.065517
0.0,17,0.065964
0.0,2,0.066071
0.0,17,0.066507
0.0,17,0.066969
0.0,17,0.067423
0.0,3,0.067554
0.0,8,0.067805
0.0,7,0.068022
0.0,23,0.068594
0.0,3,0.06873
0.0,14,0.069106
1.0,37,0.069996
1.0,21,0.070525
0.0,4,0.070683
0.0,6,0.070884
0.0,1,0.070968
0.0,10,0.071262
0.0,36,0.072138
0.0,12,0.072463
0.0,9,0.07274
0.0,3,0.072874
0.0,21,0.073415
0.0,5,0.073586
0.0,19,0.074084
0.0,9,0.074352
0.0,12,0.074681
0.0,11,0.075001
0.0,8,0.075255
0.0,3,0.07538
0.0,5,0.075559
0.0,9,0.075838
0.0,14,0.076208
0.0,7,0.076421
0.0,11,0.076741
1.0,20,0.077254
0.0,7,0.077473
0.0,5,0.077643
0.0,5,0.077827
0.0,70,0.079462
0.0,10,0.079771
0.0,8,0.080013
0.0,16,0.08043
0.0,16,0.080866
0.0,5,0.081048
0.0,7,0.081264
0.0,7,0.081475
0.0,9,0.081744
0.0,1,0.081823
0.0,4,0.081971
0.0,11,0.082284
0.0,3,0.082408
0.0,1,0.082485
0.0,4,0.082631
0.0,7,0.082869
0.0,1,0.082948
0.0,7,0.08317
0.0,12,0.08351
0.0,2,0.083617
0.0,47,0.084743
0.0,7,0.08496
0.0,8,0.0852
0.0,19,0.085698
1.0,26,0.086342
0.0,7,0.086561
0.0,23,0.087142
1.0,24,0.087747
0.0,3,0.087878
1.0,11,0.088198
1.0,17,0.088638
0.0,5,0.088819
0.0,18,0.089283
1.0,17,0.089741
1.0,16,0.090156
1.0,19,0.090647
0.0,27,0.091326
0.0,3,0.091459
0.0,1,0.091538
0.0,13,0.091895
0.0,8,0.092135
0.0,5,0.092312
0.0,6,0.092509
0.0,10,0.092802
0.0,4,0.092957
0.0,1,0.093035
0.0,9,0.093301
0.0,12,0.093639
0.0,2,0.093757
1.0,7,0.093976
0.0,6,0.094177
0.0,3,0.094304
0.0,11,0.094618
0.0,3,0.094755
0.0,13,0.095109
0.0,11,0.095418
0.0,9,0.095676
0.0,4,0.095832
0.0,4,0.095987
0.0,21,0.096525
0.0,31,0.097285
0.0,1,0.097368
0.0,6,0.09757
1.0,12,0.097914
0.0,23,0.098497
0.0,3,0.098625
