#{"t_start": 1522145172.3986485, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,1,0.005105
0.0,6,0.005359
0.0,5,0.00554
0.0,2,0.005654
0.0,3,0.005793
0.0,11,0.006153
0.0,8,0.006405
0.0,5,0.006585
0.0,15,0.006991
0.0,13,0.007355
0.0,11,0.007667
0.0,42,0.008666
0.0,11,0.008991
0.0,5,0.009165
0.0,3,0.009298
0.0,10,0.00958
0.0,7,0.009804
0.0,20,0.010337
0.0,7,0.010563
0.0,6,0.010757
0.0,7,0.010988
0.0,3,0.011116
0.0,7,0.011339
0.0,4,0.011496
0.0,4,0.011645
1.0,15,0.012054
0.0,1,0.012135
0.0,4,0.012285
0.0,2,0.012389
0.0,28,0.013092
0.0,9,0.013368
0.0,4,0.013519
0.0,5,0.013699
0.0,14,0.014104
0.0,2,0.014211
0.0,8,0.014455
0.0,4,0.014613
0.0,17,0.015071
0.0,2,0.015179
0.0,9,0.015455
0.0,2,0.015561
0.0,4,0.015711
0.0,4,0.015868
0.0,2,0.015981
0.0,3,0.016119
0.0,10,0.016415
0.0,28,0.017131
0.0,24,0.017758
0.0,33,0.018575
1.0,9,0.018846
0.0,17,0.019314
0.0,6,0.01951
0.0,8,0.019747
0.0,11,0.020061
0.0,2,0.020166
0.0,2,0.02027
0.0,9,0.02053
0.0,7,0.02075
0.0,4,0.020913
0.0,11,0.021241
0.0,18,0.021721
0.0,7,0.02195
0.0,1,0.022033
0.0,8,0.02228
0.0,7,0.022494
1.0,32,0.023285
0.0,16,0.023699
0.0,12,0.024044
0.0,3,0.024171
0.0,1,0.024255
0.0,7,0.02448
0.0,28,0.025195
0.0,15,0.025598
0.0,1,0.025686
0.0,4,0.025844
0.0,16,0.026284
0.0,19,0.026781
0.0,3,0.026931
0.0,15,0.027344
0.0,7,0.027568
0.0,21,0.028109
0.0,3,0.028238
0.0,2,0.028347
0.0,16,0.028775
0.0,25,0.029405
0.0,11,0.029711
0.0,5,0.029903
0.0,7,0.030121
0.0,5,0.030306
0.0,1,0.030389
0.0,20,0.030933
0.0,5,0.031108
0.0,5,0.031287
0.0,13,0.031642
0.0,11,0.031969
0.0,3,0.032098
0.0,12,0.032439
0.0,1,0.032519
0.0,2,0.032623
0.0,17,0.033067
0.0,8,0.033314
0.0,10,0.033604
0.0,5,0.033785
0.0,11,0.034125
0.0,13,0.034488
0.0,6,0.034683
0.0,7,0.034913
0.0,36,0.03578
0.0,8,0.036028
0.0,2,0.036133
0.0,1,0.036211
0.0,5,0.036392
0.0,5,0.036563
0.0,6,0.036763
0.0,4,0.036932
0.0,5,0.037104
0.0,4,0.037253
0.0,8,0.037489
0.0,12,0.037829
0.0,5,0.038017
0.0,1,0.038097
0.0,1,0.038175
0.0,4,0.038325
0.0,53,0.039611
0.0,6,0.039806
0.0,3,0.039941
0.0,6,0.040135
0.0,15,0.040536
0.0,12,0.04087
0.0,15,0.041262
0.0,1,0.041339
0.0,4,0.04149
0.0,15,0.041914
0.0,8,0.042155
0.0,12,0.042482
0.0,9,0.04275
0.0,4,0.042911
0.0,4,0.043069
0.0,2,0.043181
0.0,38,0.044088
0.0,5,0.044275
0.0,3,0.044403
0.0,2,0.044513
0.0,15,0.044931
0.0,9,0.045202
0.0,4,0.045352
0.0,16,0.045776
0.0,7,0.046011
0.0,30,0.046805
