#{"t_start": 1522145117.977025, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,17,0.006013
0.0,6,0.006225
0.0,11,0.006599
0.0,21,0.007121
0.0,2,0.007239
0.0,11,0.00757
0.0,11,0.007884
0.0,2,0.007996
0.0,14,0.008369
0.0,6,0.008573
0.0,8,0.008821
0.0,13,0.009183
0.0,6,0.009384
0.0,6,0.009593
0.0,30,0.010308
0.0,13,0.010663
0.0,25,0.011266
0.0,17,0.011704
0.0,17,0.012141
0.0,42,0.013144
0.0,22,0.013695
1.0,30,0.014408
0.0,14,0.014784
0.0,13,0.015132
0.0,37,0.016029
0.0,3,0.016172
1.0,19,0.016676
0.0,10,0.016967
0.0,21,0.017519
1.0,18,0.017972
0.0,7,0.018189
1.0,7,0.018404
0.0,11,0.018722
0.0,27,0.01939
0.0,2,0.01951
0.0,9,0.019769
0.0,26,0.020403
1.0,43,0.021405
0.0,20,0.021918
1.0,11,0.022219
1.0,9,0.022492
0.0,13,0.02284
0.0,10,0.023128
1.0,11,0.02343
0.0,7,0.023694
1.0,19,0.024172
0.0,9,0.024462
0.0,32,0.025243
0.0,14,0.02564
0.0,4,0.025796
0.0,6,0.025992
0.0,14,0.026373
0.0,22,0.026953
0.0,45,0.02802
0.0,1,0.028107
0.0,7,0.028332
0.0,6,0.028549
0.0,16,0.028969
0.0,16,0.029375
0.0,6,0.02958
0.0,3,0.029709
1.0,39,0.030623
1.0,14,0.030995
1.0,26,0.031637
1.0,18,0.032094
0.0,9,0.032356
0.0,17,0.032812
1.0,11,0.033122
0.0,15,0.033525
0.0,7,0.033754
0.0,6,0.033955
1.0,13,0.034299
1.0,20,0.034841
0.0,4,0.034999
0.0,22,0.03555
0.0,19,0.036045
1.0,22,0.036606
0.0,46,0.037688
0.0,2,0.037797
1.0,24,0.038386
0.0,20,0.038903
0.0,24,0.039507
0.0,26,0.040136
1.0,9,0.040395
0.0,2,0.040514
0.0,9,0.040785
0.0,35,0.041621
1.0,36,0.042479
1.0,25,0.043109
0.0,18,0.043577
1.0,18,0.044034
0.0,3,0.04417
0.0,2,0.04428
0.0,1,0.044365
0.0,16,0.044787
1.0,28,0.045472
0.0,53,0.04669
0.0,9,0.046962
0.0,10,0.047246
0.0,8,0.047505
0.0,2,0.047617
0.0,4,0.047774
0.0,2,0.047879
1.0,41,0.04886
1.0,21,0.049401
0.0,9,0.049665
0.0,16,0.050075
0.0,14,0.050459
0.0,9,0.050724
0.0,3,0.050857
0.0,9,0.051124
0.0,8,0.051364
0.0,2,0.05148
0.0,58,0.052793
0.0,15,0.053195
0.0,16,0.053615
0.0,4,0.053768
0.0,19,0.054253
0.0,1,0.054334
0.0,2,0.054452
0.0,7,0.05468
0.0,13,0.055043
0.0,12,0.055372
0.0,2,0.055491
0.0,23,0.056069
0.0,9,0.056332
0.0,40,0.057265
1.0,27,0.057936
0.0,2,0.058044
0.0,4,0.058202
0.0,14,0.058604
0.0,8,0.058843
0.0,36,0.059712
1.0,15,0.060108
0.0,3,0.06024
1.0,19,0.060733
0.0,47,0.06181
1.0,19,0.062292
1.0,26,0.062946
1.0,35,0.063784
1.0,16,0.064207
1.0,10,0.064495
0.0,9,0.06476
0.0,28,0.065424
0.0,6,0.06564
0.0,11,0.065954
0.0,13,0.066298
0.0,16,0.066725
0.0,16,0.06714
1.0,8,0.067386
0.0,71,0.069077
0.0,31,0.069833
0.0,13,0.070183
0.0,23,0.070769
1.0,13,0.071134
0.0,9,0.0714
0.0,32,0.072193
1.0,17,0.072658
0.0,5,0.072831
1.0,9,0.073088
1.0,15,0.07349
1.0,18,0.073947
0.0,7,0.074161
1.0,19,0.074653
0.0,27,0.075311
0.0,8,0.075572
0.0,5,0.075753
0.0,11,0.076056
