#{"t_start": 1522146431.599524, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,4,0.008753
0.0,9,0.009382
0.0,8,0.009897
0.0,14,0.010719
0.0,4,0.011049
0.0,25,0.012387
0.0,8,0.012889
0.0,3,0.013174
0.0,29,0.014666
0.0,20,0.015759
0.0,6,0.01621
0.0,12,0.016906
0.0,5,0.017288
0.0,15,0.018151
0.0,2,0.018375
0.0,8,0.018872
0.0,18,0.019841
0.0,9,0.020398
0.0,14,0.021173
0.0,3,0.021425
0.0,8,0.021939
0.0,6,0.022355
0.0,14,0.023158
0.0,1,0.023315
0.0,4,0.023617
0.0,12,0.024313
0.0,4,0.024623
0.0,12,0.025312
0.0,8,0.025815
0.0,6,0.026248
0.0,26,0.027507
0.0,14,0.02825
0.0,12,0.028878
0.0,4,0.029189
0.0,7,0.029619
0.0,13,0.030317
0.0,15,0.031115
0.0,7,0.031535
0.0,15,0.032333
0.0,7,0.032764
0.0,4,0.033077
0.0,5,0.033422
1.0,11,0.034039
0.0,11,0.034643
0.0,8,0.035116
0.0,11,0.035719
0.0,6,0.03612
0.0,6,0.036495
0.0,7,0.036897
0.0,7,0.037303
0.0,23,0.038358
0.0,19,0.039277
0.0,21,0.04029
0.0,3,0.04052
0.0,11,0.041102
0.0,11,0.041675
0.0,4,0.041943
0.0,6,0.042301
0.0,3,0.042539
0.0,4,0.042818
0.0,1,0.042963
0.0,1,0.043115
0.0,16,0.043904
0.0,15,0.044645
0.0,25,0.045789
0.0,9,0.046296
1.0,23,0.047308
0.0,13,0.047942
0.0,1,0.04809
0.0,10,0.048582
0.0,9,0.049048
0.0,12,0.049642
0.0,23,0.050652
0.0,26,0.051799
0.0,14,0.052478
0.0,8,0.052911
0.0,9,0.053389
0.0,1,0.053522
1.0,14,0.05419
0.0,12,0.054752
0.0,5,0.055058
0.0,11,0.055598
0.0,9,0.056073
0.0,11,0.056588
0.0,6,0.056917
0.0,6,0.057255
0.0,9,0.057688
0.0,4,0.057947
0.0,14,0.058576
0.0,8,0.058987
0.0,6,0.059323
0.0,10,0.059819
0.0,4,0.060073
0.0,6,0.060399
1.0,19,0.061213
0.0,3,0.061417
0.0,2,0.061589
0.0,12,0.062157
0.0,12,0.062698
0.0,3,0.062901
0.0,15,0.063557
0.0,3,0.063776
0.0,1,0.063899
0.0,28,0.065044
0.0,2,0.065221
0.0,1,0.065345
0.0,6,0.06567
0.0,11,0.066195
0.0,7,0.06656
0.0,9,0.066976
0.0,6,0.067287
0.0,1,0.06741
0.0,21,0.068265
0.0,4,0.068504
0.0,21,0.069346
0.0,6,0.06966
0.0,7,0.070014
0.0,4,0.070254
0.0,10,0.0707
0.0,7,0.071043
0.0,8,0.071429
0.0,12,0.071942
0.0,15,0.07258
0.0,6,0.07288
0.0,1,0.072996
0.0,33,0.074272
0.0,4,0.0745
0.0,2,0.074668
0.0,6,0.074978
0.0,4,0.075227
0.0,1,0.075344
0.0,8,0.075724
0.0,15,0.076375
0.0,26,0.077349
0.0,3,0.077537
0.0,4,0.07776
0.0,7,0.078091
0.0,8,0.078441
0.0,10,0.078876
0.0,6,0.079174
0.0,11,0.079617
0.0,23,0.080473
0.0,4,0.080701
0.0,9,0.081105
0.0,10,0.081532
0.0,1,0.081645
0.0,1,0.081763
0.0,3,0.081956
0.0,8,0.082332
0.0,4,0.082561
0.0,4,0.082788
0.0,19,0.083527
0.0,14,0.084112
0.0,17,0.084757
0.0,4,0.084974
0.0,6,0.085269
0.0,31,0.08641
0.0,6,0.086689
0.0,4,0.086899
0.0,16,0.087508
0.0,2,0.087662
0.0,1,0.087776
0.0,21,0.08856
0.0,6,0.088837
0.0,3,0.089032
0.0,6,0.089306
0.0,1,0.089418
0.0,7,0.08974
0.0,2,0.089883
0.0,16,0.090475
0.0,2,0.090626
0.0,7,0.09093
0.0,29,0.091934
0.0,12,0.092428
0.0,6,0.092704
0.0,4,0.092909
0.0,8,0.093251
0.0,17,0.093875
0.0,8,0.094221
0.0,16,0.094802
0.0,4,0.095015
0.0,10,0.095422
0.0,6,0.095702
0.0,8,0.096052
0.0,7,0.096365
0.0,7,0.096658
0.0,9,0.097018
0.0,5,0.097253
0.0,9,0.097614
0.0,1,0.097718
0.0,6,0.09798
0.0,12,0.098445
0.0,6,0.098709
0.0,8,0.099056
0.0,12,0.099499
0.0,7,0.099799
0.0,5,0.10004
0.0,21,0.100757
0.0,1,0.100867
0.0,2,0.101022
0.0,27,0.101969
0.0,3,0.10216
0.0,21,0.102912
0.0,2,0.103072
0.0,9,0.103441
0.0,4,0.103643
0.0,8,0.10398
0.0,5,0.104232
0.0,3,0.104413
0.0,2,0.104557
0.0,8,0.104888
0.0,31,0.105906
0.0,14,0.106431
0.0,3,0.106616
0.0,4,0.10681
0.0,4,0.107001
0.0,26,0.107852
0.0,11,0.108255
0.0,4,0.108447
0.0,10,0.108893
0.0,5,0.109133
0.0,11,0.109543
0.0,11,0.109957
0.0,13,0.110434
0.0,8,0.110754
0.0,2,0.110887
0.0,6,0.111149
0.0,7,0.111429
0.0,3,0.11159
0.0,6,0.11184
0.0,22,0.112586
0.0,8,0.112898
0.0,24,0.113678
0.0,27,0.114549
0.0,11,0.114948
0.0,8,0.115266
0.0,4,0.115465
0.0,17,0.116045
0.0,7,0.116341
0.0,33,0.11737
0.0,6,0.117614
0.0,14,0.11811
0.0,7,0.118392
0.0,3,0.118549
0.0,6,0.118805
0.0,7,0.119099
0.0,4,0.119287
0.0,6,0.119529
0.0,11,0.119917
0.0,5,0.120165
0.0,3,0.120326
0.0,6,0.120567
0.0,3,0.120721
0.0,4,0.120904
0.0,5,0.121129
0.0,4,0.121314
0.0,10,0.121671
0.0,7,0.121941
0.0,5,0.12217
0.0,3,0.122334
0.0,8,0.122638
0.0,5,0.122859
0.0,11,0.123249
0.0,19,0.123878
0.0,3,0.124049
0.0,7,0.124317
0.0,17,0.124871
0.0,3,0.125038
0.0,6,0.125292
0.0,13,0.125725
0.0,7,0.125994
0.0,7,0.126287
0.0,2,0.126415
0.0,3,0.126553
0.0,9,0.12682
0.0,5,0.126997
0.0,31,0.127771
0.0,9,0.12805
0.0,5,0.128228
0.0,8,0.128471
0.0,6,0.128666
0.0,6,0.128859
0.0,27,0.129543
0.0,4,0.129692
0.0,15,0.130095
0.0,6,0.130296
0.0,3,0.130424
0.0,9,0.130691
0.0,10,0.13098
0.0,1,0.131066
0.0,12,0.131395
0.0,8,0.131638
0.0,9,0.131897
0.0,11,0.132222
0.0,9,0.132485
0.0,11,0.132786
0.0,1,0.132869
0.0,15,0.133294
0.0,21,0.133839
0.0,6,0.134043
0.0,31,0.134813
0.0,10,0.135118
0.0,8,0.135369
0.0,7,0.135592
0.0,6,0.135787
0.0,1,0.135869
0.0,1,0.135948
0.0,31,0.136732
0.0,1,0.136814
0.0,43,0.137861
0.0,2,0.137977
0.0,22,0.138552
0.0,8,0.138793
0.0,1,0.138871
0.0,4,0.139035
0.0,8,0.139291
0.0,13,0.139647
0.0,3,0.139778
0.0,1,0.139861
0.0,5,0.140053
0.0,2,0.140164
0.0,5,0.140344
0.0,2,0.140448
0.0,3,0.140573
0.0,3,0.140697
0.0,5,0.140868
0.0,9,0.141145
0.0,12,0.141487
0.0,23,0.142065
0.0,25,0.142702
0.0,7,0.142917
0.0,7,0.143143
0.0,1,0.143221
0.0,24,0.143828
0.0,3,0.143962
0.0,3,0.144096
