#{"t_start": 1522144682.9416623, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,6,0.005126
0.0,9,0.005414
0.0,7,0.005637
0.0,14,0.006027
0.0,15,0.006421
0.0,4,0.006579
0.0,11,0.006901
0.0,12,0.007235
0.0,6,0.007428
0.0,17,0.007874
0.0,44,0.008921
0.0,36,0.009783
0.0,2,0.009907
0.0,12,0.010247
0.0,17,0.010686
0.0,14,0.01108
0.0,17,0.011524
0.0,26,0.012161
0.0,30,0.012946
0.0,16,0.013379
0.0,8,0.013628
0.0,10,0.013928
0.0,7,0.014147
0.0,6,0.014338
0.0,3,0.014471
1.0,16,0.014897
0.0,7,0.015117
0.0,46,0.016322
0.0,4,0.016481
0.0,5,0.016662
0.0,39,0.017599
0.0,16,0.018036
0.0,19,0.018511
1.0,17,0.018955
0.0,14,0.019337
0.0,18,0.01979
0.0,8,0.020046
0.0,12,0.020378
0.0,36,0.021245
0.0,16,0.021669
0.0,21,0.022196
0.0,8,0.022448
0.0,23,0.023033
0.0,12,0.02337
0.0,8,0.02362
0.0,11,0.023937
1.0,23,0.024495
0.0,36,0.025328
0.0,29,0.026049
0.0,20,0.026542
0.0,13,0.02689
0.0,19,0.027371
0.0,2,0.027482
1.0,16,0.027905
1.0,11,0.02822
1.0,14,0.028588
1.0,16,0.02901
0.0,14,0.029379
1.0,16,0.029798
0.0,10,0.030097
0.0,24,0.030684
0.0,12,0.031027
0.0,18,0.031485
0.0,20,0.032006
0.0,11,0.032307
0.0,5,0.032479
0.0,3,0.032606
0.0,11,0.03292
0.0,8,0.033156
0.0,27,0.033813
0.0,2,0.033923
0.0,5,0.0341
0.0,6,0.034295
0.0,7,0.034521
0.0,5,0.034698
0.0,8,0.034947
1.0,9,0.035211
0.0,1,0.035291
0.0,8,0.035536
1.0,28,0.036229
0.0,8,0.036467
1.0,9,0.036721
0.0,23,0.037283
0.0,8,0.037521
0.0,4,0.037675
0.0,3,0.037822
0.0,12,0.038149
0.0,2,0.038259
0.0,40,0.039201
0.0,11,0.039514
0.0,2,0.039618
0.0,10,0.039922
0.0,10,0.040202
1.0,17,0.04064
0.0,11,0.040955
0.0,23,0.041517
0.0,10,0.041798
0.0,9,0.042062
0.0,7,0.042274
0.0,1,0.042352
1.0,26,0.043014
0.0,3,0.043149
0.0,12,0.043481
0.0,11,0.043781
0.0,11,0.04409
0.0,4,0.044247
0.0,1,0.044328
0.0,9,0.04459
0.0,6,0.044788
0.0,36,0.04564
0.0,2,0.045747
0.0,20,0.046266
0.0,3,0.046402
0.0,7,0.046616
1.0,24,0.047221
0.0,10,0.047513
0.0,9,0.047773
0.0,15,0.048172
0.0,11,0.048472
0.0,5,0.048642
0.0,8,0.048888
0.0,1,0.048973
0.0,12,0.049296
0.0,13,0.049647
0.0,11,0.049965
1.0,44,0.050996
0.0,2,0.051103
0.0,2,0.051211
0.0,11,0.051507
0.0,2,0.051617
0.0,25,0.052236
0.0,9,0.05251
0.0,21,0.053054
0.0,9,0.053321
0.0,2,0.053427
0.0,11,0.053737
0.0,10,0.054029
0.0,10,0.054318
0.0,3,0.054446
0.0,3,0.054584
0.0,13,0.05495
0.0,8,0.055193
0.0,13,0.055552
0.0,14,0.055943
1.0,14,0.056321
0.0,14,0.056683
0.0,19,0.05718
0.0,13,0.057523
0.0,7,0.057751
0.0,1,0.057845
0.0,21,0.058367
0.0,14,0.058747
0.0,1,0.058841
0.0,8,0.059089
0.0,4,0.059239
0.0,2,0.059348
0.0,3,0.059476
0.0,13,0.05983
0.0,9,0.060099
0.0,7,0.060327
1.0,29,0.061018
0.0,21,0.061532
0.0,8,0.06178
0.0,4,0.061967
0.0,9,0.062225
0.0,12,0.062553
0.0,16,0.062993
0.0,13,0.063343
0.0,3,0.063476
0.0,12,0.063812
0.0,46,0.064889
0.0,4,0.065048
0.0,7,0.065263
0.0,1,0.065347
0.0,7,0.065568
0.0,19,0.066055
0.0,19,0.066546
0.0,11,0.066864
0.0,1,0.066946
1.0,13,0.067299
0.0,9,0.067564
0.0,5,0.067734
0.0,14,0.068105
0.0,9,0.068361
0.0,10,0.068645
1.0,15,0.069039
0.0,45,0.070146
0.0,14,0.070523
0.0,6,0.070717
0.0,26,0.071353
0.0,18,0.071826
0.0,6,0.072029
0.0,7,0.07225
0.0,4,0.0724
0.0,53,0.073605
0.0,18,0.074064
0.0,6,0.074258
0.0,8,0.0745
0.0,9,0.074754
0.0,13,0.075114
0.0,4,0.075269
0.0,13,0.075619
0.0,2,0.075729
0.0,62,0.077149
0.0,1,0.077233
0.0,3,0.077368
0.0,4,0.077522
0.0,9,0.077787
0.0,7,0.078024
0.0,2,0.078135
0.0,6,0.078339
0.0,6,0.078538
0.0,30,0.079287
0.0,13,0.079633
0.0,5,0.079812
0.0,15,0.080212
0.0,8,0.080463
0.0,2,0.080573
0.0,6,0.080766
0.0,28,0.081428
0.0,45,0.082492
0.0,10,0.082786
0.0,23,0.083353
0.0,22,0.083914
0.0,13,0.084276
0.0,10,0.084557
0.0,3,0.08469
0.0,5,0.08488
0.0,19,0.085365
0.0,10,0.085644
0.0,10,0.085941
0.0,6,0.08614
0.0,3,0.086269
0.0,2,0.086374
0.0,8,0.086617
0.0,11,0.086946
0.0,16,0.087357
0.0,9,0.087624
0.0,13,0.087988
0.0,20,0.088489
0.0,5,0.088666
0.0,26,0.089317
0.0,1,0.089399
0.0,24,0.089991
0.0,26,0.090614
0.0,7,0.090844
0.0,1,0.090933
0.0,7,0.091156
0.0,25,0.091754
0.0,52,0.092953
1.0,81,0.094762
0.0,2,0.094884
1.0,38,0.095763
0.0,53,0.096977
0.0,5,0.097157
0.0,15,0.097538
0.0,5,0.097713
0.0,28,0.098402
0.0,9,0.098682
0.0,4,0.098848
0.0,13,0.099193
0.0,1,0.099277
0.0,8,0.099515
0.0,1,0.099594
0.0,8,0.099847
0.0,6,0.100055
0.0,27,0.100713
0.0,13,0.101084
0.0,5,0.101258
0.0,4,0.101407
0.0,17,0.101854
0.0,2,0.101966
0.0,13,0.102315
0.0,30,0.103046
0.0,23,0.103605
0.0,14,0.103989
0.0,11,0.104307
0.0,14,0.104669
0.0,11,0.10499
0.0,7,0.105272
0.0,19,0.105767
0.0,16,0.106199
0.0,17,0.106643
0.0,3,0.106772
0.0,26,0.107395
0.0,2,0.107499
0.0,9,0.107761
0.0,5,0.107942
0.0,35,0.108767
0.0,18,0.109227
0.0,22,0.109752
0.0,12,0.110091
0.0,6,0.110284
0.0,1,0.110362
0.0,17,0.110797
0.0,9,0.111072
0.0,3,0.1112
0.0,10,0.111484
0.0,12,0.111814
0.0,23,0.11239
0.0,23,0.112968
0.0,26,0.113599
0.0,8,0.113845
0.0,1,0.113925
0.0,5,0.114096
0.0,5,0.114267
0.0,24,0.114875
0.0,4,0.115026
0.0,1,0.115105
1.0,13,0.115467
0.0,1,0.115549
0.0,24,0.116149
0.0,7,0.116365
0.0,3,0.116491
0.0,7,0.116706
0.0,100,0.118951
0.0,16,0.119365
0.0,2,0.119479
0.0,4,0.119634
0.0,10,0.119941
0.0,10,0.120227
0.0,8,0.120468
0.0,5,0.120637
0.0,12,0.120977
0.0,5,0.121154
0.0,4,0.121301
0.0,3,0.121426
0.0,7,0.121639
0.0,8,0.121891
0.0,13,0.122243
0.0,2,0.122354
0.0,1,0.122433
0.0,2,0.122541
1.0,11,0.122873
0.0,2,0.122979
0.0,13,0.123324
0.0,12,0.123661
1.0,51,0.124824
1.0,16,0.125229
0.0,11,0.12553
0.0,25,0.126155
0.0,22,0.126693
0.0,3,0.126831
1.0,23,0.127404
0.0,20,0.127911
0.0,15,0.128309
0.0,14,0.128688
0.0,5,0.128876
0.0,10,0.129153
0.0,5,0.129322
1.0,16,0.12974
0.0,16,0.130172
0.0,4,0.130322
0.0,1,0.130401
0.0,2,0.130504
0.0,13,0.130863
0.0,17,0.131297
0.0,12,0.13163
0.0,31,0.132383
0.0,11,0.132692
0.0,5,0.132875
0.0,13,0.133238
0.0,26,0.133876
0.0,10,0.134165
0.0,30,0.134879
0.0,11,0.13518
0.0,4,0.135336
0.0,17,0.135777
0.0,8,0.136032
0.0,29,0.136716
0.0,12,0.137053
0.0,7,0.137266
0.0,7,0.137485
0.0,1,0.137569
0.0,16,0.137986
0.0,30,0.13869
0.0,9,0.138956
0.0,13,0.139308
0.0,5,0.139487
0.0,2,0.139597
0.0,5,0.139773
0.0,3,0.13991
0.0,19,0.140375
0.0,17,0.140793
0.0,21,0.141322
0.0,5,0.14149
0.0,7,0.1417
0.0,27,0.142354
0.0,11,0.142651
0.0,5,0.142832
0.0,18,0.143275
0.0,5,0.143443
1.0,16,0.143866
0.0,8,0.144102
0.0,4,0.14425
0.0,8,0.144491
0.0,6,0.144682
0.0,31,0.145411
0.0,24,0.145991
0.0,33,0.14676
0.0,9,0.147032
0.0,32,0.147782
0.0,33,0.148555
0.0,30,0.1493
0.0,12,0.149632
0.0,1,0.149713
0.0,2,0.149841
0.0,13,0.150203
0.0,31,0.150957
0.0,12,0.151284
0.0,4,0.151437
0.0,9,0.151698
1.0,13,0.152063
0.0,8,0.152301
1.0,52,0.153504
1.0,25,0.154116
0.0,1,0.154202
0.0,4,0.154352
0.0,14,0.154717
0.0,25,0.155345
0.0,22,0.155896
0.0,6,0.156091
1.0,26,0.156713
1.0,28,0.157397
0.0,24,0.157998
0.0,1,0.15808
0.0,9,0.158336
0.0,27,0.159001
0.0,13,0.159357
0.0,18,0.15982
0.0,33,0.160597
0.0,4,0.160752
0.0,19,0.161238
0.0,4,0.161399
0.0,16,0.161831
0.0,19,0.162309
0.0,6,0.162501
0.0,6,0.162693
0.0,9,0.162968
0.0,4,0.163125
0.0,6,0.163329
0.0,15,0.163731
0.0,25,0.164348
0.0,16,0.164775
0.0,10,0.165073
0.0,3,0.165203
0.0,4,0.165352
0.0,8,0.165596
1.0,23,0.166177
0.0,19,0.166656
0.0,12,0.166984
0.0,32,0.167732
0.0,66,0.169222
0.0,18,0.16968
0.0,5,0.169875
0.0,1,0.169958
0.0,3,0.170091
0.0,6,0.170289
0.0,32,0.171057
0.0,15,0.171438
0.0,11,0.171752
0.0,4,0.171912
0.0,12,0.17225
0.0,10,0.172536
0.0,6,0.172735
0.0,3,0.172875
0.0,14,0.173243
0.0,17,0.173676
0.0,4,0.173837
0.0,8,0.174073
0.0,6,0.174268
0.0,20,0.174762
0.0,1,0.174854
0.0,8,0.175099
0.0,5,0.175268
0.0,4,0.175416
0.0,7,0.175635
0.0,4,0.175784
0.0,4,0.175947
0.0,11,0.17626
0.0,11,0.176568
0.0,4,0.176719
0.0,13,0.177089
0.0,2,0.177195
0.0,2,0.177305
0.0,9,0.177563
0.0,7,0.177784
0.0,16,0.178195
0.0,2,0.178304
0.0,15,0.178704
0.0,8,0.178959
0.0,18,0.179418
1.0,8,0.179669
0.0,8,0.179928
0.0,1,0.18001
0.0,6,0.180224
0.0,1,0.180309
0.0,4,0.18046
0.0,3,0.180586
0.0,4,0.180735
0.0,3,0.180871
0.0,21,0.181399
0.0,13,0.181751
0.0,13,0.182117
0.0,3,0.182248
0.0,1,0.182327
0.0,18,0.182776
0.0,31,0.183529
0.0,1,0.18361
0.0,19,0.184111
0.0,30,0.184831
0.0,1,0.184913
0.0,13,0.185268
0.0,2,0.185374
0.0,1,0.185453
0.0,9,0.18571
0.0,6,0.185919
0.0,1,0.186001
0.0,4,0.18615
0.0,1,0.186229
0.0,1,0.186312
0.0,17,0.186738
0.0,5,0.186919
0.0,3,0.187052
0.0,5,0.187235
0.0,10,0.187512
0.0,1,0.187591
0.0,2,0.187702
0.0,13,0.188072
0.0,8,0.188316
0.0,4,0.188476
1.0,17,0.188915
0.0,4,0.189065
0.0,6,0.189255
0.0,2,0.189358
0.0,6,0.189547
0.0,15,0.18996
0.0,50,0.191109
0.0,5,0.191284
0.0,17,0.191706
0.0,39,0.192642
0.0,8,0.19289
0.0,11,0.193204
0.0,17,0.19364
0.0,14,0.194029
0.0,9,0.194295
0.0,1,0.194376
0.0,11,0.194676
0.0,3,0.19481
0.0,8,0.195047
0.0,33,0.195837
0.0,2,0.195945
0.0,8,0.19618
0.0,4,0.196333
0.0,48,0.197452
0.0,3,0.197583
0.0,3,0.197711
0.0,9,0.197984
0.0,2,0.198097
0.0,16,0.198499
0.0,3,0.198631
0.0,15,0.199043
0.0,16,0.199467
0.0,4,0.199617
1.0,20,0.200132
0.0,3,0.200266
0.0,27,0.200936
0.0,3,0.201071
0.0,34,0.201896
0.0,4,0.202049
0.0,33,0.202836
0.0,20,0.203342
0.0,12,0.203681
1.0,14,0.204062
0.0,4,0.204214
0.0,29,0.204901
0.0,7,0.205116
1.0,27,0.20584
0.0,3,0.205979
0.0,27,0.20662
0.0,10,0.206918
0.0,20,0.207405
0.0,9,0.207664
0.0,1,0.207748
0.0,27,0.208408
0.0,21,0.208942
0.0,2,0.209049
0.0,42,0.210038
0.0,11,0.210352
0.0,11,0.210663
0.0,9,0.210931
0.0,17,0.211372
0.0,5,0.211552
0.0,60,0.212943
0.0,6,0.21315
0.0,3,0.213284
0.0,7,0.213504
0.0,9,0.213763
0.0,27,0.214416
0.0,2,0.21453
0.0,18,0.215009
0.0,21,0.215533
0.0,4,0.215687
0.0,34,0.216505
0.0,11,0.216817
0.0,14,0.217179
0.0,4,0.217324
0.0,5,0.2175
0.0,2,0.21761
0.0,5,0.217793
0.0,37,0.218659
0.0,4,0.218818
0.0,15,0.219206
0.0,7,0.219423
0.0,19,0.219895
0.0,10,0.220185
0.0,10,0.220475
0.0,11,0.220778
1.0,28,0.221439
0.0,1,0.221524
0.0,3,0.221652
0.0,13,0.222016
0.0,7,0.222242
0.0,22,0.222787
0.0,17,0.22324
0.0,2,0.223346
0.0,3,0.223473
0.0,7,0.223694
0.0,12,0.224032
0.0,15,0.224425
0.0,8,0.224671
0.0,26,0.225305
0.0,33,0.226088
0.0,1,0.226173
0.0,12,0.226507
0.0,1,0.226586
0.0,30,0.227327
0.0,7,0.227542
0.0,12,0.227881
1.0,9,0.228151
0.0,3,0.228279
1.0,51,0.229463
0.0,11,0.229774
0.0,3,0.229915
0.0,14,0.23028
0.0,4,0.230427
0.0,10,0.230697
0.0,35,0.231534
0.0,3,0.231662
0.0,16,0.232076
0.0,2,0.232181
0.0,8,0.232412
0.0,9,0.232671
0.0,5,0.232856
0.0,2,0.232961
0.0,19,0.233448
0.0,3,0.23358
0.0,6,0.233779
0.0,17,0.234222
0.0,6,0.234421
0.0,8,0.234653
0.0,7,0.234874
0.0,12,0.235201
0.0,20,0.235694
0.0,24,0.236304
0.0,16,0.236725
0.0,19,0.237219
0.0,2,0.237326
0.0,6,0.237529
0.0,6,0.237722
0.0,10,0.238012
0.0,2,0.238123
0.0,9,0.23838
0.0,21,0.238909
0.0,10,0.239193
0.0,9,0.239449
0.0,1,0.239528
0.0,1,0.239606
0.0,12,0.239945
0.0,9,0.240202
0.0,11,0.240515
0.0,1,0.240595
0.0,16,0.241021
0.0,4,0.241169
0.0,10,0.241457
0.0,3,0.241583
0.0,12,0.241927
0.0,7,0.242146
0.0,12,0.242473
0.0,13,0.242828
0.0,16,0.243242
0.0,4,0.243397
0.0,6,0.243587
0.0,16,0.244014
0.0,22,0.244563
0.0,11,0.244872
0.0,3,0.244998
0.0,10,0.245278
0.0,23,0.245858
0.0,1,0.245939
0.0,14,0.246306
0.0,10,0.246587
0.0,1,0.246667
0.0,2,0.246771
0.0,9,0.247041
0.0,5,0.247217
0.0,4,0.247369
0.0,1,0.247447
0.0,9,0.24771
1.0,12,0.248048
0.0,13,0.248383
0.0,6,0.248588
0.0,9,0.24886
0.0,15,0.249249
0.0,9,0.249514
0.0,16,0.249933
0.0,16,0.250345
0.0,29,0.251041
0.0,6,0.251245
0.0,3,0.251372
0.0,1,0.251455
0.0,3,0.251588
0.0,2,0.251697
0.0,2,0.251815
0.0,11,0.252124
0.0,46,0.253203
0.0,1,0.25329
0.0,24,0.253909
0.0,18,0.25436
0.0,22,0.254919
0.0,22,0.25545
0.0,2,0.255559
0.0,21,0.2561
0.0,3,0.256229
0.0,12,0.25655
0.0,12,0.256893
0.0,5,0.257074
0.0,5,0.257247
0.0,7,0.257473
0.0,4,0.257627
0.0,3,0.257757
0.0,9,0.258024
0.0,2,0.25813
0.0,1,0.258209
0.0,13,0.258563
0.0,8,0.258816
0.0,11,0.259141
0.0,22,0.259687
0.0,18,0.260174
0.0,5,0.260349
0.0,13,0.260712
0.0,12,0.261043
0.0,8,0.261284
0.0,19,0.261743
0.0,41,0.262706
0.0,10,0.26302
0.0,6,0.263222
0.0,3,0.263361
0.0,11,0.263675
0.0,11,0.263994
0.0,3,0.264125
1.0,7,0.264337
0.0,3,0.264461
0.0,16,0.264883
0.0,18,0.265346
0.0,9,0.265617
0.0,1,0.265697
1.0,12,0.266046
0.0,1,0.266127
0.0,1,0.266207
0.0,5,0.266379
0.0,21,0.266919
0.0,1,0.267004
0.0,23,0.267576
0.0,11,0.267894
0.0,16,0.26832
0.0,12,0.268649
0.0,6,0.268859
0.0,11,0.269171
0.0,7,0.2694
0.0,8,0.269636
0.0,6,0.269862
0.0,23,0.270421
0.0,17,0.270868
0.0,6,0.271061
0.0,1,0.271141
0.0,2,0.271252
0.0,20,0.271741
0.0,13,0.272099
0.0,9,0.272368
0.0,2,0.272478
0.0,6,0.272679
0.0,6,0.272884
0.0,13,0.273235
0.0,9,0.273502
0.0,5,0.273672
0.0,2,0.273775
0.0,25,0.274383
0.0,4,0.274534
0.0,8,0.274766
0.0,7,0.274995
0.0,4,0.275152
0.0,4,0.275302
0.0,4,0.27545
0.0,13,0.275792
0.0,8,0.276037
0.0,10,0.276322
0.0,7,0.276545
0.0,12,0.276886
0.0,4,0.277037
0.0,3,0.277162
0.0,1,0.277241
0.0,9,0.277511
0.0,7,0.277727
0.0,10,0.278028
0.0,10,0.27831
0.0,2,0.278416
0.0,29,0.279176
0.0,2,0.279283
0.0,2,0.279393
0.0,12,0.279728
0.0,7,0.279965
0.0,33,0.280752
0.0,36,0.281657
0.0,10,0.281983
0.0,20,0.282477
1.0,32,0.283266
0.0,6,0.283466
0.0,8,0.283705
0.0,1,0.283786
0.0,1,0.283875
0.0,6,0.284077
0.0,2,0.284183
0.0,16,0.284598
0.0,23,0.285173
0.0,10,0.285452
0.0,11,0.285756
1.0,26,0.2864
0.0,7,0.286622
0.0,3,0.28675
0.0,10,0.287048
0.0,5,0.287227
0.0,13,0.287576
0.0,17,0.288019
0.0,34,0.288841
0.0,4,0.288997
0.0,14,0.289366
0.0,26,0.29
0.0,5,0.290176
0.0,3,0.290302
0.0,17,0.290731
0.0,51,0.291913
0.0,11,0.292227
0.0,2,0.292332
0.0,36,0.293205
0.0,8,0.293443
0.0,19,0.293941
0.0,8,0.294194
0.0,5,0.294376
0.0,15,0.294759
0.0,9,0.295024
0.0,25,0.295632
0.0,15,0.29604
0.0,1,0.296123
0.0,18,0.296587
0.0,29,0.297301
0.0,54,0.298551
0.0,1,0.298637
0.0,11,0.298959
0.0,16,0.299369
0.0,31,0.300119
0.0,28,0.30081
1.0,8,0.301049
0.0,12,0.301367
0.0,25,0.301982
0.0,28,0.30266
0.0,32,0.303417
0.0,4,0.303574
0.0,1,0.303659
0.0,26,0.304296
0.0,10,0.304605
0.0,28,0.3053
0.0,15,0.305778
0.0,19,0.306269
0.0,10,0.306568
0.0,1,0.306649
0.0,18,0.307122
0.0,46,0.308194
0.0,7,0.308414
0.0,18,0.308887
0.0,25,0.309507
0.0,11,0.309837
0.0,5,0.310024
0.0,5,0.310199
