#{"t_start": 1522144741.1749866, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,36,0.006672
0.0,8,0.006954
0.0,12,0.007343
0.0,11,0.007698
0.0,16,0.008172
0.0,1,0.00827
0.0,13,0.008669
0.0,2,0.008794
0.0,5,0.008993
0.0,17,0.009485
0.0,46,0.01069
0.0,3,0.010841
0.0,12,0.011227
0.0,14,0.011642
0.0,12,0.012012
0.0,13,0.012415
0.0,3,0.012563
0.0,28,0.013345
0.0,39,0.014404
0.0,32,0.015287
0.0,10,0.015605
0.0,8,0.015876
0.0,1,0.015971
0.0,2,0.0161
0.0,12,0.01647
0.0,2,0.016592
0.0,26,0.017328
0.0,13,0.017727
0.0,11,0.018094
0.0,18,0.01863
0.0,1,0.018726
0.0,1,0.018816
1.0,10,0.019146
1.0,16,0.019614
0.0,2,0.019736
0.0,10,0.020063
0.0,23,0.020723
0.0,22,0.021354
0.0,9,0.021649
0.0,7,0.02189
0.0,1,0.021979
0.0,1,0.022077
0.0,15,0.022512
0.0,8,0.022783
0.0,8,0.023066
0.0,22,0.023688
0.0,5,0.023886
0.0,6,0.024129
0.0,18,0.024656
0.0,8,0.024929
0.0,14,0.025363
0.0,9,0.025662
0.0,16,0.026142
0.0,1,0.026233
0.0,1,0.026321
1.0,11,0.02666
0.0,6,0.026875
0.0,51,0.028224
0.0,4,0.028395
0.0,18,0.028906
0.0,13,0.029322
0.0,5,0.029517
0.0,1,0.02961
0.0,12,0.029982
0.0,9,0.030288
0.0,7,0.030534
0.0,1,0.030628
0.0,15,0.031093
0.0,17,0.031594
0.0,10,0.031923
0.0,7,0.032187
0.0,8,0.032462
0.0,12,0.032832
0.0,19,0.033383
0.0,11,0.033731
0.0,6,0.033955
0.0,9,0.034264
0.0,14,0.034698
0.0,14,0.035137
0.0,3,0.035282
0.0,1,0.035371
0.0,1,0.03546
0.0,10,0.035788
0.0,7,0.036039
0.0,1,0.036132
0.0,8,0.036409
0.0,10,0.036732
0.0,7,0.036984
0.0,1,0.037083
0.0,26,0.037797
0.0,17,0.038307
0.0,21,0.038908
0.0,10,0.039237
0.0,3,0.039382
0.0,3,0.03953
0.0,7,0.039778
0.0,6,0.04
0.0,9,0.04032
0.0,13,0.040715
0.0,7,0.040958
0.0,11,0.041323
0.0,13,0.041713
0.0,19,0.042281
0.0,4,0.042457
0.0,10,0.042784
0.0,2,0.042903
0.0,4,0.04309
0.0,4,0.043274
0.0,1,0.043368
0.0,5,0.043563
0.0,9,0.043863
0.0,15,0.044319
0.0,12,0.044693
0.0,18,0.045233
0.0,1,0.045325
1.0,10,0.045642
0.0,4,0.045809
0.0,1,0.045902
0.0,10,0.046248
0.0,4,0.046419
0.0,21,0.047029
0.0,8,0.04731
0.0,10,0.047637
0.0,5,0.047835
0.0,16,0.048318
0.0,1,0.048409
0.0,3,0.048558
0.0,17,0.04907
0.0,2,0.049189
0.0,9,0.04948
0.0,2,0.049596
0.0,6,0.049812
0.0,7,0.05007
0.0,14,0.050488
0.0,5,0.050682
0.0,5,0.050874
0.0,20,0.051453
0.0,8,0.051739
1.0,12,0.052126
0.0,9,0.052432
0.0,11,0.052788
0.0,7,0.053051
0.0,13,0.053443
0.0,5,0.053643
0.0,4,0.053811
0.0,4,0.053979
0.0,12,0.05437
0.0,6,0.054601
0.0,7,0.054853
0.0,2,0.054975
0.0,3,0.055134
0.0,12,0.055515
0.0,1,0.055605
0.0,7,0.055848
1.0,13,0.056251
0.0,6,0.056477
0.0,16,0.056942
0.0,5,0.057181
0.0,16,0.057662
0.0,11,0.058003
0.0,5,0.058203
0.0,1,0.058295
0.0,4,0.058462
0.0,6,0.058686
0.0,20,0.059273
0.0,7,0.059529
0.0,13,0.059924
0.0,7,0.060192
0.0,1,0.060288
0.0,9,0.060588
0.0,1,0.060678
0.0,6,0.060895
0.0,15,0.061342
0.0,3,0.061487
0.0,6,0.061709
0.0,9,0.06201
0.0,2,0.062143
0.0,2,0.062259
0.0,5,0.062456
0.0,20,0.063042
0.0,14,0.063465
