#{"t_start": 1522145918.0301075, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,5,0.008681
0.0,10,0.009016
0.0,18,0.009496
0.0,2,0.009608
0.0,26,0.010271
0.0,4,0.010429
0.0,54,0.011722
0.0,31,0.012479
0.0,14,0.012873
0.0,11,0.013191
0.0,1,0.013274
0.0,2,0.013383
0.0,16,0.013854
0.0,13,0.014208
0.0,5,0.014384
0.0,32,0.015156
0.0,15,0.015574
0.0,17,0.016028
0.0,28,0.016749
0.0,9,0.017033
0.0,4,0.017186
0.0,6,0.017382
0.0,18,0.017855
0.0,19,0.018341
0.0,3,0.018471
0.0,41,0.019445
0.0,6,0.019643
0.0,11,0.01998
0.0,1,0.020059
0.0,4,0.020214
0.0,14,0.020579
0.0,7,0.02081
0.0,3,0.020936
0.0,16,0.021357
0.0,18,0.021827
0.0,13,0.02218
0.0,7,0.022394
0.0,4,0.022546
0.0,13,0.022929
0.0,34,0.023746
0.0,6,0.023945
0.0,5,0.024118
0.0,12,0.024439
0.0,39,0.025371
0.0,16,0.025829
0.0,14,0.026198
0.0,33,0.026994
0.0,16,0.027419
0.0,18,0.027883
0.0,16,0.028293
1.0,16,0.028728
0.0,19,0.029229
0.0,19,0.029712
0.0,3,0.029844
0.0,1,0.029926
0.0,31,0.030675
0.0,6,0.030877
0.0,18,0.03135
0.0,6,0.031543
0.0,36,0.032434
0.0,23,0.033039
0.0,2,0.033144
0.0,13,0.033498
0.0,6,0.03369
0.0,5,0.033876
0.0,13,0.034227
1.0,8,0.034464
0.0,3,0.034594
0.0,32,0.035399
0.0,14,0.035789
0.0,17,0.036278
0.0,13,0.036633
0.0,17,0.037082
0.0,20,0.037585
0.0,37,0.038519
0.0,7,0.038747
0.0,12,0.039088
0.0,1,0.039167
0.0,11,0.039467
0.0,1,0.039544
0.0,6,0.039745
0.0,7,0.039972
0.0,15,0.040369
0.0,18,0.040902
0.0,13,0.041257
0.0,3,0.041383
0.0,21,0.04192
0.0,14,0.042293
0.0,16,0.042728
0.0,6,0.042923
0.0,7,0.043146
0.0,20,0.043646
0.0,6,0.04388
0.0,15,0.044287
0.0,26,0.044952
0.0,9,0.045209
0.0,3,0.045332
0.0,6,0.045523
0.0,25,0.046153
0.0,10,0.046444
0.0,6,0.046642
0.0,3,0.046793
0.0,12,0.047141
0.0,4,0.047293
0.0,26,0.047942
0.0,7,0.048157
1.0,25,0.048779
0.0,1,0.048866
0.0,1,0.048946
0.0,11,0.049251
0.0,19,0.049754
0.0,14,0.050134
0.0,21,0.050654
0.0,17,0.051108
0.0,16,0.051527
0.0,22,0.052084
0.0,3,0.052215
0.0,11,0.052527
0.0,4,0.05268
0.0,6,0.05292
0.0,12,0.053248
0.0,2,0.05335
0.0,8,0.053591
0.0,27,0.054267
0.0,3,0.054404
0.0,4,0.054552
0.0,5,0.054738
0.0,7,0.054956
0.0,8,0.055195
0.0,9,0.055461
0.0,11,0.05584
0.0,10,0.056127
0.0,13,0.05647
0.0,12,0.056822
0.0,4,0.056979
1.0,28,0.057668
0.0,8,0.057913
0.0,9,0.058173
0.0,1,0.05825
0.0,12,0.058588
0.0,6,0.058823
0.0,4,0.058972
0.0,8,0.059214
0.0,1,0.059292
0.0,2,0.059392
0.0,14,0.059808
0.0,13,0.06016
0.0,6,0.060359
0.0,20,0.060913
0.0,2,0.061023
0.0,8,0.061257
0.0,8,0.061507
0.0,6,0.061706
1.0,9,0.061972
0.0,10,0.062257
0.0,6,0.062456
0.0,1,0.062534
0.0,1,0.062611
0.0,4,0.062789
0.0,5,0.062974
0.0,7,0.063192
0.0,6,0.063383
0.0,14,0.063765
0.0,10,0.064056
0.0,6,0.064248
0.0,3,0.064371
0.0,2,0.064471
0.0,12,0.064799
0.0,2,0.064908
0.0,1,0.064985
0.0,11,0.065292
0.0,15,0.065725
0.0,2,0.065878
0.0,7,0.066096
0.0,6,0.066289
0.0,5,0.066462
0.0,5,0.066632
0.0,2,0.066745
0.0,1,0.066827
0.0,3,0.066953
0.0,2,0.067054
0.0,3,0.067183
0.0,6,0.067374
0.0,12,0.067712
0.0,2,0.067821
0.0,10,0.068115
0.0,4,0.068263
0.0,6,0.068459
0.0,7,0.068679
0.0,5,0.068887
0.0,2,0.068994
0.0,7,0.069208
0.0,8,0.069447
0.0,2,0.06955
0.0,15,0.069965
0.0,10,0.070251
0.0,5,0.070421
0.0,16,0.070838
0.0,6,0.071035
0.0,14,0.071405
0.0,11,0.071725
0.0,7,0.071955
0.0,8,0.072199
0.0,4,0.072357
0.0,8,0.072612
0.0,2,0.072742
0.0,8,0.07298
0.0,4,0.073126
0.0,6,0.073321
0.0,1,0.073401
0.0,2,0.073509
0.0,6,0.07372
0.0,7,0.073935
0.0,24,0.074522
0.0,6,0.074736
0.0,8,0.074987
0.0,2,0.075096
0.0,7,0.075314
0.0,14,0.075677
0.0,29,0.076428
0.0,29,0.077125
0.0,5,0.077304
0.0,12,0.077635
0.0,29,0.078367
0.0,5,0.078539
0.0,18,0.079024
0.0,3,0.07915
0.0,18,0.079605
0.0,8,0.079859
0.0,13,0.080207
0.0,2,0.080315
0.0,5,0.080489
0.0,12,0.080859
0.0,5,0.081041
0.0,7,0.081263
0.0,22,0.081822
0.0,21,0.082341
0.0,33,0.083137
0.0,4,0.083291
0.0,13,0.083668
0.0,46,0.084793
0.0,2,0.084901
0.0,4,0.085049
0.0,56,0.086361
0.0,2,0.086466
0.0,4,0.08662
0.0,2,0.086759
0.0,2,0.086883
0.0,1,0.086965
0.0,7,0.087188
0.0,7,0.087402
0.0,22,0.087958
0.0,15,0.088359
0.0,4,0.088508
0.0,16,0.088939
0.0,9,0.089213
0.0,19,0.089713
0.0,11,0.090043
1.0,15,0.090437
0.0,9,0.090709
0.0,9,0.090983
0.0,9,0.091243
0.0,14,0.091619
0.0,3,0.091759
0.0,25,0.092381
0.0,10,0.09266
0.0,10,0.092987
0.0,3,0.093115
0.0,29,0.093825
0.0,9,0.094089
0.0,9,0.09435
1.0,12,0.094676
0.0,10,0.094971
0.0,2,0.09508
0.0,17,0.095522
0.0,7,0.095768
1.0,22,0.096344
0.0,15,0.09674
0.0,12,0.09707
0.0,20,0.097581
0.0,10,0.097884
0.0,7,0.098105
0.0,7,0.098327
0.0,4,0.098473
0.0,4,0.098626
0.0,9,0.098926
0.0,1,0.099008
0.0,41,0.099991
0.0,19,0.100476
0.0,14,0.100892
0.0,9,0.101172
0.0,11,0.1015
0.0,13,0.101923
0.0,11,0.102244
0.0,1,0.102327
0.0,1,0.102407
1.0,18,0.102909
0.0,11,0.103215
0.0,7,0.103431
0.0,23,0.104042
1.0,19,0.104529
0.0,7,0.104771
0.0,8,0.105036
0.0,3,0.105166
0.0,38,0.106103
0.0,8,0.106341
0.0,6,0.10654
0.0,8,0.106796
0.0,1,0.106876
0.0,6,0.107067
0.0,5,0.107239
0.0,16,0.107668
0.0,13,0.108055
0.0,8,0.108297
0.0,1,0.108379
0.0,14,0.10877
0.0,5,0.109055
0.0,12,0.109408
0.0,4,0.109562
0.0,2,0.109666
0.0,23,0.110243
0.0,9,0.110508
0.0,5,0.110685
0.0,2,0.110825
0.0,1,0.110902
0.0,16,0.111318
0.0,9,0.111578
0.0,4,0.111741
0.0,11,0.112049
0.0,8,0.112283
0.0,8,0.112517
0.0,7,0.11275
0.0,5,0.112922
0.0,6,0.113117
0.0,1,0.113198
0.0,13,0.113584
0.0,1,0.113665
0.0,22,0.114253
0.0,38,0.115168
0.0,5,0.115339
0.0,17,0.115814
0.0,7,0.116028
0.0,5,0.116199
0.0,8,0.116439
0.0,13,0.116826
0.0,3,0.11696
0.0,8,0.117208
0.0,18,0.117666
0.0,3,0.117806
0.0,4,0.117963
0.0,7,0.118181
0.0,8,0.118418
0.0,6,0.118615
0.0,12,0.118951
0.0,7,0.119173
0.0,13,0.119524
0.0,14,0.119929
0.0,5,0.120099
0.0,9,0.120355
0.0,26,0.120996
0.0,2,0.121107
0.0,14,0.121482
0.0,1,0.121562
0.0,13,0.121921
0.0,19,0.122406
0.0,24,0.123039
0.0,17,0.12347
0.0,9,0.123735
0.0,25,0.124341
0.0,22,0.124907
1.0,10,0.125187
0.0,8,0.125429
0.0,23,0.126043
0.0,7,0.126262
0.0,2,0.126364
0.0,21,0.126899
0.0,16,0.127314
0.0,10,0.127595
0.0,15,0.127993
0.0,27,0.128649
0.0,8,0.128918
0.0,13,0.129274
0.0,13,0.129619
0.0,35,0.130448
0.0,10,0.130747
0.0,4,0.130896
0.0,12,0.131228
0.0,4,0.13138
0.0,12,0.131732
0.0,4,0.131901
0.0,3,0.132032
0.0,3,0.132157
0.0,19,0.13263
0.0,4,0.132792
0.0,4,0.132944
0.0,4,0.13309
0.0,5,0.133258
0.0,2,0.133358
0.0,8,0.13359
0.0,5,0.133769
0.0,7,0.133989
0.0,13,0.134335
0.0,7,0.134557
0.0,16,0.135014
0.0,3,0.13514
0.0,2,0.135246
0.0,7,0.135469
0.0,11,0.135792
0.0,13,0.136146
0.0,18,0.136606
0.0,21,0.137148
0.0,2,0.137253
0.0,6,0.137444
0.0,25,0.138106
0.0,17,0.138553
0.0,23,0.139132
0.0,9,0.139392
0.0,41,0.140364
0.0,2,0.140472
0.0,2,0.140579
0.0,17,0.141051
0.0,1,0.14113
1.0,25,0.141753
0.0,9,0.142016
0.0,1,0.142098
0.0,10,0.142384
0.0,26,0.14307
0.0,9,0.143342
0.0,12,0.143676
0.0,1,0.143777
0.0,11,0.144102
0.0,9,0.144375
0.0,8,0.144611
0.0,48,0.145758
0.0,3,0.14589
0.0,21,0.146428
0.0,30,0.147191
0.0,9,0.147449
0.0,19,0.147954
0.0,9,0.148224
0.0,15,0.148616
0.0,8,0.148867
0.0,1,0.148951
0.0,5,0.149121
0.0,60,0.150537
0.0,7,0.150776
0.0,8,0.15102
0.0,22,0.151565
0.0,14,0.151948
0.0,6,0.15214
0.0,4,0.152293
0.0,11,0.152598
0.0,14,0.153014
0.0,6,0.153207
0.0,4,0.15336
0.0,13,0.153719
0.0,20,0.154223
0.0,23,0.154812
0.0,6,0.155011
0.0,5,0.155181
0.0,2,0.155283
0.0,2,0.155388
0.0,6,0.155591
0.0,6,0.155843
0.0,6,0.156058
0.0,6,0.156253
0.0,14,0.156628
0.0,15,0.157035
0.0,5,0.157205
0.0,11,0.15751
0.0,8,0.157755
0.0,7,0.157973
0.0,22,0.158521
0.0,9,0.158811
0.0,45,0.159868
0.0,5,0.160039
0.0,12,0.160371
0.0,4,0.160522
0.0,28,0.16124
0.0,11,0.161568
0.0,18,0.162097
0.0,18,0.16257
0.0,3,0.162705
0.0,10,0.162984
0.0,11,0.163291
