#{"t_start": 1522145379.3933465, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,6,0.006613
0.0,4,0.006781
0.0,3,0.006915
0.0,4,0.007088
0.0,49,0.008238
0.0,22,0.008791
0.0,7,0.009018
0.0,7,0.009265
0.0,8,0.009506
0.0,10,0.009792
0.0,13,0.010163
0.0,4,0.010324
0.0,14,0.010698
0.0,6,0.0109
0.0,28,0.011582
0.0,6,0.011789
0.0,2,0.011897
0.0,1,0.011978
0.0,7,0.012212
0.0,13,0.01257
0.0,2,0.01268
0.0,5,0.012855
0.0,14,0.013237
0.0,20,0.013744
0.0,22,0.014295
0.0,6,0.014495
0.0,2,0.014608
0.0,8,0.014855
0.0,20,0.015373
0.0,29,0.016072
0.0,30,0.016821
0.0,10,0.017111
1.0,9,0.017392
0.0,5,0.017569
0.0,7,0.017787
0.0,9,0.018051
0.0,1,0.018142
0.0,3,0.01828
0.0,4,0.018437
0.0,2,0.018547
0.0,3,0.018682
0.0,11,0.018985
0.0,4,0.019159
0.0,8,0.019398
0.0,15,0.0198
0.0,8,0.020038
0.0,7,0.020268
0.0,11,0.020585
0.0,27,0.021249
0.0,8,0.021493
0.0,7,0.021713
0.0,8,0.021956
0.0,1,0.022041
0.0,13,0.022407
0.0,4,0.022557
0.0,3,0.022689
0.0,5,0.02286
0.0,8,0.023096
0.0,5,0.02328
0.0,3,0.023412
0.0,14,0.023779
0.0,6,0.023988
0.0,9,0.024273
0.0,7,0.024489
0.0,11,0.024784
0.0,8,0.025023
0.0,2,0.025144
0.0,15,0.025541
0.0,5,0.025713
0.0,3,0.025845
0.0,10,0.026134
0.0,10,0.026416
0.0,21,0.026943
0.0,17,0.027392
0.0,5,0.027568
0.0,15,0.027966
0.0,4,0.028117
0.0,4,0.028278
0.0,9,0.028551
0.0,28,0.029231
0.0,6,0.029429
0.0,16,0.029845
0.0,5,0.030022
0.0,3,0.030164
0.0,8,0.0304
0.0,11,0.030717
0.0,9,0.030984
0.0,5,0.031179
0.0,24,0.03176
0.0,10,0.032056
0.0,7,0.032292
0.0,4,0.032451
0.0,2,0.032557
0.0,11,0.032864
0.0,8,0.033107
0.0,14,0.0335
0.0,1,0.033586
0.0,32,0.034358
0.0,10,0.034642
0.0,36,0.035497
0.0,34,0.036296
0.0,2,0.036405
0.0,11,0.036712
0.0,1,0.036797
0.0,21,0.037343
0.0,25,0.037953
0.0,17,0.038393
0.0,6,0.03859
0.0,20,0.039076
1.0,9,0.039348
0.0,10,0.03964
0.0,1,0.039721
0.0,2,0.039828
0.0,27,0.040495
0.0,36,0.041346
0.0,8,0.041585
0.0,14,0.041963
0.0,16,0.042387
0.0,6,0.042594
0.0,5,0.04277
0.0,12,0.043095
0.0,5,0.043277
0.0,1,0.043358
0.0,26,0.043996
0.0,10,0.044291
0.0,16,0.044711
0.0,6,0.044904
0.0,5,0.045084
0.0,13,0.04544
0.0,32,0.046218
0.0,15,0.04662
0.0,26,0.047285
0.0,9,0.047552
0.0,14,0.047915
0.0,9,0.048195
0.0,7,0.048412
0.0,4,0.048559
0.0,11,0.048864
0.0,7,0.049081
0.0,2,0.049198
0.0,12,0.049536
0.0,1,0.049617
0.0,7,0.049833
0.0,6,0.050022
0.0,5,0.050204
0.0,1,0.050286
0.0,5,0.050467
0.0,20,0.050971
0.0,11,0.051288
0.0,11,0.051591
0.0,5,0.051772
0.0,4,0.051927
0.0,26,0.052567
0.0,21,0.053097
0.0,10,0.053397
0.0,4,0.053549
0.0,2,0.053654
0.0,11,0.053962
0.0,2,0.054068
0.0,18,0.054538
0.0,3,0.054673
0.0,1,0.054754
0.0,5,0.054932
0.0,3,0.055065
1.0,29,0.055784
0.0,27,0.056459
0.0,1,0.056542
0.0,3,0.056676
0.0,3,0.05681
0.0,16,0.057242
0.0,5,0.057417
0.0,26,0.058041
0.0,28,0.058723
0.0,1,0.058805
0.0,4,0.058958
0.0,9,0.059231
0.0,15,0.059623
0.0,1,0.059704
0.0,2,0.059814
0.0,3,0.059942
0.0,14,0.06034
0.0,4,0.060492
0.0,4,0.06064
0.0,18,0.061095
0.0,4,0.061255
0.0,3,0.061388
0.0,14,0.061751
0.0,19,0.062258
0.0,3,0.062392
0.0,9,0.06265
0.0,9,0.062917
0.0,5,0.063088
0.0,5,0.063332
0.0,8,0.063571
0.0,8,0.063813
0.0,3,0.063944
0.0,4,0.064094
0.0,24,0.064695
0.0,5,0.064868
0.0,2,0.064973
0.0,1,0.065052
0.0,2,0.065172
0.0,6,0.065372
0.0,16,0.065785
0.0,2,0.06589
0.0,10,0.06618
0.0,15,0.066575
0.0,4,0.06673
0.0,22,0.067288
0.0,1,0.067374
0.0,10,0.067666
0.0,1,0.067747
1.0,11,0.068048
0.0,2,0.068162
0.0,10,0.068452
0.0,22,0.069003
0.0,19,0.069495
0.0,10,0.069789
0.0,8,0.070033
0.0,7,0.070269
0.0,3,0.0704
0.0,10,0.070691
0.0,9,0.070957
0.0,6,0.071167
0.0,1,0.071249
1.0,30,0.071953
0.0,8,0.072209
1.0,9,0.072467
0.0,7,0.072686
0.0,2,0.072801
1.0,62,0.074219
0.0,7,0.074454
0.0,1,0.074535
0.0,8,0.074779
0.0,4,0.074931
0.0,16,0.075366
0.0,32,0.076127
0.0,11,0.076437
0.0,14,0.076807
0.0,8,0.077046
0.0,2,0.077159
0.0,12,0.077477
0.0,10,0.077762
0.0,1,0.077846
0.0,4,0.078006
0.0,6,0.078213
0.0,16,0.078627
0.0,2,0.078738
