#{"t_start": 1522146044.9087496, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,5,0.008218
0.0,5,0.008411
0.0,9,0.008681
0.0,5,0.008876
0.0,11,0.009185
0.0,4,0.009345
0.0,6,0.009552
0.0,13,0.009916
0.0,11,0.010225
0.0,7,0.010449
0.0,10,0.010733
0.0,12,0.011086
0.0,33,0.01191
0.0,7,0.01213
0.0,11,0.01244
0.0,4,0.012597
0.0,5,0.01277
0.0,10,0.013063
0.0,7,0.013287
0.0,5,0.013465
0.0,13,0.013831
0.0,4,0.013983
0.0,4,0.014133
0.0,10,0.014416
1.0,25,0.015039
0.0,2,0.015149
0.0,14,0.01555
0.0,20,0.016081
0.0,2,0.016193
0.0,19,0.0167
0.0,1,0.016789
0.0,7,0.017015
0.0,2,0.017126
0.0,9,0.017388
0.0,2,0.01749
0.0,32,0.018283
0.0,6,0.018479
0.0,2,0.018582
0.0,3,0.018708
0.0,6,0.018912
0.0,8,0.01916
0.0,5,0.019333
0.0,8,0.019581
0.0,1,0.019659
0.0,8,0.019917
0.0,27,0.020572
0.0,14,0.020958
0.0,64,0.02244
0.0,5,0.02262
0.0,1,0.0227
0.0,10,0.022996
0.0,9,0.023267
0.0,11,0.023584
0.0,9,0.023867
0.0,8,0.024115
0.0,4,0.024269
0.0,12,0.024592
0.0,2,0.024699
0.0,3,0.024842
0.0,10,0.025144
0.0,6,0.025349
0.0,12,0.025692
0.0,6,0.025908
0.0,6,0.026106
0.0,34,0.026947
0.0,2,0.027053
0.0,7,0.02728
0.0,9,0.02755
0.0,27,0.028236
0.0,16,0.028661
0.0,15,0.029092
0.0,8,0.029333
0.0,4,0.029482
0.0,9,0.029751
0.0,20,0.030263
0.0,15,0.030659
0.0,4,0.030829
0.0,11,0.031151
0.0,2,0.031255
0.0,16,0.031676
0.0,6,0.031884
0.0,10,0.032189
0.0,6,0.03239
0.0,2,0.032498
0.0,2,0.032603
0.0,7,0.032842
0.0,3,0.032971
0.0,13,0.033335
0.0,14,0.033717
0.0,3,0.033859
0.0,4,0.034009
0.0,17,0.03446
0.0,4,0.03462
0.0,8,0.034872
0.0,2,0.034977
0.0,2,0.035079
0.0,8,0.035326
0.0,2,0.035429
0.0,5,0.035599
0.0,15,0.036022
0.0,5,0.036199
0.0,13,0.036547
0.0,9,0.03683
0.0,1,0.03691
0.0,1,0.036989
0.0,8,0.037231
0.0,12,0.037555
0.0,15,0.03796
0.0,9,0.038231
0.0,15,0.038621
0.0,10,0.038931
0.0,4,0.039093
0.0,1,0.039171
0.0,2,0.039274
0.0,2,0.039376
0.0,6,0.039571
0.0,6,0.039764
0.0,4,0.039922
0.0,9,0.040192
0.0,10,0.040477
0.0,8,0.040714
1.0,19,0.04122
0.0,7,0.04144
0.0,5,0.041625
0.0,4,0.041776
0.0,15,0.042182
0.0,12,0.042519
0.0,5,0.042705
0.0,5,0.042889
0.0,11,0.043204
0.0,14,0.043582
0.0,15,0.044
0.0,9,0.04427
0.0,9,0.044545
0.0,2,0.044649
0.0,14,0.045034
0.0,9,0.045295
0.0,18,0.045763
0.0,7,0.045992
0.0,10,0.046282
0.0,4,0.046431
0.0,12,0.046762
0.0,5,0.046953
0.0,10,0.047248
0.0,4,0.047397
0.0,7,0.047612
0.0,15,0.048015
0.0,12,0.048341
0.0,12,0.048662
0.0,7,0.048893
0.0,25,0.049514
0.0,9,0.049788
0.0,28,0.050472
0.0,9,0.050742
0.0,5,0.050927
0.0,11,0.051232
0.0,10,0.051525
0.0,14,0.051925
0.0,8,0.052172
0.0,14,0.052553
0.0,1,0.052632
0.0,8,0.052889
0.0,1,0.052973
0.0,1,0.053051
0.0,26,0.053699
0.0,7,0.053926
0.0,9,0.054205
0.0,13,0.05456
0.0,35,0.055415
0.0,8,0.055653
0.0,12,0.05599
0.0,3,0.056129
0.0,8,0.056379
0.0,1,0.056457
0.0,11,0.056789
0.0,13,0.057142
0.0,6,0.057345
0.0,15,0.057737
0.0,18,0.058205
0.0,33,0.059038
0.0,7,0.059258
0.0,3,0.059384
0.0,2,0.059492
0.0,5,0.059673
0.0,7,0.059899
0.0,8,0.060137
0.0,12,0.060468
1.0,14,0.060872
0.0,4,0.061029
0.0,15,0.061435
1.0,8,0.061689
0.0,3,0.061826
0.0,6,0.062029
0.0,2,0.062132
0.0,5,0.06231
0.0,1,0.062388
0.0,6,0.062582
0.0,5,0.062759
0.0,1,0.062846
0.0,1,0.062929
0.0,2,0.063033
0.0,14,0.063416
0.0,1,0.063496
0.0,7,0.063714
0.0,5,0.063903
0.0,10,0.064199
0.0,10,0.064487
0.0,18,0.064961
1.0,12,0.065286
0.0,17,0.065739
0.0,4,0.0659
0.0,8,0.066153
0.0,1,0.066233
0.0,8,0.066481
