#{"t_start": 1522144463.69002, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,100,0.00704
0.0,1,0.00714
0.0,1,0.007226
0.0,2,0.007335
0.0,68,0.008954
0.0,76,0.010764
0.0,24,0.011368
0.0,3,0.011514
0.0,1,0.011604
0.0,100,0.013969
0.0,31,0.014748
0.0,61,0.016209
0.0,11,0.016547
0.0,17,0.017013
0.0,3,0.017151
0.0,19,0.017651
0.0,14,0.018038
0.0,63,0.019534
1.0,31,0.020302
0.0,80,0.022211
0.0,15,0.022722
0.0,100,0.025095
0.0,89,0.027225
0.0,42,0.028236
0.0,100,0.030564
0.0,31,0.031362
0.0,7,0.031597
1.0,20,0.032103
1.0,29,0.032837
0.0,32,0.033649
0.0,32,0.034433
0.0,28,0.035154
1.0,69,0.036841
0.0,6,0.03705
1.0,12,0.037391
0.0,19,0.037938
0.0,21,0.038489
0.0,12,0.038838
0.0,2,0.038946
0.0,30,0.039708
0.0,4,0.039864
0.0,3,0.039999
0.0,7,0.040221
1.0,31,0.040999
0.0,30,0.041784
1.0,16,0.042209
0.0,24,0.042849
1.0,23,0.043433
0.0,17,0.043924
1.0,9,0.044189
0.0,5,0.044373
0.0,16,0.044821
1.0,37,0.045745
0.0,34,0.046623
0.0,1,0.046707
1.0,13,0.047069
0.0,1,0.047153
1.0,17,0.047633
0.0,1,0.047714
1.0,15,0.04813
1.0,12,0.048475
0.0,19,0.048983
1.0,22,0.049573
0.0,11,0.049908
1.0,8,0.050157
1.0,23,0.05074
0.0,3,0.050868
1.0,8,0.051107
0.0,14,0.05148
1.0,53,0.052764
1.0,36,0.053649
1.0,27,0.054337
1.0,25,0.054989
1.0,34,0.055829
0.0,12,0.056177
1.0,18,0.056673
0.0,11,0.056989
1.0,27,0.057685
0.0,8,0.057928
0.0,12,0.058255
1.0,14,0.058645
0.0,12,0.058976
0.0,2,0.059087
1.0,42,0.060123
0.0,5,0.060308
1.0,19,0.060833
1.0,19,0.061329
0.0,46,0.062454
0.0,6,0.06267
0.0,4,0.062829
0.0,5,0.063003
0.0,2,0.063108
0.0,2,0.063211
0.0,54,0.064527
0.0,42,0.065582
0.0,9,0.06585
0.0,1,0.065931
0.0,6,0.066133
1.0,20,0.066668
1.0,20,0.067199
0.0,9,0.067468
1.0,23,0.068066
1.0,11,0.068384
1.0,16,0.068863
1.0,6,0.069061
1.0,24,0.069721
1.0,20,0.070248
0.0,16,0.070684
1.0,36,0.071584
1.0,24,0.072188
0.0,1,0.072272
1.0,24,0.072899
0.0,23,0.073498
0.0,17,0.073964
0.0,13,0.074328
1.0,33,0.075162
0.0,1,0.075243
0.0,62,0.076731
0.0,17,0.077189
0.0,14,0.077591
0.0,9,0.077868
1.0,16,0.078301
1.0,13,0.078684
0.0,32,0.07948
1.0,48,0.080659
1.0,40,0.081627
1.0,8,0.081886
0.0,11,0.082197
1.0,17,0.082656
1.0,38,0.083617
1.0,19,0.084126
0.0,8,0.084381
0.0,1,0.084461
0.0,3,0.084599
1.0,8,0.084849
0.0,28,0.085556
1.0,6,0.085758
1.0,15,0.086169
0.0,9,0.086442
0.0,24,0.087078
0.0,1,0.087164
0.0,3,0.087295
1.0,9,0.087573
0.0,3,0.087701
0.0,5,0.087882
1.0,16,0.088307
1.0,26,0.088984
0.0,11,0.089303
1.0,36,0.09021
1.0,21,0.090774
1.0,36,0.091674
0.0,23,0.092261
1.0,45,0.093353
1.0,31,0.094128
0.0,34,0.094965
0.0,20,0.095486
0.0,2,0.095606
1.0,8,0.095851
1.0,10,0.096133
1.0,52,0.097396
1.0,11,0.097731
1.0,26,0.098384
1.0,18,0.098866
1.0,8,0.099116
1.0,33,0.099944
0.0,5,0.100127
1.0,42,0.101184
1.0,14,0.101588
1.0,11,0.101897
0.0,62,0.103379
1.0,24,0.104014
1.0,33,0.104852
0.0,8,0.105168
0.0,13,0.10555
0.0,7,0.105792
1.0,7,0.106012
1.0,20,0.106547
0.0,16,0.106982
1.0,37,0.107913
0.0,7,0.108142
0.0,13,0.108522
1.0,7,0.108746
1.0,13,0.109107
1.0,33,0.109937
0.0,4,0.110102
1.0,18,0.110605
0.0,36,0.111476
0.0,2,0.111611
1.0,19,0.112128
0.0,33,0.112957
0.0,1,0.113043
1.0,36,0.113925
0.0,11,0.114246
0.0,15,0.114657
1.0,13,0.115027
1.0,9,0.115288
1.0,18,0.115776
0.0,1,0.115861
0.0,2,0.115973
1.0,41,0.116965
0.0,7,0.117182
0.0,1,0.11726
1.0,23,0.117843
1.0,8,0.118118
1.0,11,0.118435
0.0,12,0.118792
1.0,12,0.119147
1.0,25,0.119804
1.0,31,0.120574
0.0,1,0.120654
0.0,3,0.120782
0.0,11,0.121103
1.0,15,0.121523
1.0,25,0.122185
1.0,13,0.122591
0.0,10,0.122889
0.0,8,0.123132
1.0,29,0.123902
1.0,9,0.124174
1.0,17,0.124693
0.0,8,0.124971
0.0,17,0.125454
1.0,49,0.126664
1.0,17,0.127106
1.0,12,0.127434
1.0,12,0.127784
1.0,20,0.128306
0.0,8,0.128558
1.0,28,0.12926
1.0,27,0.12995
1.0,15,0.130374
0.0,5,0.130561
1.0,36,0.131439
0.0,4,0.131617
1.0,31,0.132391
0.0,12,0.132747
1.0,8,0.132998
1.0,21,0.133526
1.0,43,0.134574
1.0,38,0.135493
1.0,8,0.135744
1.0,14,0.136124
1.0,34,0.13701
1.0,16,0.137454
0.0,39,0.138422
0.0,9,0.138716
0.0,1,0.138803
1.0,20,0.139323
1.0,67,0.1409
1.0,7,0.141132
0.0,2,0.141237
0.0,33,0.142069
0.0,2,0.142182
1.0,58,0.143614
1.0,21,0.144164
0.0,6,0.144369
1.0,16,0.144803
1.0,18,0.145277
0.0,4,0.145428
0.0,18,0.145922
1.0,18,0.146397
0.0,6,0.146606
0.0,4,0.146758
0.0,10,0.147051
0.0,13,0.147421
0.0,1,0.147515
0.0,26,0.14818
1.0,14,0.148569
1.0,12,0.14891
1.0,16,0.149331
0.0,43,0.150396
1.0,46,0.151523
